2026-04-24T17:41:28.155089,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:41:33.388245,VIDEO_CONFIRMED,autocorr confirmed video,freq=1239531135.5311356,score=0.8
2026-04-24T17:41:33.424719,PLATEAU_CONFIRMED,Wideband signal detected,freq=1259216117.2161171,bw=5.7080078125,hits=9
2026-04-24T17:41:33.442973,VIDEO_REJECTED,autocorr rejected video,freq=1259216117.2161171,score=0.1
2026-04-24T17:41:34.164093,PLATEAU_CONFIRMED,Wideband signal detected,freq=1767015873.015873,bw=5.078125,hits=4
2026-04-24T17:41:34.229110,VIDEO_REJECTED,autocorr rejected video,freq=1767015873.015873,score=0.0
2026-04-24T17:41:34.431260,PLATEAU_CONFIRMED,Wideband signal detected,freq=1785526251.5262516,bw=9.951171875,hits=7
2026-04-24T17:41:34.442364,VIDEO_REJECTED,autocorr rejected video,freq=1785526251.5262516,score=0.0
2026-04-24T17:41:34.737436,PLATEAU_CONFIRMED,Wideband signal detected,freq=1806927960.9279609,bw=8.251953125,hits=8
2026-04-24T17:41:34.911469,VIDEO_REJECTED,autocorr rejected video,freq=1806927960.9279609,score=0.0
2026-04-24T17:41:35.085401,PLATEAU_CONFIRMED,Wideband signal detected,freq=1827628815.6288157,bw=4.931640625,hits=10
2026-04-24T17:41:35.121186,VIDEO_REJECTED,autocorr rejected video,freq=1827628815.6288157,score=0.0
2026-04-24T17:41:35.149816,PLATEAU_CONFIRMED,Wideband signal detected,freq=1836529914.5299146,bw=5.947265625,hits=9
2026-04-24T17:41:35.179099,VIDEO_REJECTED,autocorr rejected video,freq=1836529914.5299146,score=0.0
2026-04-24T17:41:35.191175,PLATEAU_CONFIRMED,Wideband signal detected,freq=1856881562.881563,bw=8.9453125,hits=7
2026-04-24T17:41:35.236049,VIDEO_REJECTED,autocorr rejected video,freq=1856881562.881563,score=0.0
2026-04-24T17:41:35.273175,PLATEAU_CONFIRMED,Wideband signal detected,freq=1875474969.4749694,bw=9.7216796875,hits=10
2026-04-24T17:41:35.312420,VIDEO_REJECTED,autocorr rejected video,freq=1875474969.4749694,score=0.0
2026-04-24T17:41:35.326110,PLATEAU_CONFIRMED,Wideband signal detected,freq=1895792429.7924297,bw=8.45703125,hits=10
2026-04-24T17:41:35.359399,VIDEO_REJECTED,autocorr rejected video,freq=1895792429.7924297,score=0.0
2026-04-24T17:41:35.372379,PLATEAU_CONFIRMED,Wideband signal detected,freq=1919221001.2210011,bw=7.353515625,hits=5
2026-04-24T17:41:35.395255,VIDEO_REJECTED,autocorr rejected video,freq=1919221001.2210011,score=0.0
2026-04-24T17:41:35.403682,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=1940000000
2026-04-24T17:41:35.433665,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=1960000000
2026-04-24T17:41:35.463595,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=1980000000
2026-04-24T17:41:35.497769,PLATEAU_CONFIRMED,Wideband signal detected,freq=2000539682.5396824,bw=3.2568359375,hits=4
2026-04-24T17:41:35.523078,VIDEO_REJECTED,autocorr rejected video,freq=2000539682.5396824,score=0.0
2026-04-24T17:41:35.533610,PLATEAU_CONFIRMED,Wideband signal detected,freq=2018051282.051282,bw=5.1171875,hits=4
2026-04-24T17:41:35.558084,VIDEO_REJECTED,autocorr rejected video,freq=2018051282.051282,score=0.0
2026-04-24T17:41:35.579788,PLATEAU_CONFIRMED,Wideband signal detected,freq=2037194139.1941392,bw=9.931640625,hits=5
2026-04-24T17:41:35.618076,VIDEO_REJECTED,autocorr rejected video,freq=2037194139.1941392,score=0.0
2026-04-24T17:41:35.691485,PLATEAU_CONFIRMED,Wideband signal detected,freq=2055242979.242979,bw=8.8330078125,hits=10
2026-04-24T17:41:35.763261,VIDEO_REJECTED,autocorr rejected video,freq=2055242979.242979,score=0.0
2026-04-24T17:41:35.939036,PLATEAU_CONFIRMED,Wideband signal detected,freq=2073899877.899878,bw=8.5498046875,hits=10
2026-04-24T17:41:36.009137,VIDEO_REJECTED,autocorr rejected video,freq=2073899877.899878,score=0.0
2026-04-24T17:41:36.136578,PLATEAU_CONFIRMED,Wideband signal detected,freq=2092996336.996337,bw=5.986328125,hits=10
2026-04-24T17:41:36.148138,VIDEO_REJECTED,autocorr rejected video,freq=2092996336.996337,score=0.0
2026-04-24T17:41:36.197671,PLATEAU_CONFIRMED,Wideband signal detected,freq=2119938949.9389498,bw=6.5234375,hits=5
2026-04-24T17:41:36.265367,VIDEO_REJECTED,autocorr rejected video,freq=2119938949.9389498,score=0.0
2026-04-24T17:41:36.461658,PLATEAU_CONFIRMED,Wideband signal detected,freq=2144840048.8400488,bw=8.955078125,hits=8
2026-04-24T17:41:36.473382,VIDEO_REJECTED,autocorr rejected video,freq=2144840048.8400488,score=0.0
2026-04-24T17:41:36.539819,PLATEAU_CONFIRMED,Wideband signal detected,freq=2164534798.5347986,bw=8.5986328125,hits=10
2026-04-24T17:41:36.592111,VIDEO_REJECTED,autocorr rejected video,freq=2164534798.5347986,score=0.0
2026-04-24T17:41:36.874956,PLATEAU_CONFIRMED,Wideband signal detected,freq=2186090354.090354,bw=7.1435546875,hits=8
2026-04-24T17:41:36.897562,VIDEO_REJECTED,autocorr rejected video,freq=2186090354.090354,score=0.0
2026-04-24T17:41:37.025371,PLATEAU_CONFIRMED,Wideband signal detected,freq=2206610500.610501,bw=7.431640625,hits=10
2026-04-24T17:41:37.043050,VIDEO_REJECTED,autocorr rejected video,freq=2206610500.610501,score=0.0
2026-04-24T17:41:37.212338,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=2340000000
2026-04-24T17:41:37.271938,PLATEAU_CONFIRMED,Wideband signal detected,freq=2360967032.967033,bw=9.873046875,hits=6
2026-04-24T17:41:37.302480,VIDEO_REJECTED,autocorr rejected video,freq=2360967032.967033,score=0.0
2026-04-24T17:41:37.579639,PLATEAU_CONFIRMED,Wideband signal detected,freq=2406913308.913309,bw=6.1767578125,hits=7
2026-04-24T17:41:37.597343,VIDEO_REJECTED,autocorr rejected video,freq=2406913308.913309,score=0.0
2026-04-24T17:41:37.614281,PLATEAU_CONFIRMED,Wideband signal detected,freq=2416647130.6471305,bw=4.7119140625,hits=3
2026-04-24T17:41:37.632084,VIDEO_REJECTED,autocorr rejected video,freq=2416647130.6471305,score=0.0
2026-04-24T17:41:38.056424,PLATEAU_CONFIRMED,Wideband signal detected,freq=2612735042.7350426,bw=5.771484375,hits=7
2026-04-24T17:41:38.065396,VIDEO_REJECTED,autocorr rejected video,freq=2612735042.7350426,score=0.0
2026-04-24T17:41:38.134217,PLATEAU_CONFIRMED,Wideband signal detected,freq=2635206349.2063494,bw=8.5302734375,hits=6
2026-04-24T17:41:38.169387,VIDEO_REJECTED,autocorr rejected video,freq=2635206349.2063494,score=0.0
2026-04-24T17:41:38.263842,PLATEAU_CONFIRMED,Wideband signal detected,freq=2653816849.8168497,bw=8.232421875,hits=6
2026-04-24T17:41:38.323672,VIDEO_REJECTED,autocorr rejected video,freq=2653816849.8168497,score=0.0
2026-04-24T17:41:38.333737,PLATEAU_CONFIRMED,Wideband signal detected,freq=2672163614.1636143,bw=4.228515625,hits=7
2026-04-24T17:41:38.352241,VIDEO_REJECTED,autocorr rejected video,freq=2672163614.1636143,score=0.0
2026-04-24T17:41:38.415947,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=2740000000
2026-04-24T17:41:38.670041,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=2940000000
2026-04-24T17:41:38.814091,PLATEAU_CONFIRMED,Wideband signal detected,freq=3024695970.6959705,bw=9.365234375,hits=6
2026-04-24T17:41:38.838786,VIDEO_REJECTED,autocorr rejected video,freq=3024695970.6959705,score=0.0
2026-04-24T17:41:38.854889,PLATEAU_CONFIRMED,Wideband signal detected,freq=3046190476.1904764,bw=7.294921875,hits=6
2026-04-24T17:41:38.879130,VIDEO_REJECTED,autocorr rejected video,freq=3046190476.1904764,score=0.0
2026-04-24T17:41:38.923280,PLATEAU_CONFIRMED,Wideband signal detected,freq=3074766788.766789,bw=6.552734375,hits=3
2026-04-24T17:41:38.948455,VIDEO_REJECTED,autocorr rejected video,freq=3074766788.766789,score=0.0
2026-04-24T17:41:38.960307,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=3100000000
2026-04-24T17:41:38.989953,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=3120000000
2026-04-24T17:41:39.134172,PLATEAU_CONFIRMED,Wideband signal detected,freq=3221233211.233211,bw=7.880859375,hits=5
2026-04-24T17:41:39.151874,VIDEO_REJECTED,autocorr rejected video,freq=3221233211.233211,score=0.0
2026-04-24T17:41:39.325088,PLATEAU_CONFIRMED,Wideband signal detected,freq=3366229548.2295485,bw=4.6923828125,hits=3
2026-04-24T17:41:39.344862,VIDEO_REJECTED,autocorr rejected video,freq=3366229548.2295485,score=0.0
2026-04-24T17:41:39.359588,PLATEAU_CONFIRMED,Wideband signal detected,freq=3378620268.620269,bw=3.0615234375,hits=3
2026-04-24T17:41:39.378866,VIDEO_REJECTED,autocorr rejected video,freq=3378620268.620269,score=0.0
2026-04-24T17:41:39.390818,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=3400000000
2026-04-24T17:41:39.469003,PLATEAU_CONFIRMED,Wideband signal detected,freq=3426576312.5763125,bw=5.478515625,hits=6
2026-04-24T17:41:39.510837,VIDEO_REJECTED,autocorr rejected video,freq=3426576312.5763125,score=0.0
2026-04-24T17:41:39.534312,PLATEAU_CONFIRMED,Wideband signal detected,freq=3446405372.4053726,bw=9.2333984375,hits=9
2026-04-24T17:41:39.559073,VIDEO_REJECTED,autocorr rejected video,freq=3446405372.4053726,score=0.0
2026-04-24T17:41:39.573416,PLATEAU_CONFIRMED,Wideband signal detected,freq=3462776556.776557,bw=7.138671875,hits=8
2026-04-24T17:41:39.597125,VIDEO_REJECTED,autocorr rejected video,freq=3462776556.776557,score=0.0
2026-04-24T17:41:39.641732,PLATEAU_CONFIRMED,Wideband signal detected,freq=3501389499.3894997,bw=7.587890625,hits=8
2026-04-24T17:41:39.661972,VIDEO_REJECTED,autocorr rejected video,freq=3501389499.3894997,score=0.0
2026-04-24T17:41:39.677671,PLATEAU_CONFIRMED,Wideband signal detected,freq=3519758241.7582417,bw=6.40625,hits=4
2026-04-24T17:41:39.699199,VIDEO_REJECTED,autocorr rejected video,freq=3519758241.7582417,score=0.0
2026-04-24T17:41:39.715596,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=3540000000
2026-04-24T17:41:39.754262,PLATEAU_CONFIRMED,Wideband signal detected,freq=3567299145.299145,bw=7.412109375,hits=5
2026-04-24T17:41:39.772541,VIDEO_REJECTED,autocorr rejected video,freq=3567299145.299145,score=0.0
2026-04-24T17:41:39.789034,PLATEAU_CONFIRMED,Wideband signal detected,freq=3583377289.3772893,bw=9.3310546875,hits=10
2026-04-24T17:41:39.814638,VIDEO_REJECTED,autocorr rejected video,freq=3583377289.3772893,score=0.0
2026-04-24T17:41:39.892980,PLATEAU_CONFIRMED,Wideband signal detected,freq=3607079365.0793653,bw=6.3623046875,hits=8
