2026-04-24T17:19:26.590111,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:19:26.630137,PLATEAU_CONFIRMED,Wideband signal detected,freq=103719169.71916972,bw=8.5986328125,hits=9
2026-04-24T17:19:26.652670,VIDEO_REJECTED,cyclo rejected video,freq=103719169.71916972,score=0
2026-04-24T17:19:26.669642,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=120000000
2026-04-24T17:19:26.728104,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=160000000
2026-04-24T17:19:26.759012,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=180000000
2026-04-24T17:19:26.794808,PLATEAU_CONFIRMED,Wideband signal detected,freq=205575091.57509157,bw=5.576171875,hits=5
2026-04-24T17:19:26.826261,VIDEO_REJECTED,cyclo rejected video,freq=205575091.57509157,score=0
2026-04-24T17:19:26.834970,PLATEAU_CONFIRMED,Wideband signal detected,freq=226039072.03907204,bw=5.3759765625,hits=9
2026-04-24T17:19:26.858364,VIDEO_REJECTED,cyclo rejected video,freq=226039072.03907204,score=0
2026-04-24T17:19:26.916529,PLATEAU_CONFIRMED,Wideband signal detected,freq=265953601.95360196,bw=5.2880859375,hits=4
2026-04-24T17:19:26.946390,VIDEO_REJECTED,cyclo rejected video,freq=265953601.95360196,score=0
2026-04-24T17:19:26.951219,PLATEAU_CONFIRMED,Wideband signal detected,freq=285174603.17460316,bw=3.8623046875,hits=3
2026-04-24T17:19:26.978557,VIDEO_REJECTED,cyclo rejected video,freq=285174603.17460316,score=0
2026-04-24T17:19:26.988326,PLATEAU_CONFIRMED,Wideband signal detected,freq=296334554.3345543,bw=7.265625,hits=5
2026-04-24T17:19:27.031817,VIDEO_REJECTED,cyclo rejected video,freq=296334554.3345543,score=0
2026-04-24T17:19:27.040705,PLATEAU_CONFIRMED,Wideband signal detected,freq=315221001.2210012,bw=9.86328125,hits=9
2026-04-24T17:19:27.100033,PLATEAU_CONFIRMED,Wideband signal detected,freq=333619047.61904764,bw=9.12109375,hits=10
2026-04-24T17:19:27.100590,VIDEO_REJECTED,cyclo rejected video,freq=315221001.2210012,score=0
2026-04-24T17:19:27.128875,VIDEO_REJECTED,cyclo rejected video,freq=333619047.61904764,score=0
2026-04-24T17:19:27.140854,PLATEAU_CONFIRMED,Wideband signal detected,freq=361924297.9242979,bw=4.140625,hits=6
2026-04-24T17:19:27.167089,VIDEO_REJECTED,cyclo rejected video,freq=361924297.9242979,score=0
2026-04-24T17:19:27.172618,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=380000000
2026-04-24T17:19:27.444053,PLATEAU_CONFIRMED,Wideband signal detected,freq=422537240.53724056,bw=4.970703125,hits=8
2026-04-24T17:19:27.561343,PLATEAU_CONFIRMED,Wideband signal detected,freq=442483516.48351645,bw=3.9208984375,hits=10
2026-04-24T17:19:27.561739,VIDEO_REJECTED,cyclo rejected video,freq=422537240.53724056,score=0
2026-04-24T17:19:27.584417,VIDEO_REJECTED,cyclo rejected video,freq=442483516.48351645,score=0
2026-04-24T17:19:27.945600,PLATEAU_CONFIRMED,Wideband signal detected,freq=481997557.997558,bw=7.83203125,hits=8
2026-04-24T17:19:28.112274,PLATEAU_CONFIRMED,Wideband signal detected,freq=502024420.02442,bw=7.7734375,hits=10
2026-04-24T17:19:28.112833,VIDEO_REJECTED,cyclo rejected video,freq=481997557.997558,score=0
2026-04-24T17:19:28.307230,VIDEO_REJECTED,cyclo rejected video,freq=502024420.02442,score=0
2026-04-24T17:19:28.343159,PLATEAU_CONFIRMED,Wideband signal detected,freq=528048840.04884005,bw=3.9111328125,hits=8
2026-04-24T17:19:28.374708,VIDEO_REJECTED,cyclo rejected video,freq=528048840.04884005,score=0
2026-04-24T17:19:28.678999,PLATEAU_CONFIRMED,Wideband signal detected,freq=531948717.94871795,bw=3.90625,hits=10
2026-04-24T17:19:28.929986,VIDEO_REJECTED,cyclo rejected video,freq=531948717.94871795,score=0
2026-04-24T17:19:28.955627,PLATEAU_CONFIRMED,Wideband signal detected,freq=551946275.946276,bw=3.9111328125,hits=10
2026-04-24T17:19:28.966045,VIDEO_REJECTED,cyclo rejected video,freq=551946275.946276,score=0
2026-04-24T17:19:29.162793,PLATEAU_CONFIRMED,Wideband signal detected,freq=571948717.948718,bw=3.9208984375,hits=10
2026-04-24T17:19:29.290756,PLATEAU_CONFIRMED,Wideband signal detected,freq=601833943.8339438,bw=7.353515625,hits=8
2026-04-24T17:19:29.291218,VIDEO_REJECTED,cyclo rejected video,freq=571948717.948718,score=0
2026-04-24T17:19:29.361698,PLATEAU_CONFIRMED,Wideband signal detected,freq=625181929.1819291,bw=7.783203125,hits=10
2026-04-24T17:19:29.362411,VIDEO_REJECTED,cyclo rejected video,freq=601833943.8339438,score=0
2026-04-24T17:19:29.426910,VIDEO_REJECTED,cyclo rejected video,freq=625181929.1819291,score=0
2026-04-24T17:19:29.428206,PLATEAU_CONFIRMED,Wideband signal detected,freq=646800976.8009768,bw=9.1162109375,hits=10
2026-04-24T17:19:29.454095,VIDEO_REJECTED,cyclo rejected video,freq=646800976.8009768,score=0
2026-04-24T17:19:29.468580,PLATEAU_CONFIRMED,Wideband signal detected,freq=666771672.7716727,bw=5.537109375,hits=5
2026-04-24T17:19:29.500983,VIDEO_REJECTED,cyclo rejected video,freq=666771672.7716727,score=0
2026-04-24T17:19:29.505234,PLATEAU_CONFIRMED,Wideband signal detected,freq=685223443.2234433,bw=8.2177734375,hits=10
2026-04-24T17:19:29.530475,VIDEO_REJECTED,cyclo rejected video,freq=685223443.2234433,score=0
2026-04-24T17:19:29.537174,PLATEAU_CONFIRMED,Wideband signal detected,freq=699738705.7387058,bw=3.818359375,hits=5
2026-04-24T17:19:29.565984,VIDEO_REJECTED,cyclo rejected video,freq=699738705.7387058,score=0
2026-04-24T17:19:29.569539,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=720000000
2026-04-24T17:19:29.596587,PLATEAU_CONFIRMED,Wideband signal detected,freq=741772893.7728938,bw=3.1689453125,hits=4
2026-04-24T17:19:29.622842,VIDEO_REJECTED,cyclo rejected video,freq=741772893.7728938,score=0
2026-04-24T17:19:29.657893,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=780000000
2026-04-24T17:19:29.928402,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=920000000
2026-04-24T17:19:30.368297,PLATEAU_CONFIRMED,Wideband signal detected,freq=936207570.2075702,bw=9.0625,hits=5
2026-04-24T17:19:30.581752,VIDEO_REJECTED,cyclo rejected video,freq=936207570.2075702,score=0
2026-04-24T17:19:30.594789,PLATEAU_CONFIRMED,Wideband signal detected,freq=954898656.8986568,bw=8.9404296875,hits=4
2026-04-24T17:19:30.648080,VIDEO_REJECTED,cyclo rejected video,freq=954898656.8986568,score=0
2026-04-24T17:19:30.658440,PLATEAU_CONFIRMED,Wideband signal detected,freq=973973137.973138,bw=6.0693359375,hits=10
2026-04-24T17:19:30.686639,VIDEO_REJECTED,cyclo rejected video,freq=973973137.973138,score=0
2026-04-24T17:19:30.843128,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1100000000
2026-04-24T17:19:31.325863,PLATEAU_CONFIRMED,Wideband signal detected,freq=1239870573.8705738,bw=9.2724609375,hits=7
2026-04-24T17:19:31.345408,VIDEO_CONFIRMED,cyclo confirmed video,freq=1239870573.8705738,score=6
2026-04-24T17:19:31.416418,PLATEAU_CONFIRMED,Wideband signal detected,freq=1260217338.2173383,bw=6.884765625,hits=8
2026-04-24T17:19:31.440432,VIDEO_REJECTED,cyclo rejected video,freq=1260217338.2173383,score=1
2026-04-24T17:19:31.528081,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1340000000
2026-04-24T17:19:32.338048,PLATEAU_CONFIRMED,Wideband signal detected,freq=1767460317.4603174,bw=5.087890625,hits=8
2026-04-24T17:19:32.355346,VIDEO_REJECTED,cyclo rejected video,freq=1767460317.4603174,score=0
2026-04-24T17:19:32.825310,PLATEAU_CONFIRMED,Wideband signal detected,freq=1786273504.2735043,bw=7.880859375,hits=10
2026-04-24T17:19:32.837613,VIDEO_REJECTED,cyclo rejected video,freq=1786273504.2735043,score=0
2026-04-24T17:19:33.059305,PLATEAU_CONFIRMED,Wideband signal detected,freq=1806107448.107448,bw=7.6220703125,hits=10
2026-04-24T17:19:33.071515,VIDEO_REJECTED,cyclo rejected video,freq=1806107448.107448,score=0
2026-04-24T17:19:33.333418,PLATEAU_CONFIRMED,Wideband signal detected,freq=1827538461.5384614,bw=4.9365234375,hits=10
2026-04-24T17:19:33.350461,VIDEO_REJECTED,cyclo rejected video,freq=1827538461.5384614,score=0
2026-04-24T17:19:33.441134,PLATEAU_CONFIRMED,Wideband signal detected,freq=1847518925.5189254,bw=4.8974609375,hits=10
2026-04-24T17:19:33.490104,VIDEO_REJECTED,cyclo rejected video,freq=1847518925.5189254,score=0
2026-04-24T17:19:33.497431,PLATEAU_CONFIRMED,Wideband signal detected,freq=1859694749.6947496,bw=8.6669921875,hits=5
2026-04-24T17:19:33.562504,VIDEO_REJECTED,cyclo rejected video,freq=1859694749.6947496,score=0
2026-04-24T17:19:33.570730,PLATEAU_CONFIRMED,Wideband signal detected,freq=1874927960.9279609,bw=9.677734375,hits=4
2026-04-24T17:19:33.610198,VIDEO_REJECTED,cyclo rejected video,freq=1874927960.9279609,score=0
2026-04-24T17:19:33.617626,PLATEAU_CONFIRMED,Wideband signal detected,freq=1895684981.6849816,bw=6.572265625,hits=6
2026-04-24T17:19:33.641774,VIDEO_REJECTED,cyclo rejected video,freq=1895684981.6849816,score=0
2026-04-24T17:19:33.660063,PLATEAU_CONFIRMED,Wideband signal detected,freq=1915833943.8339438,bw=6.484375,hits=4
2026-04-24T17:19:33.684911,VIDEO_REJECTED,cyclo rejected video,freq=1915833943.8339438,score=0
2026-04-24T17:19:33.703564,PLATEAU_CONFIRMED,Wideband signal detected,freq=1935118437.118437,bw=4.990234375,hits=7
2026-04-24T17:19:33.727683,VIDEO_REJECTED,cyclo rejected video,freq=1935118437.118437,score=0
2026-04-24T17:19:33.737716,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1960000000
2026-04-24T17:19:33.767125,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1980000000
2026-04-24T17:19:33.807680,PLATEAU_CONFIRMED,Wideband signal detected,freq=2006004884.004884,bw=6.58203125,hits=4
2026-04-24T17:19:33.840949,VIDEO_REJECTED,cyclo rejected video,freq=2006004884.004884,score=0
2026-04-24T17:19:33.878036,PLATEAU_CONFIRMED,Wideband signal detected,freq=2037655677.6556778,bw=7.998046875,hits=6
2026-04-24T17:19:33.913532,VIDEO_REJECTED,cyclo rejected video,freq=2037655677.6556778,score=0
2026-04-24T17:19:34.007765,PLATEAU_CONFIRMED,Wideband signal detected,freq=2055465201.4652014,bw=9.0087890625,hits=8
2026-04-24T17:19:34.301435,VIDEO_REJECTED,cyclo rejected video,freq=2055465201.4652014,score=0
2026-04-24T17:19:34.530103,PLATEAU_CONFIRMED,Wideband signal detected,freq=2074056166.0561662,bw=9.1455078125,hits=10
2026-04-24T17:19:34.540342,VIDEO_REJECTED,cyclo rejected video,freq=2074056166.0561662,score=0
2026-04-24T17:19:34.756240,PLATEAU_CONFIRMED,Wideband signal detected,freq=2093455433.4554334,bw=7.0654296875,hits=10
2026-04-24T17:19:34.781183,VIDEO_REJECTED,cyclo rejected video,freq=2093455433.4554334,score=0
2026-04-24T17:19:34.808801,PLATEAU_CONFIRMED,Wideband signal detected,freq=2120959706.959707,bw=8.583984375,hits=5
2026-04-24T17:19:34.918860,VIDEO_REJECTED,cyclo rejected video,freq=2120959706.959707,score=0
2026-04-24T17:19:35.149610,PLATEAU_CONFIRMED,Wideband signal detected,freq=2144910866.910867,bw=9.2236328125,hits=10
2026-04-24T17:19:35.250051,VIDEO_REJECTED,cyclo rejected video,freq=2144910866.910867,score=0
2026-04-24T17:19:35.260788,PLATEAU_CONFIRMED,Wideband signal detected,freq=2164866910.866911,bw=9.1943359375,hits=10
2026-04-24T17:19:35.378147,VIDEO_REJECTED,cyclo rejected video,freq=2164866910.866911,score=0
2026-04-24T17:19:35.379318,PLATEAU_CONFIRMED,Wideband signal detected,freq=2187235653.2356534,bw=5.283203125,hits=7
2026-04-24T17:19:35.421674,VIDEO_REJECTED,cyclo rejected video,freq=2187235653.2356534,score=0
2026-04-24T17:19:35.428146,PLATEAU_CONFIRMED,Wideband signal detected,freq=2207377289.3772893,bw=3.5205078125,hits=7
2026-04-24T17:19:35.450291,VIDEO_REJECTED,cyclo rejected video,freq=2207377289.3772893,score=0
2026-04-24T17:19:35.660407,PLATEAU_CONFIRMED,Wideband signal detected,freq=2359997557.997558,bw=5.966796875,hits=7
2026-04-24T17:19:35.699994,VIDEO_REJECTED,cyclo rejected video,freq=2359997557.997558,score=0
2026-04-24T17:19:35.704684,PLATEAU_CONFIRMED,Wideband signal detected,freq=2383103785.103785,bw=9.94140625,hits=7
2026-04-24T17:19:35.926445,VIDEO_REJECTED,cyclo rejected video,freq=2383103785.103785,score=0
2026-04-24T17:19:35.968013,PLATEAU_CONFIRMED,Wideband signal detected,freq=2391953601.953602,bw=4.0087890625,hits=8
2026-04-24T17:19:36.211638,VIDEO_REJECTED,cyclo rejected video,freq=2391953601.953602,score=2
2026-04-24T17:19:36.220662,PLATEAU_CONFIRMED,Wideband signal detected,freq=2411992673.992674,bw=3.9892578125,hits=9
2026-04-24T17:19:36.268182,PLATEAU_CONFIRMED,Wideband signal detected,freq=2436539682.5396824,bw=7.978515625,hits=7
2026-04-24T17:19:36.268368,VIDEO_REJECTED,cyclo rejected video,freq=2411992673.992674,score=0
2026-04-24T17:19:36.290110,VIDEO_REJECTED,cyclo rejected video,freq=2436539682.5396824,score=0
2026-04-24T17:19:36.326290,PLATEAU_CONFIRMED,Wideband signal detected,freq=2481487179.4871793,bw=3.9990234375,hits=3
