2026-04-24T17:41:11.039674,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:41:11.076018,PLATEAU_CONFIRMED,Wideband signal detected,freq=103196581.1965812,bw=3.7060546875,hits=7
2026-04-24T17:41:11.099979,VIDEO_REJECTED,autocorr rejected video,freq=103196581.1965812,score=0.0
2026-04-24T17:41:11.116057,PLATEAU_CONFIRMED,Wideband signal detected,freq=124173382.17338218,bw=5.21484375,hits=3
2026-04-24T17:41:11.117125,ZERO_BUFFER,All samples are zero
2026-04-24T17:41:11.140673,VIDEO_REJECTED,autocorr rejected video,freq=124173382.17338218,score=0.0
2026-04-24T17:41:11.147580,ZERO_BUFFER,All samples are zero
2026-04-24T17:41:11.152396,PLATEAU_CONFIRMED,Wideband signal detected,freq=147079365.07936507,bw=7.2900390625,hits=3
2026-04-24T17:41:11.180332,VIDEO_REJECTED,autocorr rejected video,freq=147079365.07936507,score=0.0
2026-04-24T17:41:11.189356,PLATEAU_CONFIRMED,Wideband signal detected,freq=160984126.98412699,bw=4.94140625,hits=3
2026-04-24T17:41:11.208489,VIDEO_REJECTED,autocorr rejected video,freq=160984126.98412699,score=0.0
2026-04-24T17:41:11.226849,PLATEAU_CONFIRMED,Wideband signal detected,freq=173572649.5726496,bw=5.72265625,hits=4
2026-04-24T17:41:11.255149,VIDEO_REJECTED,autocorr rejected video,freq=173572649.5726496,score=0.0
2026-04-24T17:41:11.332769,PLATEAU_CONFIRMED,Wideband signal detected,freq=205409035.4090354,bw=6.513671875,hits=7
2026-04-24T17:41:11.361215,VIDEO_REJECTED,autocorr rejected video,freq=205409035.4090354,score=0.0
2026-04-24T17:41:11.372477,PLATEAU_CONFIRMED,Wideband signal detected,freq=225448107.44810745,bw=5.52734375,hits=5
2026-04-24T17:41:11.388884,VIDEO_REJECTED,autocorr rejected video,freq=225448107.44810745,score=0.0
2026-04-24T17:41:11.510830,PLATEAU_CONFIRMED,Wideband signal detected,freq=245684981.68498167,bw=7.490234375,hits=6
2026-04-24T17:41:11.540346,VIDEO_REJECTED,autocorr rejected video,freq=245684981.68498167,score=0.0
2026-04-24T17:41:11.563491,PLATEAU_CONFIRMED,Wideband signal detected,freq=266329670.3296703,bw=5.5126953125,hits=10
2026-04-24T17:41:11.581927,VIDEO_REJECTED,autocorr rejected video,freq=266329670.3296703,score=0.0
2026-04-24T17:41:11.655456,PLATEAU_CONFIRMED,Wideband signal detected,freq=315084249.0842491,bw=6.357421875,hits=4
2026-04-24T17:41:11.676121,VIDEO_REJECTED,autocorr rejected video,freq=315084249.0842491,score=0.0
2026-04-24T17:41:11.688646,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=340000000
2026-04-24T17:41:11.808528,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=420000000
2026-04-24T17:41:12.346215,PLATEAU_CONFIRMED,Wideband signal detected,freq=481995115.995116,bw=7.8173828125,hits=8
2026-04-24T17:41:12.366125,VIDEO_REJECTED,autocorr rejected video,freq=481995115.995116,score=0.0
2026-04-24T17:41:12.458212,PLATEAU_CONFIRMED,Wideband signal detected,freq=502363858.36385834,bw=7.32421875,hits=10
2026-04-24T17:41:12.580790,VIDEO_REJECTED,autocorr rejected video,freq=502363858.36385834,score=0.0
2026-04-24T17:41:12.751342,PLATEAU_CONFIRMED,Wideband signal detected,freq=528039072.03907204,bw=3.9501953125,hits=8
2026-04-24T17:41:12.893243,VIDEO_REJECTED,autocorr rejected video,freq=528039072.03907204,score=0.0
2026-04-24T17:41:13.180966,PLATEAU_CONFIRMED,Wideband signal detected,freq=531948717.94871795,bw=3.90625,hits=10
2026-04-24T17:41:13.351861,VIDEO_REJECTED,autocorr rejected video,freq=531948717.94871795,score=0.0
2026-04-24T17:41:13.615604,PLATEAU_CONFIRMED,Wideband signal detected,freq=551953601.953602,bw=3.916015625,hits=10
2026-04-24T17:41:13.664044,VIDEO_REJECTED,autocorr rejected video,freq=551953601.953602,score=0.0
2026-04-24T17:41:13.949372,PLATEAU_CONFIRMED,Wideband signal detected,freq=588056166.056166,bw=3.8916015625,hits=10
2026-04-24T17:41:13.959917,VIDEO_REJECTED,autocorr rejected video,freq=588056166.056166,score=0.0
2026-04-24T17:41:14.007097,PLATEAU_CONFIRMED,Wideband signal detected,freq=602864468.8644688,bw=7.9931640625,hits=7
2026-04-24T17:41:14.093662,VIDEO_REJECTED,autocorr rejected video,freq=602864468.8644688,score=0.0
2026-04-24T17:41:14.385244,PLATEAU_CONFIRMED,Wideband signal detected,freq=625965811.965812,bw=7.7880859375,hits=8
2026-04-24T17:41:14.401082,VIDEO_REJECTED,autocorr rejected video,freq=625965811.965812,score=0.0
2026-04-24T17:41:14.486474,PLATEAU_CONFIRMED,Wideband signal detected,freq=646053724.053724,bw=7.6904296875,hits=10
2026-04-24T17:41:14.518228,VIDEO_REJECTED,autocorr rejected video,freq=646053724.053724,score=0.0
2026-04-24T17:41:14.531567,PLATEAU_CONFIRMED,Wideband signal detected,freq=665242979.2429793,bw=7.919921875,hits=4
2026-04-24T17:41:14.554972,VIDEO_REJECTED,autocorr rejected video,freq=665242979.2429793,score=0.0
2026-04-24T17:41:14.573604,PLATEAU_CONFIRMED,Wideband signal detected,freq=684119658.1196581,bw=8.41796875,hits=7
2026-04-24T17:41:14.594534,VIDEO_REJECTED,autocorr rejected video,freq=684119658.1196581,score=0.0
2026-04-24T17:41:14.636641,PLATEAU_CONFIRMED,Wideband signal detected,freq=714048840.04884,bw=6.0546875,hits=3
2026-04-24T17:41:14.656192,VIDEO_REJECTED,autocorr rejected video,freq=714048840.04884,score=0.0
2026-04-24T17:41:14.929755,PLATEAU_CONFIRMED,Wideband signal detected,freq=915216117.2161173,bw=4.892578125,hits=5
2026-04-24T17:41:14.991397,VIDEO_REJECTED,autocorr rejected video,freq=915216117.2161173,score=0.0
2026-04-24T17:41:15.169437,PLATEAU_CONFIRMED,Wideband signal detected,freq=937189255.1892552,bw=9.150390625,hits=8
2026-04-24T17:41:15.261884,VIDEO_REJECTED,autocorr rejected video,freq=937189255.1892552,score=0.0
2026-04-24T17:41:15.309824,PLATEAU_CONFIRMED,Wideband signal detected,freq=955120879.1208792,bw=9.462890625,hits=10
2026-04-24T17:41:15.347002,VIDEO_REJECTED,autocorr rejected video,freq=955120879.1208792,score=0.0
2026-04-24T17:41:15.363485,PLATEAU_CONFIRMED,Wideband signal detected,freq=974202686.2026862,bw=6.513671875,hits=10
2026-04-24T17:41:15.383238,VIDEO_REJECTED,autocorr rejected video,freq=974202686.2026862,score=0.0
2026-04-24T17:41:15.832828,PLATEAU_CONFIRMED,Wideband signal detected,freq=1239680097.6800976,bw=7.275390625,hits=8
2026-04-24T17:41:15.889064,VIDEO_CONFIRMED,autocorr confirmed video,freq=1239680097.6800976,score=0.9
2026-04-24T17:41:15.904803,PLATEAU_CONFIRMED,Wideband signal detected,freq=1258947496.947497,bw=6.2890625,hits=9
2026-04-24T17:41:15.927671,VIDEO_REJECTED,autocorr rejected video,freq=1258947496.947497,score=0.1
2026-04-24T17:41:15.936569,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1280000000
2026-04-24T17:41:15.967345,PLATEAU_CONFIRMED,Wideband signal detected,freq=1305658119.6581197,bw=7.314453125,hits=7
2026-04-24T17:41:16.023349,VIDEO_REJECTED,autocorr rejected video,freq=1305658119.6581197,score=0.1
2026-04-24T17:41:16.040334,PLATEAU_CONFIRMED,Wideband signal detected,freq=1319225885.2258852,bw=5.9423828125,hits=9
2026-04-24T17:41:16.058988,VIDEO_REJECTED,autocorr rejected video,freq=1319225885.2258852,score=0.1
2026-04-24T17:41:16.597957,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=1740000000
2026-04-24T17:41:16.821799,PLATEAU_CONFIRMED,Wideband signal detected,freq=1767450549.4505494,bw=5.1171875,hits=7
2026-04-24T17:41:16.849168,VIDEO_REJECTED,autocorr rejected video,freq=1767450549.4505494,score=0.0
2026-04-24T17:41:16.914264,PLATEAU_CONFIRMED,Wideband signal detected,freq=1785191697.1916971,bw=7.32421875,hits=6
2026-04-24T17:41:17.013521,VIDEO_REJECTED,autocorr rejected video,freq=1785191697.1916971,score=0.0
2026-04-24T17:41:17.123901,PLATEAU_CONFIRMED,Wideband signal detected,freq=1805785103.7851038,bw=8.037109375,hits=10
2026-04-24T17:41:17.261521,VIDEO_REJECTED,autocorr rejected video,freq=1805785103.7851038,score=0.0
2026-04-24T17:41:17.457827,PLATEAU_CONFIRMED,Wideband signal detected,freq=1827611721.6117215,bw=4.8876953125,hits=10
2026-04-24T17:41:17.572269,VIDEO_REJECTED,autocorr rejected video,freq=1827611721.6117215,score=0.0
2026-04-24T17:41:17.618607,PLATEAU_CONFIRMED,Wideband signal detected,freq=1847369963.3699632,bw=4.7900390625,hits=10
2026-04-24T17:41:17.640763,VIDEO_REJECTED,autocorr rejected video,freq=1847369963.3699632,score=0.0
2026-04-24T17:41:17.659959,PLATEAU_CONFIRMED,Wideband signal detected,freq=1862092796.092796,bw=4.2529296875,hits=3
2026-04-24T17:41:17.692434,VIDEO_REJECTED,autocorr rejected video,freq=1862092796.092796,score=0.0
2026-04-24T17:41:17.733046,PLATEAU_CONFIRMED,Wideband signal detected,freq=1875540903.5409036,bw=9.7265625,hits=10
2026-04-24T17:41:17.757410,VIDEO_REJECTED,autocorr rejected video,freq=1875540903.5409036,score=0.0
2026-04-24T17:41:17.782170,PLATEAU_CONFIRMED,Wideband signal detected,freq=1894981684.981685,bw=9.7705078125,hits=10
2026-04-24T17:41:17.806650,VIDEO_REJECTED,autocorr rejected video,freq=1894981684.981685,score=0.0
2026-04-24T17:41:17.816277,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1920000000
2026-04-24T17:41:17.862071,PLATEAU_CONFIRMED,Wideband signal detected,freq=1934566544.5665445,bw=7.998046875,hits=9
2026-04-24T17:41:17.899395,VIDEO_REJECTED,autocorr rejected video,freq=1934566544.5665445,score=0.0
2026-04-24T17:41:17.912825,PLATEAU_CONFIRMED,Wideband signal detected,freq=1955824175.8241758,bw=8.5986328125,hits=10
2026-04-24T17:41:17.942770,VIDEO_REJECTED,autocorr rejected video,freq=1955824175.8241758,score=0.0
2026-04-24T17:41:17.950456,PLATEAU_CONFIRMED,Wideband signal detected,freq=1985428571.4285715,bw=7.5830078125,hits=9
2026-04-24T17:41:17.977779,VIDEO_REJECTED,autocorr rejected video,freq=1985428571.4285715,score=0.0
2026-04-24T17:41:17.987398,PLATEAU_CONFIRMED,Wideband signal detected,freq=2006341880.3418803,bw=3.0859375,hits=5
2026-04-24T17:41:18.017259,VIDEO_REJECTED,autocorr rejected video,freq=2006341880.3418803,score=0.0
2026-04-24T17:41:18.052747,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=2020000000
2026-04-24T17:41:18.107039,PLATEAU_CONFIRMED,Wideband signal detected,freq=2040713064.7130647,bw=6.4453125,hits=4
2026-04-24T17:41:18.154091,VIDEO_REJECTED,autocorr rejected video,freq=2040713064.7130647,score=0.0
2026-04-24T17:41:18.355894,PLATEAU_CONFIRMED,Wideband signal detected,freq=2055543345.5433455,bw=8.7744140625,hits=10
2026-04-24T17:41:18.460318,VIDEO_REJECTED,autocorr rejected video,freq=2055543345.5433455,score=0.0
2026-04-24T17:41:18.897304,PLATEAU_CONFIRMED,Wideband signal detected,freq=2073978021.978022,bw=8.30078125,hits=10
