2026-04-24T17:23:02.732337,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:23:02.768463,PLATEAU_CONFIRMED,Wideband signal detected,freq=103694749.6947497,bw=8.701171875,hits=9
2026-04-24T17:23:02.798923,VIDEO_REJECTED,cyclo rejected video,freq=103694749.6947497,score=0
2026-04-24T17:23:02.805343,ZERO_BUFFER,All samples are zero
2026-04-24T17:23:02.829799,ZERO_BUFFER,All samples are zero
2026-04-24T17:23:02.833643,PLATEAU_CONFIRMED,Wideband signal detected,freq=143191697.19169718,bw=9.6484375,hits=3
2026-04-24T17:23:02.868371,VIDEO_REJECTED,cyclo rejected video,freq=143191697.19169718,score=0
2026-04-24T17:23:02.928878,PLATEAU_CONFIRMED,Wideband signal detected,freq=177272283.2722833,bw=9.6484375,hits=7
2026-04-24T17:23:03.104534,PLATEAU_CONFIRMED,Wideband signal detected,freq=204417582.41758242,bw=5.751953125,hits=7
2026-04-24T17:23:03.105253,VIDEO_REJECTED,cyclo rejected video,freq=177272283.2722833,score=0
2026-04-24T17:23:03.162153,PLATEAU_CONFIRMED,Wideband signal detected,freq=224805860.80586082,bw=6.181640625,hits=10
2026-04-24T17:23:03.162299,VIDEO_REJECTED,cyclo rejected video,freq=204417582.41758242,score=0
2026-04-24T17:23:03.209242,PLATEAU_CONFIRMED,Wideband signal detected,freq=246183150.18315017,bw=6.015625,hits=6
2026-04-24T17:23:03.209892,VIDEO_REJECTED,cyclo rejected video,freq=224805860.80586082,score=0
2026-04-24T17:23:03.240865,VIDEO_REJECTED,cyclo rejected video,freq=246183150.18315017,score=0
2026-04-24T17:23:03.245018,PLATEAU_CONFIRMED,Wideband signal detected,freq=266175824.17582417,bw=3.96484375,hits=3
2026-04-24T17:23:03.271912,VIDEO_REJECTED,cyclo rejected video,freq=266175824.17582417,score=0
2026-04-24T17:23:03.275739,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=280000000
2026-04-24T17:23:03.311500,PLATEAU_CONFIRMED,Wideband signal detected,freq=293426129.42612946,bw=5.15625,hits=4
2026-04-24T17:23:03.337761,VIDEO_REJECTED,cyclo rejected video,freq=293426129.42612946,score=0
2026-04-24T17:23:03.348783,PLATEAU_CONFIRMED,Wideband signal detected,freq=314341880.3418803,bw=7.0263671875,hits=9
2026-04-24T17:23:03.377985,VIDEO_REJECTED,cyclo rejected video,freq=314341880.3418803,score=0
2026-04-24T17:23:03.432451,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=380000000
2026-04-24T17:23:03.464410,PLATEAU_CONFIRMED,Wideband signal detected,freq=393203907.2039072,bw=4.091796875,hits=3
2026-04-24T17:23:03.505848,VIDEO_REJECTED,cyclo rejected video,freq=393203907.2039072,score=0
2026-04-24T17:23:03.556529,PLATEAU_CONFIRMED,Wideband signal detected,freq=422410256.4102564,bw=4.5166015625,hits=6
2026-04-24T17:23:03.588666,VIDEO_REJECTED,cyclo rejected video,freq=422410256.4102564,score=0
2026-04-24T17:23:03.591818,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=440000000
2026-04-24T17:23:04.309458,PLATEAU_CONFIRMED,Wideband signal detected,freq=482000000.0,bw=7.822265625,hits=9
2026-04-24T17:23:04.692958,VIDEO_REJECTED,cyclo rejected video,freq=482000000.0,score=1
2026-04-24T17:23:04.804105,PLATEAU_CONFIRMED,Wideband signal detected,freq=502004884.004884,bw=7.8271484375,hits=10
2026-04-24T17:23:04.813784,VIDEO_REJECTED,cyclo rejected video,freq=502004884.004884,score=0
2026-04-24T17:23:05.023868,PLATEAU_CONFIRMED,Wideband signal detected,freq=528051282.05128205,bw=3.90625,hits=8
2026-04-24T17:23:05.341740,VIDEO_REJECTED,cyclo rejected video,freq=528051282.05128205,score=0
2026-04-24T17:23:05.343077,PLATEAU_CONFIRMED,Wideband signal detected,freq=548051282.051282,bw=3.9111328125,hits=10
2026-04-24T17:23:05.357069,VIDEO_REJECTED,cyclo rejected video,freq=548051282.051282,score=0
2026-04-24T17:23:05.488238,PLATEAU_CONFIRMED,Wideband signal detected,freq=568048840.04884,bw=3.90625,hits=10
2026-04-24T17:23:05.598930,VIDEO_REJECTED,cyclo rejected video,freq=568048840.04884,score=0
