2026-04-24T17:28:28.929109,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:28:28.967552,PLATEAU_CONFIRMED,Wideband signal detected,freq=95980463.98046398,bw=6.7529296875,hits=8
2026-04-24T17:28:28.991344,VIDEO_REJECTED,autocorr rejected video,freq=95980463.98046398,score=0.0
2026-04-24T17:28:29.011827,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=120000000
2026-04-24T17:28:29.064127,PLATEAU_CONFIRMED,Wideband signal detected,freq=146534798.53479853,bw=6.4404296875,hits=6
2026-04-24T17:28:29.087496,VIDEO_REJECTED,autocorr rejected video,freq=146534798.53479853,score=0.0
2026-04-24T17:28:29.129597,PLATEAU_CONFIRMED,Wideband signal detected,freq=160778998.7789988,bw=7.333984375,hits=4
2026-04-24T17:28:29.158739,VIDEO_REJECTED,autocorr rejected video,freq=160778998.7789988,score=0.0
2026-04-24T17:28:29.183288,PLATEAU_CONFIRMED,Wideband signal detected,freq=174459096.45909646,bw=7.7099609375,hits=9
2026-04-24T17:28:29.203241,VIDEO_REJECTED,autocorr rejected video,freq=174459096.45909646,score=0.0
2026-04-24T17:28:29.309839,PLATEAU_CONFIRMED,Wideband signal detected,freq=264476190.47619048,bw=7.6123046875,hits=6
2026-04-24T17:28:29.329894,VIDEO_REJECTED,autocorr rejected video,freq=264476190.47619048,score=0.0
2026-04-24T17:28:29.345525,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=280000000
2026-04-24T17:28:29.395522,PLATEAU_CONFIRMED,Wideband signal detected,freq=294083028.0830281,bw=5.830078125,hits=7
2026-04-24T17:28:29.414345,VIDEO_REJECTED,autocorr rejected video,freq=294083028.0830281,score=0.0
2026-04-24T17:28:29.455037,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=340000000
2026-04-24T17:28:29.510804,PLATEAU_CONFIRMED,Wideband signal detected,freq=375404151.40415144,bw=4.6240234375,hits=4
2026-04-24T17:28:29.532404,VIDEO_REJECTED,autocorr rejected video,freq=375404151.40415144,score=0.0
2026-04-24T17:28:29.574686,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=420000000
2026-04-24T17:28:29.631498,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=460000000
2026-04-24T17:28:30.021647,PLATEAU_CONFIRMED,Wideband signal detected,freq=481995115.995116,bw=7.8466796875,hits=8
2026-04-24T17:28:30.190465,VIDEO_REJECTED,autocorr rejected video,freq=481995115.995116,score=0.0
2026-04-24T17:28:30.243913,PLATEAU_CONFIRMED,Wideband signal detected,freq=502000000.0,bw=7.802734375,hits=10
2026-04-24T17:28:30.306397,VIDEO_REJECTED,autocorr rejected video,freq=502000000.0,score=0.0
2026-04-24T17:28:30.468021,PLATEAU_CONFIRMED,Wideband signal detected,freq=528031746.03174603,bw=3.9404296875,hits=8
2026-04-24T17:28:30.587716,VIDEO_REJECTED,autocorr rejected video,freq=528031746.03174603,score=0.0
2026-04-24T17:28:30.877652,PLATEAU_CONFIRMED,Wideband signal detected,freq=548031746.031746,bw=3.9111328125,hits=10
2026-04-24T17:28:30.894888,VIDEO_REJECTED,autocorr rejected video,freq=548031746.031746,score=0.0
2026-04-24T17:28:31.126355,PLATEAU_CONFIRMED,Wideband signal detected,freq=560078144.0781441,bw=3.896484375,hits=10
2026-04-24T17:28:31.193017,VIDEO_REJECTED,autocorr rejected video,freq=560078144.0781441,score=0.0
2026-04-24T17:28:31.272305,PLATEAU_CONFIRMED,Wideband signal detected,freq=571948717.948718,bw=3.9013671875,hits=10
2026-04-24T17:28:31.301323,VIDEO_REJECTED,autocorr rejected video,freq=571948717.948718,score=0.0
2026-04-24T17:28:31.342291,PLATEAU_CONFIRMED,Wideband signal detected,freq=600363858.3638583,bw=7.5,hits=9
2026-04-24T17:28:31.410920,VIDEO_REJECTED,autocorr rejected video,freq=600363858.3638583,score=0.0
2026-04-24T17:28:31.668092,PLATEAU_CONFIRMED,Wideband signal detected,freq=625970695.970696,bw=7.79296875,hits=10
2026-04-24T17:28:31.721427,VIDEO_REJECTED,autocorr rejected video,freq=625970695.970696,score=0.0
2026-04-24T17:28:31.762674,PLATEAU_CONFIRMED,Wideband signal detected,freq=646014652.014652,bw=7.7880859375,hits=10
2026-04-24T17:28:31.785590,VIDEO_REJECTED,autocorr rejected video,freq=646014652.014652,score=0.0
2026-04-24T17:28:31.801648,PLATEAU_CONFIRMED,Wideband signal detected,freq=665770451.7704518,bw=7.71484375,hits=5
2026-04-24T17:28:31.825607,VIDEO_REJECTED,autocorr rejected video,freq=665770451.7704518,score=0.0
2026-04-24T17:28:31.840761,PLATEAU_CONFIRMED,Wideband signal detected,freq=685013431.0134311,bw=5.15625,hits=7
2026-04-24T17:28:31.864741,VIDEO_REJECTED,autocorr rejected video,freq=685013431.0134311,score=0.0
2026-04-24T17:28:31.983369,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=780000000
2026-04-24T17:28:32.364297,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=940000000
2026-04-24T17:28:32.450926,PLATEAU_CONFIRMED,Wideband signal detected,freq=953951159.95116,bw=9.3603515625,hits=6
2026-04-24T17:28:32.482757,VIDEO_REJECTED,autocorr rejected video,freq=953951159.95116,score=0.0
2026-04-24T17:28:32.501471,PLATEAU_CONFIRMED,Wideband signal detected,freq=973706959.7069597,bw=9.6435546875,hits=10
2026-04-24T17:28:32.519353,VIDEO_REJECTED,autocorr rejected video,freq=973706959.7069597,score=0.0
2026-04-24T17:28:33.350286,PLATEAU_CONFIRMED,Wideband signal detected,freq=1624964590.964591,bw=6.2548828125,hits=6
2026-04-24T17:28:33.366507,VIDEO_REJECTED,autocorr rejected video,freq=1624964590.964591,score=0.0
2026-04-24T17:28:33.627604,PLATEAU_CONFIRMED,Wideband signal detected,freq=1717460317.4603176,bw=9.6630859375,hits=6
