2026-04-24T17:17:56.718368,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:17:56.754211,PLATEAU_CONFIRMED,Wideband signal detected,freq=104481074.48107448,bw=8.5107421875,hits=10
2026-04-24T17:17:56.776265,VIDEO_REJECTED,cyclo rejected video,freq=104481074.48107448,score=0
2026-04-24T17:17:56.845898,PLATEAU_CONFIRMED,Wideband signal detected,freq=146236874.23687422,bw=6.123046875,hits=8
2026-04-24T17:17:56.887923,PLATEAU_CONFIRMED,Wideband signal detected,freq=154542124.54212454,bw=7.353515625,hits=5
2026-04-24T17:17:56.888241,VIDEO_REJECTED,cyclo rejected video,freq=146236874.23687422,score=0
2026-04-24T17:17:56.923832,VIDEO_REJECTED,cyclo rejected video,freq=154542124.54212454,score=0
2026-04-24T17:17:56.932165,PLATEAU_CONFIRMED,Wideband signal detected,freq=174590964.5909646,bw=7.4658203125,hits=9
2026-04-24T17:17:56.956527,VIDEO_REJECTED,cyclo rejected video,freq=174590964.5909646,score=0
2026-04-24T17:17:56.962822,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=200000000
2026-04-24T17:17:57.064462,PLATEAU_CONFIRMED,Wideband signal detected,freq=264522588.52258852,bw=7.4560546875,hits=6
2026-04-24T17:17:57.090336,VIDEO_REJECTED,cyclo rejected video,freq=264522588.52258852,score=1
2026-04-24T17:17:57.098050,PLATEAU_CONFIRMED,Wideband signal detected,freq=283987789.98779,bw=5.6591796875,hits=3
2026-04-24T17:17:57.148755,VIDEO_REJECTED,cyclo rejected video,freq=283987789.98779,score=0
2026-04-24T17:17:57.161790,PLATEAU_CONFIRMED,Wideband signal detected,freq=293956043.95604396,bw=7.734375,hits=7
2026-04-24T17:17:57.189176,VIDEO_REJECTED,cyclo rejected video,freq=293956043.95604396,score=0
2026-04-24T17:17:57.192530,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=320000000
2026-04-24T17:17:57.275794,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=380000000
2026-04-24T17:17:57.772258,PLATEAU_CONFIRMED,Wideband signal detected,freq=481997557.997558,bw=7.8076171875,hits=8
2026-04-24T17:17:57.938104,PLATEAU_CONFIRMED,Wideband signal detected,freq=501995115.995116,bw=7.8125,hits=9
2026-04-24T17:17:57.942310,VIDEO_REJECTED,cyclo rejected video,freq=481997557.997558,score=0
2026-04-24T17:17:58.147852,PLATEAU_CONFIRMED,Wideband signal detected,freq=528024420.02442,bw=3.9404296875,hits=8
2026-04-24T17:17:58.159749,VIDEO_REJECTED,cyclo rejected video,freq=501995115.995116,score=0
2026-04-24T17:17:58.466717,VIDEO_REJECTED,cyclo rejected video,freq=528024420.02442,score=0
2026-04-24T17:17:58.518498,PLATEAU_CONFIRMED,Wideband signal detected,freq=539960927.960928,bw=3.9013671875,hits=10
2026-04-24T17:17:58.535295,VIDEO_REJECTED,cyclo rejected video,freq=539960927.960928,score=0
2026-04-24T17:17:58.773642,PLATEAU_CONFIRMED,Wideband signal detected,freq=552075702.0757021,bw=3.896484375,hits=10
2026-04-24T17:17:58.902791,VIDEO_REJECTED,cyclo rejected video,freq=552075702.0757021,score=0
2026-04-24T17:17:58.917349,PLATEAU_CONFIRMED,Wideband signal detected,freq=571943833.943834,bw=3.896484375,hits=10
2026-04-24T17:17:58.994440,VIDEO_REJECTED,cyclo rejected video,freq=571943833.943834,score=0
2026-04-24T17:17:59.023676,PLATEAU_CONFIRMED,Wideband signal detected,freq=602009768.009768,bw=7.6318359375,hits=9
2026-04-24T17:17:59.164150,VIDEO_REJECTED,cyclo rejected video,freq=602009768.009768,score=0
2026-04-24T17:17:59.368202,PLATEAU_CONFIRMED,Wideband signal detected,freq=625474969.4749695,bw=7.79296875,hits=10
2026-04-24T17:17:59.384195,VIDEO_REJECTED,cyclo rejected video,freq=625474969.4749695,score=0
2026-04-24T17:17:59.467843,PLATEAU_CONFIRMED,Wideband signal detected,freq=646102564.1025641,bw=7.822265625,hits=10
2026-04-24T17:17:59.500576,VIDEO_REJECTED,cyclo rejected video,freq=646102564.1025641,score=0
2026-04-24T17:17:59.507040,PLATEAU_CONFIRMED,Wideband signal detected,freq=664456654.4566544,bw=9.94140625,hits=5
2026-04-24T17:17:59.534828,VIDEO_REJECTED,cyclo rejected video,freq=664456654.4566544,score=0
2026-04-24T17:17:59.542929,PLATEAU_CONFIRMED,Wideband signal detected,freq=684676434.6764346,bw=8.2177734375,hits=3
2026-04-24T17:17:59.563869,VIDEO_REJECTED,cyclo rejected video,freq=684676434.6764346,score=0
2026-04-24T17:17:59.926984,PLATEAU_CONFIRMED,Wideband signal detected,freq=942434676.4346764,bw=8.9404296875,hits=3
2026-04-24T17:18:00.010334,PLATEAU_CONFIRMED,Wideband signal detected,freq=953709401.7094017,bw=9.5849609375,hits=10
2026-04-24T17:18:00.010921,VIDEO_REJECTED,cyclo rejected video,freq=942434676.4346764,score=0
2026-04-24T17:18:00.062013,PLATEAU_CONFIRMED,Wideband signal detected,freq=973711843.7118437,bw=6.5185546875,hits=10
2026-04-24T17:18:00.062238,VIDEO_REJECTED,cyclo rejected video,freq=953709401.7094017,score=0
2026-04-24T17:18:00.084960,VIDEO_REJECTED,cyclo rejected video,freq=973711843.7118437,score=0
2026-04-24T17:18:00.977222,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1680000000
2026-04-24T17:18:01.047764,PLATEAU_CONFIRMED,Wideband signal detected,freq=1712490842.4908426,bw=2.9296875,hits=5
