2026-04-24T17:18:23.953768,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:18:23.989674,PLATEAU_CONFIRMED,Wideband signal detected,freq=104446886.44688645,bw=6.73828125,hits=9
2026-04-24T17:18:24.016906,VIDEO_REJECTED,cyclo rejected video,freq=104446886.44688645,score=0
2026-04-24T17:18:24.023658,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=120000000
2026-04-24T17:18:24.077891,PLATEAU_CONFIRMED,Wideband signal detected,freq=145660561.66056165,bw=9.697265625,hits=4
2026-04-24T17:18:24.110132,VIDEO_REJECTED,cyclo rejected video,freq=145660561.66056165,score=0
2026-04-24T17:18:24.114190,PLATEAU_CONFIRMED,Wideband signal detected,freq=167230769.23076922,bw=4.98046875,hits=4
2026-04-24T17:18:24.144143,VIDEO_REJECTED,cyclo rejected video,freq=167230769.23076922,score=0
2026-04-24T17:18:24.148230,PLATEAU_CONFIRMED,Wideband signal detected,freq=176053724.05372405,bw=7.3828125,hits=6
2026-04-24T17:18:24.171740,VIDEO_REJECTED,cyclo rejected video,freq=176053724.05372405,score=0
2026-04-24T17:18:24.182907,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=200000000
2026-04-24T17:18:24.287068,PLATEAU_CONFIRMED,Wideband signal detected,freq=264720390.7203907,bw=6.8212890625,hits=7
2026-04-24T17:18:24.314961,VIDEO_REJECTED,cyclo rejected video,freq=264720390.7203907,score=0
2026-04-24T17:18:24.318721,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=280000000
2026-04-24T17:18:24.382319,PLATEAU_CONFIRMED,Wideband signal detected,freq=293704517.7045177,bw=6.3916015625,hits=8
2026-04-24T17:18:24.404318,VIDEO_REJECTED,cyclo rejected video,freq=293704517.7045177,score=0
2026-04-24T17:18:24.501477,PLATEAU_CONFIRMED,Wideband signal detected,freq=374317460.3174603,bw=4.3896484375,hits=3
2026-04-24T17:18:24.528360,VIDEO_REJECTED,cyclo rejected video,freq=374317460.3174603,score=0
2026-04-24T17:18:24.972939,PLATEAU_CONFIRMED,Wideband signal detected,freq=481997557.997558,bw=7.83203125,hits=8
2026-04-24T17:18:25.159975,PLATEAU_CONFIRMED,Wideband signal detected,freq=502000000.0,bw=7.8125,hits=9
2026-04-24T17:18:25.160567,VIDEO_REJECTED,cyclo rejected video,freq=481997557.997558,score=0
2026-04-24T17:18:25.373664,PLATEAU_CONFIRMED,Wideband signal detected,freq=528046398.04639804,bw=3.90625,hits=7
2026-04-24T17:18:25.374060,VIDEO_REJECTED,cyclo rejected video,freq=502000000.0,score=0
2026-04-24T17:18:25.680879,VIDEO_REJECTED,cyclo rejected video,freq=528046398.04639804,score=0
2026-04-24T17:18:25.773902,PLATEAU_CONFIRMED,Wideband signal detected,freq=548007326.007326,bw=3.9111328125,hits=10
2026-04-24T17:18:25.792302,VIDEO_REJECTED,cyclo rejected video,freq=548007326.007326,score=0
2026-04-24T17:18:25.973667,PLATEAU_CONFIRMED,Wideband signal detected,freq=568051282.051282,bw=3.9013671875,hits=10
2026-04-24T17:18:26.103226,PLATEAU_CONFIRMED,Wideband signal detected,freq=579953601.953602,bw=3.9208984375,hits=10
2026-04-24T17:18:26.103388,VIDEO_REJECTED,cyclo rejected video,freq=568051282.051282,score=0
2026-04-24T17:18:26.244928,PLATEAU_CONFIRMED,Wideband signal detected,freq=600593406.5934066,bw=7.67578125,hits=9
2026-04-24T17:18:26.245223,VIDEO_REJECTED,cyclo rejected video,freq=579953601.953602,score=0
2026-04-24T17:18:26.488382,VIDEO_REJECTED,cyclo rejected video,freq=600593406.5934066,score=0
2026-04-24T17:18:26.675440,PLATEAU_CONFIRMED,Wideband signal detected,freq=625814407.8144078,bw=7.7978515625,hits=10
