2026-04-24T17:24:14.831975,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:24:14.864370,PLATEAU_CONFIRMED,Wideband signal detected,freq=107743589.74358974,bw=9.140625,hits=6
2026-04-24T17:24:14.896786,PLATEAU_CONFIRMED,Wideband signal detected,freq=125311355.31135531,bw=4.9609375,hits=3
2026-04-24T17:24:14.899555,VIDEO_REJECTED,cyclo rejected video,freq=107743589.74358974,score=0
2026-04-24T17:24:14.925390,VIDEO_REJECTED,cyclo rejected video,freq=125311355.31135531,score=0
2026-04-24T17:24:14.933317,PLATEAU_CONFIRMED,Wideband signal detected,freq=145658119.65811965,bw=7.373046875,hits=5
2026-04-24T17:24:14.963416,VIDEO_REJECTED,cyclo rejected video,freq=145658119.65811965,score=1
2026-04-24T17:24:14.968274,PLATEAU_CONFIRMED,Wideband signal detected,freq=159252747.25274724,bw=9.6826171875,hits=4
2026-04-24T17:24:14.996219,VIDEO_REJECTED,cyclo rejected video,freq=159252747.25274724,score=0
2026-04-24T17:24:15.003452,PLATEAU_CONFIRMED,Wideband signal detected,freq=174493284.4932845,bw=6.1572265625,hits=3
2026-04-24T17:24:15.117406,PLATEAU_CONFIRMED,Wideband signal detected,freq=206046398.04639804,bw=6.591796875,hits=6
2026-04-24T17:24:15.121781,VIDEO_REJECTED,cyclo rejected video,freq=174493284.4932845,score=0
2026-04-24T17:24:15.161842,VIDEO_REJECTED,cyclo rejected video,freq=206046398.04639804,score=1
2026-04-24T17:24:15.165586,PLATEAU_CONFIRMED,Wideband signal detected,freq=225599511.5995116,bw=6.748046875,hits=10
2026-04-24T17:24:15.191081,VIDEO_REJECTED,cyclo rejected video,freq=225599511.5995116,score=0
2026-04-24T17:24:15.300506,PLATEAU_CONFIRMED,Wideband signal detected,freq=313763125.7631258,bw=4.248046875,hits=4
2026-04-24T17:24:15.328149,VIDEO_REJECTED,cyclo rejected video,freq=313763125.7631258,score=0
2026-04-24T17:24:15.331431,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=340000000
2026-04-24T17:24:15.413054,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=400000000
2026-04-24T17:24:16.136986,PLATEAU_CONFIRMED,Wideband signal detected,freq=481990231.990232,bw=7.83203125,hits=8
2026-04-24T17:24:16.440174,VIDEO_REJECTED,cyclo rejected video,freq=481990231.990232,score=0
2026-04-24T17:24:16.452449,PLATEAU_CONFIRMED,Wideband signal detected,freq=501997557.997558,bw=7.8125,hits=10
2026-04-24T17:24:16.460138,VIDEO_REJECTED,cyclo rejected video,freq=501997557.997558,score=0
2026-04-24T17:24:16.694416,PLATEAU_CONFIRMED,Wideband signal detected,freq=528056166.05616605,bw=3.9013671875,hits=8
2026-04-24T17:24:17.033628,VIDEO_REJECTED,cyclo rejected video,freq=528056166.05616605,score=0
2026-04-24T17:24:17.077947,PLATEAU_CONFIRMED,Wideband signal detected,freq=540000000.0,bw=3.9013671875,hits=10
2026-04-24T17:24:17.336294,PLATEAU_CONFIRMED,Wideband signal detected,freq=552034188.034188,bw=3.9404296875,hits=10
2026-04-24T17:24:17.337005,VIDEO_REJECTED,cyclo rejected video,freq=540000000.0,score=0
2026-04-24T17:24:17.481032,PLATEAU_CONFIRMED,Wideband signal detected,freq=579763125.7631258,bw=4.84375,hits=10
2026-04-24T17:24:17.481610,VIDEO_REJECTED,cyclo rejected video,freq=552034188.034188,score=0
2026-04-24T17:24:17.517147,VIDEO_REJECTED,cyclo rejected video,freq=579763125.7631258,score=0
