2026-04-24T17:23:16.585699,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:23:16.616945,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=100000000
2026-04-24T17:23:16.647929,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=120000000
2026-04-24T17:23:16.678748,PLATEAU_CONFIRMED,Wideband signal detected,freq=145902319.9023199,bw=5.498046875,hits=5
2026-04-24T17:23:16.711984,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=160000000
2026-04-24T17:23:16.715682,VIDEO_REJECTED,cyclo rejected video,freq=145902319.9023199,score=0
2026-04-24T17:23:16.742393,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=180000000
2026-04-24T17:23:16.860607,PLATEAU_CONFIRMED,Wideband signal detected,freq=205697191.6971917,bw=6.767578125,hits=7
2026-04-24T17:23:16.899892,VIDEO_REJECTED,cyclo rejected video,freq=205697191.6971917,score=1
2026-04-24T17:23:16.904948,PLATEAU_CONFIRMED,Wideband signal detected,freq=226297924.2979243,bw=7.6318359375,hits=10
2026-04-24T17:23:16.925723,VIDEO_REJECTED,cyclo rejected video,freq=226297924.2979243,score=0
2026-04-24T17:23:16.966263,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=260000000
2026-04-24T17:23:17.054883,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=320000000
2026-04-24T17:23:17.085404,PLATEAU_CONFIRMED,Wideband signal detected,freq=334376068.37606835,bw=3.8427734375,hits=3
2026-04-24T17:23:17.108471,VIDEO_REJECTED,cyclo rejected video,freq=334376068.37606835,score=0
2026-04-24T17:23:17.174940,PLATEAU_CONFIRMED,Wideband signal detected,freq=393936507.93650794,bw=6.54296875,hits=5
2026-04-24T17:23:17.202695,VIDEO_REJECTED,cyclo rejected video,freq=393936507.93650794,score=0
2026-04-24T17:23:17.868823,PLATEAU_CONFIRMED,Wideband signal detected,freq=482004884.004884,bw=7.8125,hits=9
2026-04-24T17:23:18.241832,VIDEO_REJECTED,cyclo rejected video,freq=482004884.004884,score=0
2026-04-24T17:23:18.283752,PLATEAU_CONFIRMED,Wideband signal detected,freq=502000000.0,bw=7.802734375,hits=10
2026-04-24T17:23:18.292102,VIDEO_REJECTED,cyclo rejected video,freq=502000000.0,score=0
2026-04-24T17:23:18.527605,PLATEAU_CONFIRMED,Wideband signal detected,freq=528051282.05128205,bw=3.9208984375,hits=8
2026-04-24T17:23:18.767362,VIDEO_REJECTED,cyclo rejected video,freq=528051282.05128205,score=0
2026-04-24T17:23:18.882518,PLATEAU_CONFIRMED,Wideband signal detected,freq=531948717.94871795,bw=3.90625,hits=10
2026-04-24T17:23:18.899214,VIDEO_REJECTED,cyclo rejected video,freq=531948717.94871795,score=0
2026-04-24T17:23:19.087836,PLATEAU_CONFIRMED,Wideband signal detected,freq=551948717.948718,bw=3.90625,hits=10
2026-04-24T17:23:19.098114,VIDEO_REJECTED,cyclo rejected video,freq=551948717.948718,score=0
2026-04-24T17:23:19.238218,PLATEAU_CONFIRMED,Wideband signal detected,freq=587030525.030525,bw=5.8349609375,hits=10
2026-04-24T17:23:19.278322,VIDEO_REJECTED,cyclo rejected video,freq=587030525.030525,score=0
2026-04-24T17:23:19.295086,PLATEAU_CONFIRMED,Wideband signal detected,freq=601755799.7557998,bw=8.310546875,hits=7
2026-04-24T17:23:19.465965,VIDEO_REJECTED,cyclo rejected video,freq=601755799.7557998,score=0
2026-04-24T17:23:19.723906,PLATEAU_CONFIRMED,Wideband signal detected,freq=625968253.968254,bw=7.83203125,hits=8
2026-04-24T17:23:19.738536,VIDEO_REJECTED,cyclo rejected video,freq=625968253.968254,score=0
2026-04-24T17:23:19.814541,PLATEAU_CONFIRMED,Wideband signal detected,freq=646854700.8547008,bw=6.9482421875,hits=10
2026-04-24T17:23:19.846913,VIDEO_REJECTED,cyclo rejected video,freq=646854700.8547008,score=0
2026-04-24T17:23:19.856619,PLATEAU_CONFIRMED,Wideband signal detected,freq=666852258.8522589,bw=9.6337890625,hits=10
2026-04-24T17:23:19.885263,VIDEO_REJECTED,cyclo rejected video,freq=666852258.8522589,score=0
2026-04-24T17:23:19.892156,PLATEAU_CONFIRMED,Wideband signal detected,freq=686278388.2783883,bw=5.25390625,hits=5
2026-04-24T17:23:19.916903,VIDEO_REJECTED,cyclo rejected video,freq=686278388.2783883,score=0
2026-04-24T17:23:19.949628,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=720000000
2026-04-24T17:23:19.979396,PLATEAU_CONFIRMED,Wideband signal detected,freq=734800976.8009768,bw=8.017578125,hits=4
2026-04-24T17:23:20.004259,VIDEO_REJECTED,cyclo rejected video,freq=734800976.8009768,score=0
2026-04-24T17:23:20.438152,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=960000000
2026-04-24T17:23:20.479977,PLATEAU_CONFIRMED,Wideband signal detected,freq=973699633.6996337,bw=6.4453125,hits=10
2026-04-24T17:23:20.510159,VIDEO_REJECTED,cyclo rejected video,freq=973699633.6996337,score=0
2026-04-24T17:23:20.990218,PLATEAU_CONFIRMED,Wideband signal detected,freq=1239030525.030525,bw=7.392578125,hits=8
2026-04-24T17:23:21.048856,PLATEAU_CONFIRMED,Wideband signal detected,freq=1259658119.6581197,bw=6.2451171875,hits=10
2026-04-24T17:23:21.049027,VIDEO_CONFIRMED,cyclo confirmed video,freq=1239030525.030525,score=9
2026-04-24T17:23:21.074282,VIDEO_REJECTED,cyclo rejected video,freq=1259658119.6581197,score=1
2026-04-24T17:23:21.319841,PLATEAU_CONFIRMED,Wideband signal detected,freq=1464930402.930403,bw=6.0107421875,hits=5
2026-04-24T17:23:21.339514,VIDEO_REJECTED,cyclo rejected video,freq=1464930402.930403,score=0
2026-04-24T17:23:21.432205,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=1540000000
2026-04-24T17:23:21.722230,PLATEAU_CONFIRMED,Wideband signal detected,freq=1747137973.137973,bw=4.5947265625,hits=3
2026-04-24T17:23:21.747464,VIDEO_REJECTED,cyclo rejected video,freq=1747137973.137973,score=0
2026-04-24T17:23:21.755586,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1760000000
2026-04-24T17:23:21.790897,PLATEAU_CONFIRMED,Wideband signal detected,freq=1785572649.5726495,bw=4.51171875,hits=4
2026-04-24T17:23:21.927965,VIDEO_REJECTED,cyclo rejected video,freq=1785572649.5726495,score=0
2026-04-24T17:23:22.028737,PLATEAU_CONFIRMED,Wideband signal detected,freq=1807846153.8461537,bw=4.3701171875,hits=8
2026-04-24T17:23:22.048873,VIDEO_REJECTED,cyclo rejected video,freq=1807846153.8461537,score=0
2026-04-24T17:23:22.337292,PLATEAU_CONFIRMED,Wideband signal detected,freq=1827958485.9584858,bw=4.27734375,hits=10
2026-04-24T17:23:22.445431,PLATEAU_CONFIRMED,Wideband signal detected,freq=1847875457.8754578,bw=8.0419921875,hits=9
2026-04-24T17:23:22.449537,VIDEO_REJECTED,cyclo rejected video,freq=1827958485.9584858,score=0
2026-04-24T17:23:22.487112,PLATEAU_CONFIRMED,Wideband signal detected,freq=1854903540.9035408,bw=5.107421875,hits=8
2026-04-24T17:23:22.487904,VIDEO_REJECTED,cyclo rejected video,freq=1847875457.8754578,score=0
