2026-04-24T17:41:44.693027,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:41:44.729202,PLATEAU_CONFIRMED,Wideband signal detected,freq=102561660.56166056,bw=5.400390625,hits=8
2026-04-24T17:41:44.748950,VIDEO_REJECTED,autocorr rejected video,freq=102561660.56166056,score=0.0
2026-04-24T17:41:44.768612,PLATEAU_CONFIRMED,Wideband signal detected,freq=123172161.17216118,bw=3.18359375,hits=5
2026-04-24T17:41:44.794917,VIDEO_REJECTED,autocorr rejected video,freq=123172161.17216118,score=0.0
2026-04-24T17:41:44.812835,PLATEAU_CONFIRMED,Wideband signal detected,freq=145728937.72893775,bw=6.5625,hits=6
2026-04-24T17:41:44.836439,VIDEO_REJECTED,autocorr rejected video,freq=145728937.72893775,score=0.0
2026-04-24T17:41:44.851532,PLATEAU_CONFIRMED,Wideband signal detected,freq=160866910.86691087,bw=7.36328125,hits=5
2026-04-24T17:41:44.891173,VIDEO_REJECTED,autocorr rejected video,freq=160866910.86691087,score=0.0
2026-04-24T17:41:44.900172,PLATEAU_CONFIRMED,Wideband signal detected,freq=173189255.18925518,bw=4.5166015625,hits=3
2026-04-24T17:41:44.927543,VIDEO_REJECTED,autocorr rejected video,freq=173189255.18925518,score=0.0
2026-04-24T17:41:45.012503,PLATEAU_CONFIRMED,Wideband signal detected,freq=205528693.52869353,bw=6.2353515625,hits=6
2026-04-24T17:41:45.045338,VIDEO_REJECTED,autocorr rejected video,freq=205528693.52869353,score=0.0
2026-04-24T17:41:45.059987,PLATEAU_CONFIRMED,Wideband signal detected,freq=226239316.23931623,bw=4.3115234375,hits=3
2026-04-24T17:41:45.098769,VIDEO_REJECTED,autocorr rejected video,freq=226239316.23931623,score=0.0
2026-04-24T17:41:45.147469,PLATEAU_CONFIRMED,Wideband signal detected,freq=245938949.93894994,bw=7.83203125,hits=6
2026-04-24T17:41:45.187982,VIDEO_REJECTED,autocorr rejected video,freq=245938949.93894994,score=0.0
2026-04-24T17:41:45.199955,PLATEAU_CONFIRMED,Wideband signal detected,freq=265785103.7851038,bw=7.529296875,hits=9
2026-04-24T17:41:45.224943,VIDEO_REJECTED,autocorr rejected video,freq=265785103.7851038,score=0.0
2026-04-24T17:41:45.293319,PLATEAU_CONFIRMED,Wideband signal detected,freq=314210012.2100122,bw=5.029296875,hits=5
2026-04-24T17:41:45.317918,VIDEO_REJECTED,autocorr rejected video,freq=314210012.2100122,score=0.0
2026-04-24T17:41:45.329081,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=340000000
