2026-04-24T17:43:00.156689,103694749.695,8.701,9
2026-04-24T17:43:00.279240,143191697.192,9.648,3
2026-04-24T17:43:00.430331,177272283.272,9.648,7
2026-04-24T17:43:00.722324,204417582.418,5.752,7
2026-04-24T17:43:00.807744,225350427.350,6.294,10
2026-04-24T17:43:00.880061,246173382.173,6.021,6
2026-04-24T17:43:00.929609,266043956.044,5.522,5
2026-04-24T17:43:01.046503,314341880.342,7.026,9
2026-04-24T17:43:01.173361,393203907.204,4.092,3
2026-04-24T17:43:01.254430,422273504.274,4.556,5
2026-04-24T17:43:02.018136,481990231.990,7.832,9
2026-04-24T17:43:02.633811,501990231.990,7.871,10
2026-04-24T17:43:02.860206,528048840.049,3.906,8
2026-04-24T17:43:03.160875,531951159.951,3.911,10
2026-04-24T17:43:03.304971,568046398.046,3.936,10
2026-04-24T17:43:03.433648,571948717.949,3.906,10
2026-04-24T17:43:03.594309,608046398.046,4.302,9
2026-04-24T17:43:04.099065,626004884.005,7.812,8
2026-04-24T17:43:04.322026,646043956.044,7.783,10
2026-04-24T17:43:04.481931,739601953.602,6.323,3
2026-04-24T17:43:04.831169,953716727.717,6.543,10
2026-04-24T17:43:04.871238,973711843.712,6.470,9
2026-04-24T17:43:05.214475,1212725274.725,6.514,6
2026-04-24T17:43:05.355998,1239858363.858,8.022,8
2026-04-24T17:43:05.428397,1258630036.630,8.047,10
2026-04-24T17:43:06.387213,1806415140.415,6.621,8
2026-04-24T17:43:06.619689,1827880341.880,4.883,10
2026-04-24T17:43:06.761419,1847965811.966,7.085,10
2026-04-24T17:43:06.803269,1858420024.420,9.692,5
2026-04-24T17:43:06.870366,1875399267.399,8.833,10
2026-04-24T17:43:06.924965,1895597069.597,8.237,10
2026-04-24T17:43:07.146283,2036412698.413,9.834,5
2026-04-24T17:43:07.197643,2055789987.790,7.612,10
2026-04-24T17:43:07.244912,2073995115.995,5.112,5
2026-04-24T17:43:07.293626,2092466422.466,3.403,8
2026-04-24T17:43:07.674438,2144913308.913,9.180,8
2026-04-24T17:43:07.746096,2164945054.945,8.911,7
2026-04-24T17:43:07.862766,2186888888.889,4.541,4
2026-04-24T17:43:08.154261,2358185592.186,4.375,7
2026-04-24T17:43:08.199416,2380573870.574,9.536,5
2026-04-24T17:43:08.363681,2391938949.939,7.407,7
2026-04-24T17:43:08.524315,2411904761.905,3.833,8
2026-04-24T17:43:08.570661,2441848595.849,8.223,9
2026-04-24T17:43:08.606545,2456573870.574,8.086,7
2026-04-24T17:43:08.717243,2479858363.858,7.637,8
2026-04-24T17:43:08.781121,2500686202.686,9.639,3
2026-04-24T17:43:09.042762,2612249084.249,4.634,8
2026-04-24T17:43:09.108526,2633728937.729,8.413,10
2026-04-24T17:43:09.293160,2652195360.195,4.292,8
2026-04-24T17:43:09.341142,2672710622.711,3.096,6
2026-04-24T17:43:09.823138,3068573870.574,3.564,3
2026-04-24T17:43:10.367373,3426854700.855,4.551,5
2026-04-24T17:43:10.453901,3444581196.581,9.282,6
2026-04-24T17:43:10.500376,3462439560.440,7.339,10
2026-04-24T17:43:10.541193,3479606837.607,8.936,7
2026-04-24T17:43:10.582001,3494273504.274,5.684,4
2026-04-24T17:43:10.617945,3522796092.796,4.604,6
2026-04-24T17:43:10.679363,3556954822.955,7.451,6
2026-04-24T17:43:10.948766,3741946275.946,6.445,4
2026-04-24T17:43:10.988745,3759054945.055,8.955,7
2026-04-24T17:43:11.026987,3775391941.392,4.702,4
2026-04-24T17:43:11.102757,3815396825.397,8.662,3
2026-04-24T17:43:11.157618,3833782661.783,4.258,6
2026-04-24T17:43:11.626962,4157440781.441,9.048,4
2026-04-24T17:43:11.663438,4177467643.468,8.896,5
2026-04-24T17:43:12.745079,5023684981.685,4.429,3
