2026-04-24T17:22:48.802842,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:22:48.840949,PLATEAU_CONFIRMED,Wideband signal detected,freq=103680097.68009768,bw=6.2841796875,hits=9
2026-04-24T17:22:48.866092,VIDEO_REJECTED,cyclo rejected video,freq=103680097.68009768,score=0
2026-04-24T17:22:48.876377,PLATEAU_CONFIRMED,Wideband signal detected,freq=124041514.04151404,bw=6.162109375,hits=6
2026-04-24T17:22:48.879675,ZERO_BUFFER,All samples are zero
2026-04-24T17:22:48.897665,VIDEO_REJECTED,cyclo rejected video,freq=124041514.04151404,score=0
2026-04-24T17:22:48.907567,ZERO_BUFFER,All samples are zero
2026-04-24T17:22:48.911584,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=140000000
2026-04-24T17:22:48.974131,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=160000000
2026-04-24T17:22:49.008582,PLATEAU_CONFIRMED,Wideband signal detected,freq=175396825.3968254,bw=9.609375,hits=9
2026-04-24T17:22:49.101117,VIDEO_REJECTED,cyclo rejected video,freq=175396825.3968254,score=0
2026-04-24T17:22:49.200641,PLATEAU_CONFIRMED,Wideband signal detected,freq=205421245.42124543,bw=6.708984375,hits=8
2026-04-24T17:22:49.264637,PLATEAU_CONFIRMED,Wideband signal detected,freq=224717948.71794873,bw=7.0166015625,hits=10
2026-04-24T17:22:49.264719,VIDEO_REJECTED,cyclo rejected video,freq=205421245.42124543,score=0
2026-04-24T17:22:49.302899,VIDEO_REJECTED,cyclo rejected video,freq=224717948.71794873,score=0
2026-04-24T17:22:49.316789,PLATEAU_CONFIRMED,Wideband signal detected,freq=241975579.97557998,bw=9.8095703125,hits=5
2026-04-24T17:22:49.343360,VIDEO_REJECTED,cyclo rejected video,freq=241975579.97557998,score=1
2026-04-24T17:22:49.361508,PLATEAU_CONFIRMED,Wideband signal detected,freq=265115995.1159951,bw=6.66015625,hits=9
2026-04-24T17:22:49.386818,VIDEO_REJECTED,cyclo rejected video,freq=265115995.1159951,score=0
2026-04-24T17:22:49.393523,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=280000000
2026-04-24T17:22:49.425405,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=300000000
2026-04-24T17:22:49.460133,PLATEAU_CONFIRMED,Wideband signal detected,freq=314329670.3296703,bw=6.201171875,hits=4
2026-04-24T17:22:49.484132,VIDEO_REJECTED,cyclo rejected video,freq=314329670.3296703,score=0
2026-04-24T17:22:49.490232,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=340000000
2026-04-24T17:22:49.625970,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=420000000
2026-04-24T17:22:49.651463,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=440000000
2026-04-24T17:22:50.298645,PLATEAU_CONFIRMED,Wideband signal detected,freq=482000000.0,bw=7.8662109375,hits=8
2026-04-24T17:22:50.785170,VIDEO_REJECTED,cyclo rejected video,freq=482000000.0,score=0
2026-04-24T17:22:50.985822,PLATEAU_CONFIRMED,Wideband signal detected,freq=502000000.0,bw=7.8076171875,hits=10
2026-04-24T17:22:50.996839,VIDEO_REJECTED,cyclo rejected video,freq=502000000.0,score=0
2026-04-24T17:22:51.232651,PLATEAU_CONFIRMED,Wideband signal detected,freq=528051282.05128205,bw=3.896484375,hits=8
2026-04-24T17:22:51.500064,PLATEAU_CONFIRMED,Wideband signal detected,freq=548056166.056166,bw=3.9013671875,hits=10
2026-04-24T17:22:51.500309,VIDEO_REJECTED,cyclo rejected video,freq=528051282.05128205,score=0
2026-04-24T17:22:51.793561,VIDEO_REJECTED,cyclo rejected video,freq=548056166.056166,score=0
2026-04-24T17:22:51.820901,PLATEAU_CONFIRMED,Wideband signal detected,freq=563748473.7484738,bw=7.94921875,hits=8
2026-04-24T17:22:51.840030,VIDEO_REJECTED,cyclo rejected video,freq=563748473.7484738,score=0
2026-04-24T17:22:52.012071,PLATEAU_CONFIRMED,Wideband signal detected,freq=587980463.980464,bw=5.673828125,hits=10
2026-04-24T17:22:52.044874,VIDEO_REJECTED,cyclo rejected video,freq=587980463.980464,score=0
2026-04-24T17:22:52.061742,PLATEAU_CONFIRMED,Wideband signal detected,freq=600539682.5396826,bw=6.1328125,hits=4
2026-04-24T17:22:52.375541,VIDEO_REJECTED,cyclo rejected video,freq=600539682.5396826,score=0
2026-04-24T17:22:52.589144,PLATEAU_CONFIRMED,Wideband signal detected,freq=626002442.002442,bw=7.79296875,hits=8
2026-04-24T17:22:52.833476,VIDEO_REJECTED,cyclo rejected video,freq=626002442.002442,score=0
2026-04-24T17:22:52.910440,PLATEAU_CONFIRMED,Wideband signal detected,freq=646012210.01221,bw=7.783203125,hits=10
2026-04-24T17:22:52.918361,VIDEO_REJECTED,cyclo rejected video,freq=646012210.01221,score=0
2026-04-24T17:22:52.965017,PLATEAU_CONFIRMED,Wideband signal detected,freq=664852258.8522588,bw=8.427734375,hits=4
2026-04-24T17:22:52.991763,VIDEO_REJECTED,cyclo rejected video,freq=664852258.8522588,score=0
2026-04-24T17:22:53.001775,PLATEAU_CONFIRMED,Wideband signal detected,freq=682691086.6910866,bw=6.7041015625,hits=4
2026-04-24T17:22:53.022402,VIDEO_REJECTED,cyclo rejected video,freq=682691086.6910866,score=0
2026-04-24T17:22:53.085728,PLATEAU_CONFIRMED,Wideband signal detected,freq=741252747.2527473,bw=7.3291015625,hits=4
2026-04-24T17:22:53.109467,VIDEO_REJECTED,cyclo rejected video,freq=741252747.2527473,score=0
2026-04-24T17:22:53.218868,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=840000000
2026-04-24T17:22:53.366129,PLATEAU_CONFIRMED,Wideband signal detected,freq=942307692.3076923,bw=8.4375,hits=4
2026-04-24T17:22:53.411973,VIDEO_REJECTED,cyclo rejected video,freq=942307692.3076923,score=0
2026-04-24T17:22:53.419852,PLATEAU_CONFIRMED,Wideband signal detected,freq=953684981.6849817,bw=9.7021484375,hits=8
2026-04-24T17:22:53.455105,VIDEO_REJECTED,cyclo rejected video,freq=953684981.6849817,score=0
2026-04-24T17:22:53.458545,PLATEAU_CONFIRMED,Wideband signal detected,freq=973687423.6874237,bw=6.42578125,hits=7
2026-04-24T17:22:53.483254,VIDEO_REJECTED,cyclo rejected video,freq=973687423.6874237,score=0
2026-04-24T17:22:53.792046,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1220000000
2026-04-24T17:22:53.995713,PLATEAU_CONFIRMED,Wideband signal detected,freq=1238700854.7008548,bw=5.7861328125,hits=8
2026-04-24T17:22:54.007574,VIDEO_CONFIRMED,cyclo confirmed video,freq=1238700854.7008548,score=8
2026-04-24T17:22:54.069252,PLATEAU_CONFIRMED,Wideband signal detected,freq=1258849816.8498168,bw=5.37109375,hits=9
2026-04-24T17:22:54.095197,VIDEO_REJECTED,cyclo rejected video,freq=1258849816.8498168,score=3
2026-04-24T17:22:54.126800,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=1300000000
2026-04-24T17:22:54.541339,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1620000000
2026-04-24T17:22:54.757517,PLATEAU_CONFIRMED,Wideband signal detected,freq=1786442002.4420023,bw=5.1611328125,hits=4
2026-04-24T17:22:54.860698,VIDEO_REJECTED,cyclo rejected video,freq=1786442002.4420023,score=0
2026-04-24T17:22:54.892206,PLATEAU_CONFIRMED,Wideband signal detected,freq=1807733821.7338216,bw=4.3017578125,hits=6
2026-04-24T17:22:55.082544,VIDEO_REJECTED,cyclo rejected video,freq=1807733821.7338216,score=0
2026-04-24T17:22:55.116533,PLATEAU_CONFIRMED,Wideband signal detected,freq=1827880341.8803418,bw=4.2578125,hits=9
2026-04-24T17:22:55.207458,VIDEO_REJECTED,cyclo rejected video,freq=1827880341.8803418,score=0
2026-04-24T17:22:55.212761,PLATEAU_CONFIRMED,Wideband signal detected,freq=1848000000.0,bw=6.11328125,hits=8
2026-04-24T17:22:55.258789,VIDEO_REJECTED,cyclo rejected video,freq=1848000000.0,score=0
2026-04-24T17:22:55.263626,PLATEAU_CONFIRMED,Wideband signal detected,freq=1858048840.04884,bw=9.5751953125,hits=7
2026-04-24T17:22:55.317022,VIDEO_REJECTED,cyclo rejected video,freq=1858048840.04884,score=2
2026-04-24T17:22:55.326502,PLATEAU_CONFIRMED,Wideband signal detected,freq=1875328449.3284492,bw=8.8525390625,hits=9
2026-04-24T17:22:55.371405,VIDEO_REJECTED,cyclo rejected video,freq=1875328449.3284492,score=0
2026-04-24T17:22:55.375910,PLATEAU_CONFIRMED,Wideband signal detected,freq=1895907203.9072037,bw=8.9111328125,hits=10
2026-04-24T17:22:55.404836,VIDEO_REJECTED,cyclo rejected video,freq=1895907203.9072037,score=0
2026-04-24T17:22:55.411078,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=1920000000
