2026-04-24T17:26:31.349734,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:26:31.412024,PLATEAU_CONFIRMED,Wideband signal detected,freq=125384615.38461539,bw=7.431640625,hits=3
2026-04-24T17:26:31.430932,VIDEO_REJECTED,autocorr rejected video,freq=125384615.38461539,score=0.0
2026-04-24T17:26:31.445840,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=140000000
2026-04-24T17:26:31.475056,PLATEAU_CONFIRMED,Wideband signal detected,freq=158620268.6202686,bw=7.392578125,hits=5
2026-04-24T17:26:31.498384,VIDEO_REJECTED,autocorr rejected video,freq=158620268.6202686,score=0.0
2026-04-24T17:26:31.538327,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=200000000
2026-04-24T17:26:31.701386,PLATEAU_CONFIRMED,Wideband signal detected,freq=245777777.7777778,bw=8.251953125,hits=6
2026-04-24T17:26:31.727964,VIDEO_REJECTED,autocorr rejected video,freq=245777777.7777778,score=0.0
2026-04-24T17:26:31.748814,PLATEAU_CONFIRMED,Wideband signal detected,freq=265877899.8778999,bw=4.912109375,hits=6
2026-04-24T17:26:31.775198,VIDEO_REJECTED,autocorr rejected video,freq=265877899.8778999,score=0.0
2026-04-24T17:26:31.837945,PLATEAU_CONFIRMED,Wideband signal detected,freq=294244200.2442002,bw=5.1416015625,hits=6
2026-04-24T17:26:31.873131,VIDEO_REJECTED,autocorr rejected video,freq=294244200.2442002,score=0.0
2026-04-24T17:26:31.895678,PLATEAU_CONFIRMED,Wideband signal detected,freq=313897435.8974359,bw=5.361328125,hits=7
2026-04-24T17:26:31.922957,VIDEO_REJECTED,autocorr rejected video,freq=313897435.8974359,score=0.0
2026-04-24T17:26:31.973726,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=360000000
2026-04-24T17:26:32.051591,PLATEAU_CONFIRMED,Wideband signal detected,freq=393641025.64102566,bw=5.6201171875,hits=4
2026-04-24T17:26:32.079660,VIDEO_REJECTED,autocorr rejected video,freq=393641025.64102566,score=0.0
2026-04-24T17:26:32.281864,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=540000000
2026-04-24T17:26:32.313778,PLATEAU_CONFIRMED,Wideband signal detected,freq=564273504.2735043,bw=7.6806640625,hits=4
2026-04-24T17:26:32.338032,VIDEO_REJECTED,autocorr rejected video,freq=564273504.2735043,score=0.0
2026-04-24T17:26:32.352128,PLATEAU_CONFIRMED,Wideband signal detected,freq=586376068.3760684,bw=3.6767578125,hits=3
2026-04-24T17:26:32.374090,VIDEO_REJECTED,autocorr rejected video,freq=586376068.3760684,score=0.0
2026-04-24T17:26:32.386679,PLATEAU_CONFIRMED,Wideband signal detected,freq=601804639.8046398,bw=5.2783203125,hits=3
2026-04-24T17:26:32.406424,VIDEO_REJECTED,autocorr rejected video,freq=601804639.8046398,score=0.0
2026-04-24T17:26:32.423505,PLATEAU_CONFIRMED,Wideband signal detected,freq=617614163.6141636,bw=10.0,hits=5
2026-04-24T17:26:32.446096,VIDEO_REJECTED,autocorr rejected video,freq=617614163.6141636,score=0.0
2026-04-24T17:26:32.460079,PLATEAU_CONFIRMED,Wideband signal detected,freq=640070818.0708181,bw=5.7861328125,hits=3
2026-04-24T17:26:32.482522,VIDEO_REJECTED,autocorr rejected video,freq=640070818.0708181,score=0.0
