2026-04-24T17:23:31.071746,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:23:31.106818,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=100000000
2026-04-24T17:23:31.137907,ZERO_BUFFER,All samples are zero
2026-04-24T17:23:31.167209,ZERO_BUFFER,All samples are zero
2026-04-24T17:23:31.171447,PLATEAU_CONFIRMED,Wideband signal detected,freq=145306471.30647132,bw=7.28515625,hits=4
2026-04-24T17:23:31.195431,VIDEO_REJECTED,cyclo rejected video,freq=145306471.30647132,score=0
2026-04-24T17:23:31.207866,PLATEAU_CONFIRMED,Wideband signal detected,freq=157748473.74847376,bw=9.6826171875,hits=4
2026-04-24T17:23:31.241118,PLATEAU_CONFIRMED,Wideband signal detected,freq=173921855.92185593,bw=4.384765625,hits=3
2026-04-24T17:23:31.241800,VIDEO_REJECTED,cyclo rejected video,freq=157748473.74847376,score=0
2026-04-24T17:23:31.358943,VIDEO_REJECTED,cyclo rejected video,freq=173921855.92185593,score=0
2026-04-24T17:23:31.399299,PLATEAU_CONFIRMED,Wideband signal detected,freq=205728937.72893775,bw=6.5625,hits=8
2026-04-24T17:23:31.436769,VIDEO_REJECTED,cyclo rejected video,freq=205728937.72893775,score=0
2026-04-24T17:23:31.440995,PLATEAU_CONFIRMED,Wideband signal detected,freq=225726495.7264957,bw=5.9716796875,hits=9
2026-04-24T17:23:31.467063,VIDEO_REJECTED,cyclo rejected video,freq=225726495.7264957,score=0
2026-04-24T17:23:31.579554,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=320000000
2026-04-24T17:23:31.608172,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=340000000
2026-04-24T17:23:31.688582,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=400000000
2026-04-24T17:23:32.419358,PLATEAU_CONFIRMED,Wideband signal detected,freq=482000000.0,bw=7.802734375,hits=9
2026-04-24T17:23:32.822862,VIDEO_REJECTED,cyclo rejected video,freq=482000000.0,score=0
2026-04-24T17:23:32.852241,PLATEAU_CONFIRMED,Wideband signal detected,freq=502007326.007326,bw=7.79296875,hits=10
2026-04-24T17:23:33.034509,VIDEO_REJECTED,cyclo rejected video,freq=502007326.007326,score=0
2026-04-24T17:23:33.064217,PLATEAU_CONFIRMED,Wideband signal detected,freq=528053724.05372405,bw=3.896484375,hits=8
2026-04-24T17:23:33.359608,VIDEO_REJECTED,cyclo rejected video,freq=528053724.05372405,score=0
2026-04-24T17:23:33.458255,PLATEAU_CONFIRMED,Wideband signal detected,freq=540000000.0,bw=3.9013671875,hits=10
2026-04-24T17:23:33.470305,VIDEO_REJECTED,cyclo rejected video,freq=540000000.0,score=0
2026-04-24T17:23:33.709659,PLATEAU_CONFIRMED,Wideband signal detected,freq=568056166.056166,bw=3.8916015625,hits=10
2026-04-24T17:23:33.947306,PLATEAU_CONFIRMED,Wideband signal detected,freq=579985347.985348,bw=3.9306640625,hits=10
2026-04-24T17:23:33.947647,VIDEO_REJECTED,cyclo rejected video,freq=568056166.056166,score=0
2026-04-24T17:23:34.003924,PLATEAU_CONFIRMED,Wideband signal detected,freq=603333333.3333334,bw=4.5849609375,hits=7
2026-04-24T17:23:34.011175,VIDEO_REJECTED,cyclo rejected video,freq=579985347.985348,score=0
2026-04-24T17:23:34.214963,VIDEO_REJECTED,cyclo rejected video,freq=603333333.3333334,score=0
2026-04-24T17:23:34.253078,PLATEAU_CONFIRMED,Wideband signal detected,freq=625975579.97558,bw=7.71484375,hits=9
2026-04-24T17:23:34.264407,VIDEO_REJECTED,cyclo rejected video,freq=625975579.97558,score=0
2026-04-24T17:23:34.329040,PLATEAU_CONFIRMED,Wideband signal detected,freq=645877899.8778999,bw=5.9228515625,hits=10
2026-04-24T17:23:34.350575,VIDEO_REJECTED,cyclo rejected video,freq=645877899.8778999,score=0
2026-04-24T17:23:34.360714,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=660000000
2026-04-24T17:23:34.390015,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=680000000
2026-04-24T17:23:34.446969,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=720000000
2026-04-24T17:23:34.474412,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=740000000
2026-04-24T17:23:34.528738,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=780000000
2026-04-24T17:23:34.625437,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=840000000
2026-04-24T17:23:34.732851,PLATEAU_CONFIRMED,Wideband signal detected,freq=899333333.3333334,bw=8.4375,hits=7
2026-04-24T17:23:34.751588,VIDEO_REJECTED,cyclo rejected video,freq=899333333.3333334,score=0
2026-04-24T17:23:34.924712,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=940000000
2026-04-24T17:23:35.045733,PLATEAU_CONFIRMED,Wideband signal detected,freq=953995115.995116,bw=9.7119140625,hits=5
2026-04-24T17:23:35.076708,VIDEO_REJECTED,cyclo rejected video,freq=953995115.995116,score=0
2026-04-24T17:23:35.082360,PLATEAU_CONFIRMED,Wideband signal detected,freq=978378510.3785104,bw=3.3837890625,hits=6
2026-04-24T17:23:35.106128,VIDEO_REJECTED,cyclo rejected video,freq=978378510.3785104,score=0
2026-04-24T17:23:35.383668,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1200000000
2026-04-24T17:23:35.664254,PLATEAU_CONFIRMED,Wideband signal detected,freq=1239221001.2210011,bw=9.51171875,hits=9
2026-04-24T17:23:35.766812,VIDEO_CONFIRMED,cyclo confirmed video,freq=1239221001.2210011,score=9
2026-04-24T17:23:35.770812,PLATEAU_CONFIRMED,Wideband signal detected,freq=1259318681.3186812,bw=6.38671875,hits=10
2026-04-24T17:23:35.793974,VIDEO_REJECTED,cyclo rejected video,freq=1259318681.3186812,score=1
2026-04-24T17:23:36.046357,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1440000000
2026-04-24T17:23:36.444631,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=1720000000
2026-04-24T17:23:36.515350,PLATEAU_CONFIRMED,Wideband signal detected,freq=1767103785.103785,bw=3.8916015625,hits=5
