2026-04-24T17:51:12.126110,100715506.716,8.960,6
2026-04-24T17:51:12.194299,145938949.939,7.505,6
2026-04-24T17:51:12.227596,161032967.033,4.941,3
2026-04-24T17:51:12.263535,174185592.186,5.332,3
2026-04-24T17:51:12.382367,205208791.209,6.133,7
2026-04-24T17:51:12.518089,245614163.614,7.065,7
2026-04-24T17:51:12.559413,265106227.106,7.144,9
2026-04-24T17:51:12.644620,314229548.230,4.219,3
2026-04-24T17:51:13.337918,481995115.995,7.827,8
2026-04-24T17:51:13.441926,502490842.491,7.837,10
2026-04-24T17:51:13.730348,528041514.042,3.926,8
2026-04-24T17:51:14.193244,531963369.963,3.931,10
2026-04-24T17:51:14.593996,568036630.037,3.940,10
2026-04-24T17:51:14.860651,588051282.051,3.896,10
2026-04-24T17:51:14.918709,602415140.415,8.125,6
2026-04-24T17:51:15.205048,625980463.980,7.793,8
2026-04-24T17:51:15.281132,646300366.300,8.359,10
2026-04-24T17:51:15.318811,663655677.656,8.374,7
2026-04-24T17:51:15.694094,914185592.186,5.776,7
2026-04-24T17:51:15.933849,937619047.619,9.624,9
2026-04-24T17:51:15.995455,953877899.878,6.533,9
2026-04-24T17:51:16.044832,973936507.937,6.089,10
2026-04-24T17:51:16.547203,1239684981.685,7.246,8
2026-04-24T17:51:16.620717,1259426129.426,6.631,9
2026-04-24T17:51:17.287826,1767250305.250,5.029,5
2026-04-24T17:51:17.409253,1787020757.021,7.603,10
2026-04-24T17:51:17.645852,1807846153.846,4.595,8
2026-04-24T17:51:17.986146,1827643467.643,4.790,10
2026-04-24T17:51:18.029525,1841545787.546,7.778,10
2026-04-24T17:51:18.067392,1857052503.053,9.985,5
2026-04-24T17:51:18.156872,1874979242.979,9.810,10
2026-04-24T17:51:18.213772,1896080586.081,8.511,10
2026-04-24T17:51:18.312564,1963382173.382,9.917,8
2026-04-24T17:51:18.411289,2023372405.372,3.843,5
2026-04-24T17:51:18.462780,2039470085.470,8.687,5
2026-04-24T17:51:18.590133,2055626373.626,9.097,9
2026-04-24T17:51:18.986952,2074192918.193,7.485,10
2026-04-24T17:51:19.169921,2093550671.551,6.714,10
2026-04-24T17:51:19.215092,2119978021.978,7.681,4
2026-04-24T17:51:19.495044,2144820512.821,9.004,8
2026-04-24T17:51:19.713388,2164644688.645,9.058,10
2026-04-24T17:51:20.070466,2185916971.917,7.192,7
2026-04-24T17:51:20.233222,2206444444.444,5.786,8
2026-04-24T17:51:20.445847,2359619047.619,7.544,6
2026-04-24T17:51:20.486704,2378273504.274,5.278,4
2026-04-24T17:51:20.809295,2391997557.998,4.912,9
2026-04-24T17:51:20.856772,2411792429.792,3.984,4
2026-04-24T17:51:20.934038,2452061050.061,4.165,3
2026-04-24T17:51:21.172589,2472100122.100,4.209,10
2026-04-24T17:51:21.492641,2612649572.650,4.814,10
2026-04-24T17:51:21.539035,2632285714.286,3.984,9
2026-04-24T17:51:21.719476,2660778998.779,4.927,7
2026-04-24T17:51:21.845050,2672305250.305,4.150,7
2026-04-24T17:51:21.943992,2735304029.304,7.563,5
2026-04-24T17:51:22.347359,3024583638.584,8.560,5
2026-04-24T17:51:22.380293,3041360195.360,7.197,3
2026-04-24T17:51:22.414311,3066380952.381,4.331,4
2026-04-24T17:51:22.451674,3075308913.309,5.908,4
2026-04-24T17:51:22.483081,3094290598.291,5.190,4
2026-04-24T17:51:22.651335,3220568986.569,4.995,3
2026-04-24T17:51:22.839856,3367582417.582,3.633,3
2026-04-24T17:51:22.891647,3383255189.255,6.152,5
2026-04-24T17:51:23.021821,3426825396.825,5.522,5
2026-04-24T17:51:23.067169,3446083028.083,9.155,5
2026-04-24T17:51:23.107519,3459943833.944,6.895,4
2026-04-24T17:51:23.143669,3473978021.978,7.285,4
2026-04-24T17:51:23.177994,3500852258.852,7.134,7
2026-04-24T17:51:23.214727,3520622710.623,5.898,3
2026-04-24T17:51:23.257314,3535826617.827,9.673,5
2026-04-24T17:51:23.292503,3567020757.021,5.239,7
2026-04-24T17:51:23.327550,3581694749.695,9.980,8
2026-04-24T17:51:23.428997,3607829059.829,3.955,6
2026-04-24T17:51:23.588024,3626268620.269,7.520,10
2026-04-24T17:51:23.667533,3645616605.617,9.502,6
2026-04-24T17:51:23.715040,3666297924.298,7.827,9
2026-04-24T17:51:23.769369,3687426129.426,5.449,5
2026-04-24T17:51:23.836216,3717990231.990,7.217,4
2026-04-24T17:51:23.872314,3735010989.011,6.577,6
2026-04-24T17:51:23.906710,3755472527.473,5.635,4
2026-04-24T17:51:23.983745,3796324786.325,5.771,7
2026-04-24T17:51:24.101504,3815357753.358,9.312,9
2026-04-24T17:51:24.223030,3833421245.421,8.423,10
2026-04-24T17:51:24.464980,3853291819.292,8.311,10
2026-04-24T17:51:24.609217,3884244200.244,6.680,8
2026-04-24T17:51:24.644196,3904161172.161,5.850,4
2026-04-24T17:51:24.811885,3933697191.697,5.933,6
2026-04-24T17:51:24.849750,3953882783.883,4.946,6
2026-04-24T17:51:25.015918,4074170940.171,4.971,3
2026-04-24T17:51:25.161391,4158068376.068,8.408,5
2026-04-24T17:51:25.205739,4178390720.391,5.864,7
2026-04-24T17:51:26.224605,4987013431.013,5.361,4
2026-04-24T17:51:26.275171,5004622710.623,8.096,6
2026-04-24T17:51:26.323150,5023172161.172,6.929,6
2026-04-24T17:51:26.360203,5037848595.849,5.527,6
