2026-04-24T17:42:01.925499,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:42:01.959521,PLATEAU_CONFIRMED,Wideband signal detected,freq=103387057.3870574,bw=5.5224609375,hits=6
2026-04-24T17:42:01.979035,VIDEO_REJECTED,autocorr rejected video,freq=103387057.3870574,score=0.0
2026-04-24T17:42:01.994569,PLATEAU_CONFIRMED,Wideband signal detected,freq=122752136.75213675,bw=4.9169921875,hits=3
2026-04-24T17:42:01.995488,ZERO_BUFFER,All samples are zero
2026-04-24T17:42:02.016213,VIDEO_REJECTED,autocorr rejected video,freq=122752136.75213675,score=0.0
2026-04-24T17:42:02.019645,ZERO_BUFFER,All samples are zero
2026-04-24T17:42:02.032204,PLATEAU_CONFIRMED,Wideband signal detected,freq=144686202.68620268,bw=9.7509765625,hits=5
2026-04-24T17:42:02.052059,VIDEO_REJECTED,autocorr rejected video,freq=144686202.68620268,score=0.0
2026-04-24T17:42:02.086169,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=160000000
2026-04-24T17:42:02.117982,PLATEAU_CONFIRMED,Wideband signal detected,freq=173536019.53601953,bw=4.892578125,hits=7
2026-04-24T17:42:02.202065,VIDEO_REJECTED,autocorr rejected video,freq=173536019.53601953,score=0.0
2026-04-24T17:42:02.363432,PLATEAU_CONFIRMED,Wideband signal detected,freq=205448107.44810745,bw=6.7041015625,hits=8
2026-04-24T17:42:02.378123,VIDEO_REJECTED,autocorr rejected video,freq=205448107.44810745,score=0.0
2026-04-24T17:42:02.442094,PLATEAU_CONFIRMED,Wideband signal detected,freq=225455433.45543346,bw=6.8017578125,hits=10
2026-04-24T17:42:02.467398,VIDEO_REJECTED,autocorr rejected video,freq=225455433.45543346,score=0.0
2026-04-24T17:42:02.492763,PLATEAU_CONFIRMED,Wideband signal detected,freq=244339438.33943835,bw=9.755859375,hits=7
2026-04-24T17:42:02.522899,VIDEO_REJECTED,autocorr rejected video,freq=244339438.33943835,score=0.0
2026-04-24T17:42:02.539498,PLATEAU_CONFIRMED,Wideband signal detected,freq=265628815.62881562,bw=6.46484375,hits=10
2026-04-24T17:42:02.560122,VIDEO_REJECTED,autocorr rejected video,freq=265628815.62881562,score=0.0
2026-04-24T17:42:02.573491,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=280000000
2026-04-24T17:42:02.607688,PLATEAU_CONFIRMED,Wideband signal detected,freq=294957264.95726496,bw=6.9921875,hits=5
2026-04-24T17:42:02.632717,VIDEO_REJECTED,autocorr rejected video,freq=294957264.95726496,score=0.0
2026-04-24T17:42:02.641860,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=320000000
2026-04-24T17:42:02.669369,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=340000000
2026-04-24T17:42:02.753256,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=400000000
2026-04-24T17:42:02.787604,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=420000000
2026-04-24T17:42:03.550278,PLATEAU_CONFIRMED,Wideband signal detected,freq=482000000.0,bw=7.8173828125,hits=8
2026-04-24T17:42:03.859148,VIDEO_REJECTED,autocorr rejected video,freq=482000000.0,score=0.0
2026-04-24T17:42:04.121625,PLATEAU_CONFIRMED,Wideband signal detected,freq=501978021.978022,bw=7.8466796875,hits=10
2026-04-24T17:42:04.179563,VIDEO_REJECTED,autocorr rejected video,freq=501978021.978022,score=0.0
2026-04-24T17:42:04.327737,PLATEAU_CONFIRMED,Wideband signal detected,freq=528048840.04884005,bw=3.9453125,hits=8
2026-04-24T17:42:04.497143,VIDEO_REJECTED,autocorr rejected video,freq=528048840.04884005,score=0.0
2026-04-24T17:42:04.600799,PLATEAU_CONFIRMED,Wideband signal detected,freq=548051282.051282,bw=3.90625,hits=10
2026-04-24T17:42:04.617495,VIDEO_REJECTED,autocorr rejected video,freq=548051282.051282,score=0.0
2026-04-24T17:42:04.838183,PLATEAU_CONFIRMED,Wideband signal detected,freq=568051282.051282,bw=3.916015625,hits=10
2026-04-24T17:42:04.936489,VIDEO_REJECTED,autocorr rejected video,freq=568051282.051282,score=0.0
2026-04-24T17:42:05.069736,PLATEAU_CONFIRMED,Wideband signal detected,freq=571953601.953602,bw=3.9111328125,hits=10
2026-04-24T17:42:05.082329,VIDEO_REJECTED,autocorr rejected video,freq=571953601.953602,score=0.0
2026-04-24T17:42:05.161545,PLATEAU_CONFIRMED,Wideband signal detected,freq=601877899.8778999,bw=7.490234375,hits=5
2026-04-24T17:42:05.310003,VIDEO_REJECTED,autocorr rejected video,freq=601877899.8778999,score=0.0
