2026-04-24T17:25:39.502916,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:25:39.560448,PLATEAU_CONFIRMED,Wideband signal detected,freq=102029304.02930403,bw=4.2919921875,hits=3
2026-04-24T17:25:39.580726,VIDEO_REJECTED,autocorr rejected video,freq=102029304.02930403,score=0.0
2026-04-24T17:25:39.597043,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=120000000
2026-04-24T17:25:39.634058,PLATEAU_CONFIRMED,Wideband signal detected,freq=145804639.80463982,bw=7.412109375,hits=3
2026-04-24T17:25:39.660577,VIDEO_REJECTED,autocorr rejected video,freq=145804639.80463982,score=0.0
2026-04-24T17:25:39.677000,PLATEAU_CONFIRMED,Wideband signal detected,freq=162551892.55189255,bw=9.775390625,hits=5
2026-04-24T17:25:39.704648,VIDEO_REJECTED,autocorr rejected video,freq=162551892.55189255,score=0.0
2026-04-24T17:25:39.756241,PLATEAU_CONFIRMED,Wideband signal detected,freq=196691086.69108668,bw=2.8369140625,hits=5
2026-04-24T17:25:39.779881,VIDEO_REJECTED,autocorr rejected video,freq=196691086.69108668,score=0.0
2026-04-24T17:25:39.808961,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=220000000
2026-04-24T17:25:39.901686,PLATEAU_CONFIRMED,Wideband signal detected,freq=246393162.3931624,bw=6.5478515625,hits=8
2026-04-24T17:25:39.928042,VIDEO_REJECTED,autocorr rejected video,freq=246393162.3931624,score=0.0
2026-04-24T17:25:39.942456,PLATEAU_CONFIRMED,Wideband signal detected,freq=264485958.4859585,bw=5.4736328125,hits=3
2026-04-24T17:25:39.963055,VIDEO_REJECTED,autocorr rejected video,freq=264485958.4859585,score=0.0
2026-04-24T17:25:40.014926,PLATEAU_CONFIRMED,Wideband signal detected,freq=294935286.93528694,bw=6.9921875,hits=6
2026-04-24T17:25:40.038270,VIDEO_REJECTED,autocorr rejected video,freq=294935286.93528694,score=0.0
2026-04-24T17:25:40.066721,PLATEAU_CONFIRMED,Wideband signal detected,freq=313238095.2380952,bw=4.931640625,hits=5
2026-04-24T17:25:40.088849,VIDEO_REJECTED,autocorr rejected video,freq=313238095.2380952,score=0.0
2026-04-24T17:25:40.100924,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=340000000
2026-04-24T17:25:40.154746,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=380000000
2026-04-24T17:25:40.184306,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=400000000
2026-04-24T17:25:40.359306,PLATEAU_CONFIRMED,Wideband signal detected,freq=523772893.7728938,bw=7.87109375,hits=3
2026-04-24T17:25:40.377935,VIDEO_REJECTED,autocorr rejected video,freq=523772893.7728938,score=0.0
2026-04-24T17:25:40.424917,PLATEAU_CONFIRMED,Wideband signal detected,freq=564813186.8131869,bw=8.0322265625,hits=4
2026-04-24T17:25:40.444557,VIDEO_REJECTED,autocorr rejected video,freq=564813186.8131869,score=0.0
2026-04-24T17:25:40.459329,PLATEAU_CONFIRMED,Wideband signal detected,freq=584168498.1684982,bw=5.1806640625,hits=3
2026-04-24T17:25:40.476698,VIDEO_REJECTED,autocorr rejected video,freq=584168498.1684982,score=0.0
2026-04-24T17:25:40.497141,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=600000000
2026-04-24T17:25:40.527103,PLATEAU_CONFIRMED,Wideband signal detected,freq=618769230.7692307,bw=2.9638671875,hits=4
2026-04-24T17:25:40.549308,VIDEO_REJECTED,autocorr rejected video,freq=618769230.7692307,score=0.0
2026-04-24T17:25:40.561619,PLATEAU_CONFIRMED,Wideband signal detected,freq=638776556.7765567,bw=5.0537109375,hits=4
2026-04-24T17:25:40.580017,VIDEO_REJECTED,autocorr rejected video,freq=638776556.7765567,score=0.0
2026-04-24T17:25:40.596683,PLATEAU_CONFIRMED,Wideband signal detected,freq=663875457.8754579,bw=8.0029296875,hits=3
2026-04-24T17:25:40.619447,VIDEO_REJECTED,autocorr rejected video,freq=663875457.8754579,score=0.0
2026-04-24T17:25:40.660366,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=700000000
2026-04-24T17:25:40.818358,PLATEAU_CONFIRMED,Wideband signal detected,freq=762424908.4249084,bw=6.30859375,hits=8
2026-04-24T17:25:40.857459,VIDEO_CONFIRMED,autocorr confirmed video,freq=762424908.4249084,score=0.9
2026-04-24T17:25:40.868259,PLATEAU_CONFIRMED,Wideband signal detected,freq=783389499.3894994,bw=3.10546875,hits=8
2026-04-24T17:25:40.892593,VIDEO_REJECTED,autocorr rejected video,freq=783389499.3894994,score=0.0
2026-04-24T17:25:40.900387,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=800000000
2026-04-24T17:25:40.929565,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=820000000
2026-04-24T17:25:41.214454,PLATEAU_CONFIRMED,Wideband signal detected,freq=939677655.6776557,bw=8.9111328125,hits=6
2026-04-24T17:25:41.251951,VIDEO_REJECTED,autocorr rejected video,freq=939677655.6776557,score=0.0
2026-04-24T17:25:41.266177,PLATEAU_CONFIRMED,Wideband signal detected,freq=958954822.9548229,bw=8.9453125,hits=10
2026-04-24T17:25:41.287128,VIDEO_REJECTED,autocorr rejected video,freq=958954822.9548229,score=0.0
2026-04-24T17:25:41.604933,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1200000000
2026-04-24T17:25:41.691415,PLATEAU_CONFIRMED,Wideband signal detected,freq=1265912087.912088,bw=5.4150390625,hits=5
2026-04-24T17:25:41.709908,VIDEO_REJECTED,autocorr rejected video,freq=1265912087.912088,score=0.0
2026-04-24T17:25:41.726794,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1280000000
2026-04-24T17:25:41.912442,PLATEAU_CONFIRMED,Wideband signal detected,freq=1374776556.7765567,bw=7.5,hits=7
2026-04-24T17:25:41.938611,VIDEO_REJECTED,autocorr rejected video,freq=1374776556.7765567,score=0.0
2026-04-24T17:25:42.402728,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1680000000
2026-04-24T17:25:42.462430,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=1720000000
2026-04-24T17:25:42.849873,PLATEAU_CONFIRMED,Wideband signal detected,freq=1807797313.7973137,bw=4.4091796875,hits=8
2026-04-24T17:25:42.869751,VIDEO_REJECTED,autocorr rejected video,freq=1807797313.7973137,score=0.0
2026-04-24T17:25:42.966303,PLATEAU_CONFIRMED,Wideband signal detected,freq=1827694749.6947496,bw=6.513671875,hits=9
2026-04-24T17:25:42.985081,VIDEO_REJECTED,autocorr rejected video,freq=1827694749.6947496,score=0.0
2026-04-24T17:25:43.019571,PLATEAU_CONFIRMED,Wideband signal detected,freq=1835523809.5238094,bw=8.6181640625,hits=9
2026-04-24T17:25:43.043143,VIDEO_REJECTED,autocorr rejected video,freq=1835523809.5238094,score=0.0
2026-04-24T17:25:43.097650,PLATEAU_CONFIRMED,Wideband signal detected,freq=1875128205.128205,bw=8.984375,hits=9
2026-04-24T17:25:43.119649,VIDEO_REJECTED,autocorr rejected video,freq=1875128205.128205,score=0.0
2026-04-24T17:25:43.135506,PLATEAU_CONFIRMED,Wideband signal detected,freq=1894615384.6153846,bw=5.185546875,hits=9
2026-04-24T17:25:43.159914,VIDEO_REJECTED,autocorr rejected video,freq=1894615384.6153846,score=0.0
2026-04-24T17:25:43.554080,PLATEAU_CONFIRMED,Wideband signal detected,freq=2113633699.6336997,bw=6.62109375,hits=7
2026-04-24T17:25:43.582655,VIDEO_REJECTED,autocorr rejected video,freq=2113633699.6336997,score=0.0
2026-04-24T17:25:43.659486,PLATEAU_CONFIRMED,Wideband signal detected,freq=2144021978.0219781,bw=7.8759765625,hits=9
2026-04-24T17:25:43.681236,VIDEO_REJECTED,autocorr rejected video,freq=2144021978.0219781,score=0.0
2026-04-24T17:25:43.692631,PLATEAU_CONFIRMED,Wideband signal detected,freq=2163982905.982906,bw=5.1513671875,hits=4
2026-04-24T17:25:43.718662,VIDEO_REJECTED,autocorr rejected video,freq=2163982905.982906,score=0.0
2026-04-24T17:25:43.765161,PLATEAU_CONFIRMED,Wideband signal detected,freq=2187211233.211233,bw=4.033203125,hits=5
2026-04-24T17:25:43.789486,VIDEO_REJECTED,autocorr rejected video,freq=2187211233.211233,score=0.0
2026-04-24T17:25:43.904968,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=2280000000
2026-04-24T17:25:44.070267,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=2400000000
2026-04-24T17:25:44.177369,PLATEAU_CONFIRMED,Wideband signal detected,freq=2421010989.010989,bw=8.7060546875,hits=10
2026-04-24T17:25:44.194482,VIDEO_REJECTED,autocorr rejected video,freq=2421010989.010989,score=0.0
2026-04-24T17:25:44.215571,PLATEAU_CONFIRMED,Wideband signal detected,freq=2446586080.5860806,bw=5.283203125,hits=3
2026-04-24T17:25:44.232215,VIDEO_REJECTED,autocorr rejected video,freq=2446586080.5860806,score=0.0
2026-04-24T17:25:44.254402,PLATEAU_CONFIRMED,Wideband signal detected,freq=2462197802.1978025,bw=8.076171875,hits=4
2026-04-24T17:25:44.281371,VIDEO_REJECTED,autocorr rejected video,freq=2462197802.1978025,score=0.0
2026-04-24T17:25:44.319799,PLATEAU_CONFIRMED,Wideband signal detected,freq=2486444444.4444447,bw=6.904296875,hits=10
2026-04-24T17:25:44.340029,VIDEO_REJECTED,autocorr rejected video,freq=2486444444.4444447,score=0.0
2026-04-24T17:25:44.529858,PLATEAU_CONFIRMED,Wideband signal detected,freq=2546070818.070818,bw=7.87109375,hits=10
2026-04-24T17:25:44.551330,VIDEO_REJECTED,autocorr rejected video,freq=2546070818.070818,score=0.0
2026-04-24T17:25:44.637852,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=2620000000
2026-04-24T17:25:44.749659,PLATEAU_CONFIRMED,Wideband signal detected,freq=2644564102.564102,bw=9.091796875,hits=8
2026-04-24T17:25:44.770778,VIDEO_REJECTED,autocorr rejected video,freq=2644564102.564102,score=0.0
2026-04-24T17:25:44.874636,PLATEAU_CONFIRMED,Wideband signal detected,freq=2652500610.5006104,bw=4.2529296875,hits=7
2026-04-24T17:25:44.934471,VIDEO_REJECTED,autocorr rejected video,freq=2652500610.5006104,score=0.0
2026-04-24T17:25:44.947330,PLATEAU_CONFIRMED,Wideband signal detected,freq=2672166056.166056,bw=4.1357421875,hits=6
2026-04-24T17:25:44.963900,VIDEO_REJECTED,autocorr rejected video,freq=2672166056.166056,score=0.0
2026-04-24T17:25:45.585148,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=3180000000
2026-04-24T17:25:45.964990,PLATEAU_CONFIRMED,Wideband signal detected,freq=3442691086.691087,bw=9.9853515625,hits=4
2026-04-24T17:25:45.993024,VIDEO_REJECTED,autocorr rejected video,freq=3442691086.691087,score=0.0
2026-04-24T17:25:46.009419,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=3460000000
2026-04-24T17:25:46.055486,PLATEAU_CONFIRMED,Wideband signal detected,freq=3483118437.1184373,bw=3.3154296875,hits=3
2026-04-24T17:25:46.084650,VIDEO_REJECTED,autocorr rejected video,freq=3483118437.1184373,score=0.0
2026-04-24T17:25:46.749146,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=3900000000
2026-04-24T17:25:46.812923,PLATEAU_CONFIRMED,Wideband signal detected,freq=3945159951.159951,bw=3.7451171875,hits=4
2026-04-24T17:25:46.833327,VIDEO_REJECTED,autocorr rejected video,freq=3945159951.159951,score=0.0
2026-04-24T17:25:49.341505,PLATEAU_CONFIRMED,Wideband signal detected,freq=5839518925.518925,bw=6.552734375,hits=8
2026-04-24T17:25:49.398365,VIDEO_CONFIRMED,autocorr confirmed video,freq=5839518925.518925,score=0.8
2026-04-24T17:25:49.425453,PLATEAU_CONFIRMED,Wideband signal detected,freq=5860554334.554335,bw=6.1669921875,hits=10
2026-04-24T17:25:49.444417,VIDEO_REJECTED,autocorr rejected video,freq=5860554334.554335,score=0.1
