2026-04-24T17:24:00.223223,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:24:00.254160,PLATEAU_CONFIRMED,Wideband signal detected,freq=105328449.32844932,bw=2.94921875,hits=4
2026-04-24T17:24:00.273793,VIDEO_REJECTED,cyclo rejected video,freq=105328449.32844932,score=0
2026-04-24T17:24:00.286468,ZERO_BUFFER,All samples are zero
2026-04-24T17:24:00.314127,ZERO_BUFFER,All samples are zero
2026-04-24T17:24:00.318323,PLATEAU_CONFIRMED,Wideband signal detected,freq=145111111.1111111,bw=5.8056640625,hits=4
2026-04-24T17:24:00.343546,VIDEO_REJECTED,cyclo rejected video,freq=145111111.1111111,score=0
2026-04-24T17:24:00.349455,PLATEAU_CONFIRMED,Wideband signal detected,freq=160310134.31013432,bw=5.01953125,hits=5
2026-04-24T17:24:00.377866,VIDEO_REJECTED,cyclo rejected video,freq=160310134.31013432,score=0
2026-04-24T17:24:00.382876,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=180000000
2026-04-24T17:24:00.495470,PLATEAU_CONFIRMED,Wideband signal detected,freq=206068376.06837606,bw=6.298828125,hits=6
2026-04-24T17:24:00.531915,VIDEO_REJECTED,cyclo rejected video,freq=206068376.06837606,score=1
2026-04-24T17:24:00.539415,PLATEAU_CONFIRMED,Wideband signal detected,freq=225914529.91452992,bw=5.673828125,hits=10
2026-04-24T17:24:00.561620,VIDEO_REJECTED,cyclo rejected video,freq=225914529.91452992,score=0
2026-04-24T17:24:00.788749,PLATEAU_CONFIRMED,Wideband signal detected,freq=394547008.5470086,bw=3.9306640625,hits=3
2026-04-24T17:24:00.817406,VIDEO_REJECTED,cyclo rejected video,freq=394547008.5470086,score=0
2026-04-24T17:24:01.509911,PLATEAU_CONFIRMED,Wideband signal detected,freq=482000000.0,bw=7.8125,hits=8
2026-04-24T17:24:01.814858,VIDEO_REJECTED,cyclo rejected video,freq=482000000.0,score=0
2026-04-24T17:24:01.819866,PLATEAU_CONFIRMED,Wideband signal detected,freq=502004884.004884,bw=7.7978515625,hits=10
2026-04-24T17:24:01.827884,VIDEO_REJECTED,cyclo rejected video,freq=502004884.004884,score=0
2026-04-24T17:24:02.061615,PLATEAU_CONFIRMED,Wideband signal detected,freq=528048840.04884005,bw=3.9208984375,hits=8
2026-04-24T17:24:02.285365,VIDEO_REJECTED,cyclo rejected video,freq=528048840.04884005,score=0
2026-04-24T17:24:02.464671,PLATEAU_CONFIRMED,Wideband signal detected,freq=531948717.94871795,bw=3.90625,hits=10
2026-04-24T17:24:02.687026,VIDEO_REJECTED,cyclo rejected video,freq=531948717.94871795,score=0
