2026-04-24T17:40:23.802576,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:40:23.845772,PLATEAU_CONFIRMED,Wideband signal detected,freq=105194139.1941392,bw=9.2578125,hits=10
2026-04-24T17:40:23.865906,VIDEO_REJECTED,autocorr rejected video,freq=105194139.1941392,score=0.0
2026-04-24T17:40:23.881883,PLATEAU_CONFIRMED,Wideband signal detected,freq=124007326.007326,bw=6.93359375,hits=9
2026-04-24T17:40:23.901865,VIDEO_REJECTED,autocorr rejected video,freq=124007326.007326,score=0.0
2026-04-24T17:40:23.916692,PLATEAU_CONFIRMED,Wideband signal detected,freq=146468864.46886447,bw=4.990234375,hits=6
2026-04-24T17:40:23.941470,VIDEO_REJECTED,autocorr rejected video,freq=146468864.46886447,score=0.0
2026-04-24T17:40:23.954853,PLATEAU_CONFIRMED,Wideband signal detected,freq=164217338.2173382,bw=7.3583984375,hits=6
2026-04-24T17:40:23.980260,VIDEO_REJECTED,autocorr rejected video,freq=164217338.2173382,score=0.0
2026-04-24T17:40:23.992482,PLATEAU_CONFIRMED,Wideband signal detected,freq=175680097.6800977,bw=5.0439453125,hits=4
2026-04-24T17:40:24.087428,VIDEO_REJECTED,autocorr rejected video,freq=175680097.6800977,score=0.0
2026-04-24T17:40:24.200615,PLATEAU_CONFIRMED,Wideband signal detected,freq=205501831.5018315,bw=6.6845703125,hits=7
2026-04-24T17:40:24.268302,VIDEO_REJECTED,autocorr rejected video,freq=205501831.5018315,score=0.0
2026-04-24T17:40:24.304090,PLATEAU_CONFIRMED,Wideband signal detected,freq=225521367.52136752,bw=6.6845703125,hits=10
2026-04-24T17:40:24.330511,VIDEO_REJECTED,autocorr rejected video,freq=225521367.52136752,score=0.0
2026-04-24T17:40:24.341767,PLATEAU_CONFIRMED,Wideband signal detected,freq=246122100.1221001,bw=6.8212890625,hits=5
2026-04-24T17:40:24.363291,VIDEO_REJECTED,autocorr rejected video,freq=246122100.1221001,score=0.0
2026-04-24T17:40:24.385298,PLATEAU_CONFIRMED,Wideband signal detected,freq=266175824.17582417,bw=6.5576171875,hits=5
2026-04-24T17:40:24.412120,VIDEO_REJECTED,autocorr rejected video,freq=266175824.17582417,score=0.0
2026-04-24T17:40:24.423804,PLATEAU_CONFIRMED,Wideband signal detected,freq=285091575.0915751,bw=6.5087890625,hits=4
2026-04-24T17:40:24.443778,VIDEO_REJECTED,autocorr rejected video,freq=285091575.0915751,score=0.0
2026-04-24T17:40:24.461702,PLATEAU_CONFIRMED,Wideband signal detected,freq=294637362.63736266,bw=6.3037109375,hits=4
2026-04-24T17:40:24.486152,VIDEO_REJECTED,autocorr rejected video,freq=294637362.63736266,score=0.0
2026-04-24T17:40:24.516169,PLATEAU_CONFIRMED,Wideband signal detected,freq=313663003.6630037,bw=6.7431640625,hits=6
2026-04-24T17:40:24.539391,VIDEO_REJECTED,autocorr rejected video,freq=313663003.6630037,score=0.0
2026-04-24T17:40:24.565534,PLATEAU_CONFIRMED,Wideband signal detected,freq=333692307.6923077,bw=5.4541015625,hits=6
2026-04-24T17:40:24.587242,VIDEO_REJECTED,autocorr rejected video,freq=333692307.6923077,score=0.0
2026-04-24T17:40:24.608510,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=360000000
2026-04-24T17:40:24.924901,PLATEAU_CONFIRMED,Wideband signal detected,freq=422737484.73748475,bw=5.234375,hits=7
2026-04-24T17:40:25.098283,VIDEO_REJECTED,autocorr rejected video,freq=422737484.73748475,score=0.0
2026-04-24T17:40:25.134528,PLATEAU_CONFIRMED,Wideband signal detected,freq=442637362.63736266,bw=4.755859375,hits=10
2026-04-24T17:40:25.154528,VIDEO_REJECTED,autocorr rejected video,freq=442637362.63736266,score=0.0
2026-04-24T17:40:25.747205,PLATEAU_CONFIRMED,Wideband signal detected,freq=482017094.017094,bw=7.841796875,hits=8
2026-04-24T17:40:25.846434,VIDEO_REJECTED,autocorr rejected video,freq=482017094.017094,score=0.0
2026-04-24T17:40:25.933895,PLATEAU_CONFIRMED,Wideband signal detected,freq=502048840.04884005,bw=7.75390625,hits=10
2026-04-24T17:40:25.992156,VIDEO_REJECTED,autocorr rejected video,freq=502048840.04884005,score=0.0
2026-04-24T17:40:26.088470,PLATEAU_CONFIRMED,Wideband signal detected,freq=528112332.1123321,bw=3.8916015625,hits=8
2026-04-24T17:40:26.188419,VIDEO_REJECTED,autocorr rejected video,freq=528112332.1123321,score=0.0
2026-04-24T17:40:26.334808,PLATEAU_CONFIRMED,Wideband signal detected,freq=531948717.94871795,bw=3.90625,hits=10
2026-04-24T17:40:26.505026,VIDEO_REJECTED,autocorr rejected video,freq=531948717.94871795,score=0.0
2026-04-24T17:40:26.765913,PLATEAU_CONFIRMED,Wideband signal detected,freq=560034188.034188,bw=3.935546875,hits=10
2026-04-24T17:40:26.961857,VIDEO_REJECTED,autocorr rejected video,freq=560034188.034188,score=0.0
2026-04-24T17:40:27.219001,PLATEAU_CONFIRMED,Wideband signal detected,freq=588031746.031746,bw=3.9697265625,hits=10
2026-04-24T17:40:27.253378,VIDEO_REJECTED,autocorr rejected video,freq=588031746.031746,score=0.0
2026-04-24T17:40:27.360087,PLATEAU_CONFIRMED,Wideband signal detected,freq=602307692.3076923,bw=7.03125,hits=9
2026-04-24T17:40:27.472985,VIDEO_REJECTED,autocorr rejected video,freq=602307692.3076923,score=0.0
2026-04-24T17:40:27.751944,PLATEAU_CONFIRMED,Wideband signal detected,freq=625140415.1404152,bw=7.8369140625,hits=10
2026-04-24T17:40:27.817351,VIDEO_REJECTED,autocorr rejected video,freq=625140415.1404152,score=0.0
2026-04-24T17:40:27.856107,PLATEAU_CONFIRMED,Wideband signal detected,freq=646004884.004884,bw=9.990234375,hits=9
2026-04-24T17:40:27.876946,VIDEO_REJECTED,autocorr rejected video,freq=646004884.004884,score=0.0
2026-04-24T17:40:27.906389,PLATEAU_CONFIRMED,Wideband signal detected,freq=664949938.9499389,bw=7.578125,hits=3
2026-04-24T17:40:27.928787,VIDEO_REJECTED,autocorr rejected video,freq=664949938.9499389,score=0.0
2026-04-24T17:40:27.941929,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=680000000
2026-04-24T17:40:27.972527,PLATEAU_CONFIRMED,Wideband signal detected,freq=698815628.8156288,bw=7.6025390625,hits=5
2026-04-24T17:40:27.993437,VIDEO_REJECTED,autocorr rejected video,freq=698815628.8156288,score=0.0
2026-04-24T17:40:28.012599,PLATEAU_CONFIRMED,Wideband signal detected,freq=724376068.3760684,bw=5.537109375,hits=4
2026-04-24T17:40:28.035394,VIDEO_REJECTED,autocorr rejected video,freq=724376068.3760684,score=0.0
2026-04-24T17:40:28.047172,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=740000000
2026-04-24T17:40:28.074611,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=760000000
2026-04-24T17:40:28.105789,PLATEAU_CONFIRMED,Wideband signal detected,freq=773912087.9120879,bw=4.892578125,hits=3
2026-04-24T17:40:28.125529,VIDEO_REJECTED,autocorr rejected video,freq=773912087.9120879,score=0.0
2026-04-24T17:40:28.189203,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=840000000
2026-04-24T17:40:28.269048,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=900000000
2026-04-24T17:40:28.312349,PLATEAU_CONFIRMED,Wideband signal detected,freq=914862026.8620268,bw=4.7607421875,hits=6
2026-04-24T17:40:28.378692,VIDEO_REJECTED,autocorr rejected video,freq=914862026.8620268,score=0.0
2026-04-24T17:40:28.557135,PLATEAU_CONFIRMED,Wideband signal detected,freq=937985347.985348,bw=9.287109375,hits=7
2026-04-24T17:40:28.716672,VIDEO_REJECTED,autocorr rejected video,freq=937985347.985348,score=0.0
2026-04-24T17:40:28.764825,PLATEAU_CONFIRMED,Wideband signal detected,freq=955162393.1623932,bw=9.3603515625,hits=7
2026-04-24T17:40:28.798519,VIDEO_REJECTED,autocorr rejected video,freq=955162393.1623932,score=0.0
2026-04-24T17:40:28.813585,PLATEAU_CONFIRMED,Wideband signal detected,freq=973975579.97558,bw=6.533203125,hits=10
