2026-04-24T17:20:44.351742,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:20:44.403305,PLATEAU_CONFIRMED,Wideband signal detected,freq=100715506.7155067,bw=8.9599609375,hits=6
2026-04-24T17:20:44.431482,VIDEO_REJECTED,cyclo rejected video,freq=100715506.7155067,score=0
2026-04-24T17:20:44.438154,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=120000000
2026-04-24T17:20:44.441232,ZERO_BUFFER,All samples are zero
2026-04-24T17:20:44.468696,ZERO_BUFFER,All samples are zero
2026-04-24T17:20:44.473545,PLATEAU_CONFIRMED,Wideband signal detected,freq=145938949.93894994,bw=7.5048828125,hits=6
2026-04-24T17:20:44.502946,VIDEO_REJECTED,cyclo rejected video,freq=145938949.93894994,score=0
2026-04-24T17:20:44.506741,PLATEAU_CONFIRMED,Wideband signal detected,freq=161032967.03296703,bw=4.94140625,hits=3
2026-04-24T17:20:44.536569,VIDEO_REJECTED,cyclo rejected video,freq=161032967.03296703,score=0
2026-04-24T17:20:44.541081,PLATEAU_CONFIRMED,Wideband signal detected,freq=174185592.18559217,bw=5.33203125,hits=3
2026-04-24T17:20:44.614127,VIDEO_REJECTED,cyclo rejected video,freq=174185592.18559217,score=0
2026-04-24T17:20:44.660914,PLATEAU_CONFIRMED,Wideband signal detected,freq=205208791.2087912,bw=6.1328125,hits=7
2026-04-24T17:20:44.694650,VIDEO_REJECTED,cyclo rejected video,freq=205208791.2087912,score=1
2026-04-24T17:20:44.698675,PLATEAU_CONFIRMED,Wideband signal detected,freq=225013431.013431,bw=5.46875,hits=6
2026-04-24T17:20:44.783343,VIDEO_REJECTED,cyclo rejected video,freq=225013431.013431,score=0
2026-04-24T17:20:44.790828,PLATEAU_CONFIRMED,Wideband signal detected,freq=245172161.17216116,bw=8.759765625,hits=8
2026-04-24T17:20:44.824078,VIDEO_REJECTED,cyclo rejected video,freq=245172161.17216116,score=1
2026-04-24T17:20:44.832936,PLATEAU_CONFIRMED,Wideband signal detected,freq=265106227.1062271,bw=7.1435546875,hits=9
2026-04-24T17:20:44.859851,VIDEO_REJECTED,cyclo rejected video,freq=265106227.1062271,score=0
2026-04-24T17:20:44.948872,PLATEAU_CONFIRMED,Wideband signal detected,freq=314229548.2295482,bw=4.21875,hits=3
2026-04-24T17:20:44.977299,VIDEO_REJECTED,cyclo rejected video,freq=314229548.2295482,score=0
2026-04-24T17:20:45.026648,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=360000000
2026-04-24T17:20:45.857724,PLATEAU_CONFIRMED,Wideband signal detected,freq=481995115.995116,bw=7.8271484375,hits=8
2026-04-24T17:20:45.873883,VIDEO_REJECTED,cyclo rejected video,freq=481995115.995116,score=0
2026-04-24T17:20:45.947006,PLATEAU_CONFIRMED,Wideband signal detected,freq=502466422.46642244,bw=7.802734375,hits=10
2026-04-24T17:20:46.247364,PLATEAU_CONFIRMED,Wideband signal detected,freq=528041514.04151404,bw=3.92578125,hits=8
2026-04-24T17:20:46.247336,VIDEO_REJECTED,cyclo rejected video,freq=502466422.46642244,score=0
2026-04-24T17:20:46.565141,VIDEO_REJECTED,cyclo rejected video,freq=528041514.04151404,score=0
2026-04-24T17:20:46.714058,PLATEAU_CONFIRMED,Wideband signal detected,freq=531951159.95115995,bw=3.9208984375,hits=10
2026-04-24T17:20:47.054251,VIDEO_REJECTED,cyclo rejected video,freq=531951159.95115995,score=0
2026-04-24T17:20:47.125625,PLATEAU_CONFIRMED,Wideband signal detected,freq=559997557.997558,bw=3.916015625,hits=10
2026-04-24T17:20:47.297066,VIDEO_REJECTED,cyclo rejected video,freq=559997557.997558,score=0
2026-04-24T17:20:47.392362,PLATEAU_CONFIRMED,Wideband signal detected,freq=588051282.051282,bw=3.896484375,hits=10
2026-04-24T17:20:47.433411,VIDEO_REJECTED,cyclo rejected video,freq=588051282.051282,score=0
2026-04-24T17:20:47.439050,PLATEAU_CONFIRMED,Wideband signal detected,freq=602542124.5421245,bw=8.427734375,hits=5
2026-04-24T17:20:47.558364,VIDEO_REJECTED,cyclo rejected video,freq=602542124.5421245,score=0
2026-04-24T17:20:47.730387,PLATEAU_CONFIRMED,Wideband signal detected,freq=625980463.980464,bw=7.79296875,hits=8
2026-04-24T17:20:47.746198,VIDEO_REJECTED,cyclo rejected video,freq=625980463.980464,score=0
2026-04-24T17:20:47.837663,PLATEAU_CONFIRMED,Wideband signal detected,freq=646534798.5347985,bw=8.3642578125,hits=10
2026-04-24T17:20:47.867503,VIDEO_REJECTED,cyclo rejected video,freq=646534798.5347985,score=0
2026-04-24T17:20:47.873206,PLATEAU_CONFIRMED,Wideband signal detected,freq=663616605.6166056,bw=8.0322265625,hits=5
2026-04-24T17:20:47.903564,VIDEO_REJECTED,cyclo rejected video,freq=663616605.6166056,score=0
2026-04-24T17:20:47.908686,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=680000000
2026-04-24T17:20:47.937389,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=700000000
2026-04-24T17:20:47.967032,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=720000000
2026-04-24T17:20:48.021015,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=760000000
2026-04-24T17:20:48.125053,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=840000000
2026-04-24T17:20:48.259019,PLATEAU_CONFIRMED,Wideband signal detected,freq=914185592.1855922,bw=5.7763671875,hits=7
2026-04-24T17:20:48.435948,VIDEO_REJECTED,cyclo rejected video,freq=914185592.1855922,score=3
2026-04-24T17:20:48.511696,PLATEAU_CONFIRMED,Wideband signal detected,freq=937619047.6190476,bw=9.6240234375,hits=9
2026-04-24T17:20:48.519638,VIDEO_REJECTED,cyclo rejected video,freq=937619047.6190476,score=0
2026-04-24T17:20:48.585144,PLATEAU_CONFIRMED,Wideband signal detected,freq=953877899.8778999,bw=6.533203125,hits=9
2026-04-24T17:20:48.630076,VIDEO_REJECTED,cyclo rejected video,freq=953877899.8778999,score=0
2026-04-24T17:20:48.634200,PLATEAU_CONFIRMED,Wideband signal detected,freq=973946275.946276,bw=6.1865234375,hits=10
2026-04-24T17:20:48.657135,VIDEO_REJECTED,cyclo rejected video,freq=973946275.946276,score=0
2026-04-24T17:20:48.901871,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1180000000
2026-04-24T17:20:49.135709,PLATEAU_CONFIRMED,Wideband signal detected,freq=1239684981.6849816,bw=7.24609375,hits=8
2026-04-24T17:20:49.195843,VIDEO_CONFIRMED,cyclo confirmed video,freq=1239684981.6849816,score=8
2026-04-24T17:20:49.203352,PLATEAU_CONFIRMED,Wideband signal detected,freq=1259426129.4261293,bw=6.630859375,hits=9
2026-04-24T17:20:49.230556,VIDEO_REJECTED,cyclo rejected video,freq=1259426129.4261293,score=1
2026-04-24T17:20:49.284963,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=1320000000
2026-04-24T17:20:49.883314,PLATEAU_CONFIRMED,Wideband signal detected,freq=1767250305.2503052,bw=5.029296875,hits=5
2026-04-24T17:20:49.916752,VIDEO_REJECTED,cyclo rejected video,freq=1767250305.2503052,score=0
2026-04-24T17:20:49.941196,PLATEAU_CONFIRMED,Wideband signal detected,freq=1785457875.4578755,bw=6.7724609375,hits=5
2026-04-24T17:20:50.153930,VIDEO_REJECTED,cyclo rejected video,freq=1785457875.4578755,score=0
2026-04-24T17:20:50.219388,PLATEAU_CONFIRMED,Wideband signal detected,freq=1807816849.8168497,bw=4.51171875,hits=8
2026-04-24T17:20:50.232318,VIDEO_REJECTED,cyclo rejected video,freq=1807816849.8168497,score=0
2026-04-24T17:20:50.550084,PLATEAU_CONFIRMED,Wideband signal detected,freq=1827648351.6483517,bw=4.78515625,hits=10
2026-04-24T17:20:50.566427,VIDEO_REJECTED,cyclo rejected video,freq=1827648351.6483517,score=0
2026-04-24T17:20:50.624676,PLATEAU_CONFIRMED,Wideband signal detected,freq=1847465201.4652014,bw=7.4853515625,hits=9
2026-04-24T17:20:50.662073,VIDEO_REJECTED,cyclo rejected video,freq=1847465201.4652014,score=0
2026-04-24T17:20:50.671132,PLATEAU_CONFIRMED,Wideband signal detected,freq=1856417582.4175825,bw=9.921875,hits=10
2026-04-24T17:20:50.752735,VIDEO_REJECTED,cyclo rejected video,freq=1856417582.4175825,score=1
2026-04-24T17:20:50.760852,PLATEAU_CONFIRMED,Wideband signal detected,freq=1874979242.9792428,bw=9.8095703125,hits=10
2026-04-24T17:20:50.807428,VIDEO_REJECTED,cyclo rejected video,freq=1874979242.9792428,score=1
2026-04-24T17:20:50.817766,PLATEAU_CONFIRMED,Wideband signal detected,freq=1896080586.0805862,bw=8.5107421875,hits=10
2026-04-24T17:20:50.842878,VIDEO_REJECTED,cyclo rejected video,freq=1896080586.0805862,score=0
2026-04-24T17:20:50.878189,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=1940000000
