2026-04-24T17:43:43.693566,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:43:43.725340,PLATEAU_CONFIRMED,Wideband signal detected,freq=103597069.59706959,bw=5.6640625,hits=3
2026-04-24T17:43:43.747324,VIDEO_REJECTED,autocorr rejected video,freq=103597069.59706959,score=0.0
2026-04-24T17:43:43.755673,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=120000000
2026-04-24T17:43:43.756511,ZERO_BUFFER,All samples are zero
2026-04-24T17:43:43.781559,ZERO_BUFFER,All samples are zero
2026-04-24T17:43:43.785032,PLATEAU_CONFIRMED,Wideband signal detected,freq=145785103.7851038,bw=7.3193359375,hits=5
2026-04-24T17:43:43.811170,VIDEO_REJECTED,autocorr rejected video,freq=145785103.7851038,score=0.0
2026-04-24T17:43:43.818619,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=160000000
2026-04-24T17:43:43.847950,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=180000000
2026-04-24T17:43:43.966672,PLATEAU_CONFIRMED,Wideband signal detected,freq=205746031.74603176,bw=6.62109375,hits=5
2026-04-24T17:43:43.998000,VIDEO_REJECTED,autocorr rejected video,freq=205746031.74603176,score=0.0
2026-04-24T17:43:44.010669,PLATEAU_CONFIRMED,Wideband signal detected,freq=225868131.86813188,bw=5.927734375,hits=10
2026-04-24T17:43:44.034653,VIDEO_REJECTED,autocorr rejected video,freq=225868131.86813188,score=0.0
2026-04-24T17:43:44.119918,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=300000000
2026-04-24T17:43:44.148568,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=320000000
2026-04-24T17:43:44.177729,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=340000000
2026-04-24T17:43:44.255179,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=400000000
2026-04-24T17:43:44.931932,PLATEAU_CONFIRMED,Wideband signal detected,freq=482004884.004884,bw=7.83203125,hits=8
2026-04-24T17:43:45.191281,VIDEO_REJECTED,autocorr rejected video,freq=482004884.004884,score=0.0
2026-04-24T17:43:45.442689,PLATEAU_CONFIRMED,Wideband signal detected,freq=502073260.07326007,bw=7.8515625,hits=10
2026-04-24T17:43:45.450292,VIDEO_REJECTED,autocorr rejected video,freq=502073260.07326007,score=0.0
2026-04-24T17:43:45.663178,PLATEAU_CONFIRMED,Wideband signal detected,freq=528056166.05616605,bw=3.92578125,hits=8
2026-04-24T17:43:45.795471,VIDEO_REJECTED,autocorr rejected video,freq=528056166.05616605,score=0.0
2026-04-24T17:43:46.019689,PLATEAU_CONFIRMED,Wideband signal detected,freq=540000000.0,bw=3.9013671875,hits=10
2026-04-24T17:43:46.168451,VIDEO_REJECTED,autocorr rejected video,freq=540000000.0,score=0.0
2026-04-24T17:43:46.267973,PLATEAU_CONFIRMED,Wideband signal detected,freq=551948717.948718,bw=3.90625,hits=10
2026-04-24T17:43:46.333901,VIDEO_REJECTED,autocorr rejected video,freq=551948717.948718,score=0.0
2026-04-24T17:43:46.436282,PLATEAU_CONFIRMED,Wideband signal detected,freq=588024420.02442,bw=4.150390625,hits=10
2026-04-24T17:43:46.475687,VIDEO_REJECTED,autocorr rejected video,freq=588024420.02442,score=0.0
2026-04-24T17:43:46.500863,PLATEAU_CONFIRMED,Wideband signal detected,freq=602669108.6691086,bw=5.986328125,hits=7
2026-04-24T17:43:46.608158,VIDEO_REJECTED,autocorr rejected video,freq=602669108.6691086,score=0.0
2026-04-24T17:43:46.741241,PLATEAU_CONFIRMED,Wideband signal detected,freq=625391941.3919414,bw=6.66015625,hits=10
2026-04-24T17:43:46.792889,VIDEO_REJECTED,autocorr rejected video,freq=625391941.3919414,score=0.0
2026-04-24T17:43:46.806070,PLATEAU_CONFIRMED,Wideband signal detected,freq=646268620.2686203,bw=7.451171875,hits=10
2026-04-24T17:43:46.827094,VIDEO_REJECTED,autocorr rejected video,freq=646268620.2686203,score=0.0
2026-04-24T17:43:46.844182,PLATEAU_CONFIRMED,Wideband signal detected,freq=664783882.7838829,bw=8.0810546875,hits=4
2026-04-24T17:43:46.865911,VIDEO_REJECTED,autocorr rejected video,freq=664783882.7838829,score=0.0
2026-04-24T17:43:46.878652,PLATEAU_CONFIRMED,Wideband signal detected,freq=685919413.9194139,bw=4.9072265625,hits=6
2026-04-24T17:43:46.902305,VIDEO_REJECTED,autocorr rejected video,freq=685919413.9194139,score=0.0
2026-04-24T17:43:46.939593,PLATEAU_CONFIRMED,Wideband signal detected,freq=713523809.5238096,bw=3.6767578125,hits=4
2026-04-24T17:43:46.958663,VIDEO_REJECTED,autocorr rejected video,freq=713523809.5238096,score=0.0
2026-04-24T17:43:46.969663,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=740000000
2026-04-24T17:43:47.176577,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=900000000
2026-04-24T17:43:47.420619,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=960000000
2026-04-24T17:43:47.453332,PLATEAU_CONFIRMED,Wideband signal detected,freq=973492063.4920635,bw=9.6337890625,hits=7
2026-04-24T17:43:47.475682,VIDEO_REJECTED,autocorr rejected video,freq=973492063.4920635,score=0.0
2026-04-24T17:43:48.021574,PLATEAU_CONFIRMED,Wideband signal detected,freq=1239565323.5653234,bw=9.4287109375,hits=8
2026-04-24T17:43:48.114440,VIDEO_CONFIRMED,autocorr confirmed video,freq=1239565323.5653234,score=0.9
2026-04-24T17:43:48.140805,PLATEAU_CONFIRMED,Wideband signal detected,freq=1259465201.4652014,bw=7.548828125,hits=10
2026-04-24T17:43:48.161819,VIDEO_REJECTED,autocorr rejected video,freq=1259465201.4652014,score=0.1
2026-04-24T17:43:48.197538,PLATEAU_CONFIRMED,Wideband signal detected,freq=1299968253.9682539,bw=3.9111328125,hits=3
2026-04-24T17:43:48.310969,VIDEO_REJECTED,autocorr rejected video,freq=1299968253.9682539,score=0.1
2026-04-24T17:43:48.325548,PLATEAU_CONFIRMED,Wideband signal detected,freq=1319665445.6654456,bw=5.7373046875,hits=10
2026-04-24T17:43:48.342358,VIDEO_REJECTED,autocorr rejected video,freq=1319665445.6654456,score=0.1
2026-04-24T17:43:48.557710,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1500000000
2026-04-24T17:43:49.028202,PLATEAU_CONFIRMED,Wideband signal detected,freq=1785914529.9145298,bw=7.2265625,hits=6
