2026-04-24T17:22:05.194044,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:22:05.227764,PLATEAU_CONFIRMED,Wideband signal detected,freq=103387057.3870574,bw=5.5224609375,hits=6
2026-04-24T17:22:05.250312,VIDEO_REJECTED,cyclo rejected video,freq=103387057.3870574,score=0
2026-04-24T17:22:05.260423,ZERO_BUFFER,All samples are zero
2026-04-24T17:22:05.290465,ZERO_BUFFER,All samples are zero
2026-04-24T17:22:05.295203,PLATEAU_CONFIRMED,Wideband signal detected,freq=144686202.68620268,bw=9.7509765625,hits=5
2026-04-24T17:22:05.334884,VIDEO_REJECTED,cyclo rejected video,freq=144686202.68620268,score=0
2026-04-24T17:22:05.342541,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=160000000
2026-04-24T17:22:05.376878,PLATEAU_CONFIRMED,Wideband signal detected,freq=177570207.57020757,bw=9.7021484375,hits=8
2026-04-24T17:22:05.500164,VIDEO_REJECTED,cyclo rejected video,freq=177570207.57020757,score=0
2026-04-24T17:22:05.621866,PLATEAU_CONFIRMED,Wideband signal detected,freq=205448107.44810745,bw=6.7041015625,hits=8
2026-04-24T17:22:05.700899,VIDEO_REJECTED,cyclo rejected video,freq=205448107.44810745,score=0
2026-04-24T17:22:05.700960,PLATEAU_CONFIRMED,Wideband signal detected,freq=225433455.43345544,bw=6.552734375,hits=10
2026-04-24T17:22:05.752257,PLATEAU_CONFIRMED,Wideband signal detected,freq=246156288.15628815,bw=6.9482421875,hits=7
2026-04-24T17:22:05.752557,VIDEO_REJECTED,cyclo rejected video,freq=225433455.43345544,score=0
2026-04-24T17:22:05.795536,PLATEAU_CONFIRMED,Wideband signal detected,freq=265052503.05250305,bw=6.5087890625,hits=9
2026-04-24T17:22:05.795871,VIDEO_REJECTED,cyclo rejected video,freq=246156288.15628815,score=1
2026-04-24T17:22:05.819934,VIDEO_REJECTED,cyclo rejected video,freq=265052503.05250305,score=0
2026-04-24T17:22:05.826714,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=280000000
2026-04-24T17:22:05.861094,PLATEAU_CONFIRMED,Wideband signal detected,freq=294073260.07326007,bw=5.0537109375,hits=5
2026-04-24T17:22:05.892830,VIDEO_REJECTED,cyclo rejected video,freq=294073260.07326007,score=0
2026-04-24T17:22:05.897361,PLATEAU_CONFIRMED,Wideband signal detected,freq=313115995.1159951,bw=3.0615234375,hits=4
2026-04-24T17:22:05.938121,VIDEO_REJECTED,cyclo rejected video,freq=313115995.1159951,score=0
2026-04-24T17:22:06.023226,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=400000000
2026-04-24T17:22:06.057733,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=420000000
2026-04-24T17:22:06.815734,PLATEAU_CONFIRMED,Wideband signal detected,freq=482000000.0,bw=7.8173828125,hits=8
2026-04-24T17:22:07.190373,VIDEO_REJECTED,cyclo rejected video,freq=482000000.0,score=0
2026-04-24T17:22:07.214305,PLATEAU_CONFIRMED,Wideband signal detected,freq=501973137.973138,bw=7.822265625,hits=10
2026-04-24T17:22:07.221749,VIDEO_REJECTED,cyclo rejected video,freq=501973137.973138,score=0
