2026-04-24T17:25:29.181334,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:25:29.218125,PLATEAU_CONFIRMED,Wideband signal detected,freq=95714285.71428572,bw=7.32421875,hits=5
2026-04-24T17:25:29.235868,VIDEO_REJECTED,autocorr rejected video,freq=95714285.71428572,score=0.0
2026-04-24T17:25:29.251306,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=120000000
2026-04-24T17:25:29.315979,PLATEAU_CONFIRMED,Wideband signal detected,freq=165086691.08669108,bw=8.0078125,hits=4
2026-04-24T17:25:29.339099,VIDEO_REJECTED,autocorr rejected video,freq=165086691.08669108,score=0.0
2026-04-24T17:25:29.376868,PLATEAU_CONFIRMED,Wideband signal detected,freq=196678876.67887667,bw=2.8369140625,hits=6
2026-04-24T17:25:29.398308,VIDEO_REJECTED,autocorr rejected video,freq=196678876.67887667,score=0.0
2026-04-24T17:25:29.424503,PLATEAU_CONFIRMED,Wideband signal detected,freq=227030525.03052503,bw=5.4248046875,hits=5
2026-04-24T17:25:29.446600,VIDEO_REJECTED,autocorr rejected video,freq=227030525.03052503,score=0.0
2026-04-24T17:25:29.490470,PLATEAU_CONFIRMED,Wideband signal detected,freq=246249084.24908423,bw=5.751953125,hits=7
2026-04-24T17:25:29.513990,VIDEO_REJECTED,autocorr rejected video,freq=246249084.24908423,score=0.0
2026-04-24T17:25:29.525624,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=260000000
2026-04-24T17:25:29.589274,PLATEAU_CONFIRMED,Wideband signal detected,freq=294757020.7570208,bw=5.95703125,hits=5
2026-04-24T17:25:29.616302,VIDEO_REJECTED,autocorr rejected video,freq=294757020.7570208,score=0.0
2026-04-24T17:25:29.630705,PLATEAU_CONFIRMED,Wideband signal detected,freq=313013431.013431,bw=5.09765625,hits=4
2026-04-24T17:25:29.649326,VIDEO_REJECTED,autocorr rejected video,freq=313013431.013431,score=0.0
2026-04-24T17:25:29.748754,PLATEAU_CONFIRMED,Wideband signal detected,freq=394256410.25641024,bw=4.3212890625,hits=6
2026-04-24T17:25:29.772642,VIDEO_REJECTED,autocorr rejected video,freq=394256410.25641024,score=0.0
2026-04-24T17:25:30.005541,PLATEAU_CONFIRMED,Wideband signal detected,freq=563892551.8925519,bw=8.4716796875,hits=4
2026-04-24T17:25:30.027897,VIDEO_REJECTED,autocorr rejected video,freq=563892551.8925519,score=0.0
2026-04-24T17:25:30.039578,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=580000000
2026-04-24T17:25:30.071725,PLATEAU_CONFIRMED,Wideband signal detected,freq=606190476.1904762,bw=7.9833984375,hits=5
2026-04-24T17:25:30.087919,VIDEO_REJECTED,autocorr rejected video,freq=606190476.1904762,score=0.0
2026-04-24T17:25:30.107651,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=620000000
2026-04-24T17:25:30.137353,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=640000000
2026-04-24T17:25:30.169709,PLATEAU_CONFIRMED,Wideband signal detected,freq=665731379.7313797,bw=4.013671875,hits=4
2026-04-24T17:25:30.191767,VIDEO_REJECTED,autocorr rejected video,freq=665731379.7313797,score=0.0
2026-04-24T17:25:30.204405,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=680000000
2026-04-24T17:25:30.257888,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=720000000
2026-04-24T17:25:30.362176,PLATEAU_CONFIRMED,Wideband signal detected,freq=763101343.1013432,bw=5.8544921875,hits=8
2026-04-24T17:25:30.400169,VIDEO_CONFIRMED,autocorr confirmed video,freq=763101343.1013432,score=1.0
2026-04-24T17:25:30.416101,PLATEAU_CONFIRMED,Wideband signal detected,freq=783054945.0549451,bw=5.517578125,hits=8
2026-04-24T17:25:30.437023,VIDEO_REJECTED,autocorr rejected video,freq=783054945.0549451,score=0.1
2026-04-24T17:25:30.769816,PLATEAU_CONFIRMED,Wideband signal detected,freq=939675213.6752137,bw=8.88671875,hits=7
2026-04-24T17:25:30.798676,VIDEO_REJECTED,autocorr rejected video,freq=939675213.6752137,score=0.0
2026-04-24T17:25:30.817959,PLATEAU_CONFIRMED,Wideband signal detected,freq=958884004.8840048,bw=7.294921875,hits=9
2026-04-24T17:25:30.837039,VIDEO_REJECTED,autocorr rejected video,freq=958884004.8840048,score=0.0
2026-04-24T17:25:31.038923,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1120000000
2026-04-24T17:25:31.338123,PLATEAU_CONFIRMED,Wideband signal detected,freq=1339697191.6971917,bw=8.0908203125,hits=8
2026-04-24T17:25:31.356377,VIDEO_REJECTED,autocorr rejected video,freq=1339697191.6971917,score=0.0
2026-04-24T17:25:31.371790,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1360000000
2026-04-24T17:25:31.453374,PLATEAU_CONFIRMED,Wideband signal detected,freq=1393406593.4065933,bw=6.9384765625,hits=10
2026-04-24T17:25:31.471463,VIDEO_REJECTED,autocorr rejected video,freq=1393406593.4065933,score=0.0
2026-04-24T17:25:31.891420,PLATEAU_CONFIRMED,Wideband signal detected,freq=1714752136.7521367,bw=2.8564453125,hits=4
2026-04-24T17:25:31.910888,VIDEO_REJECTED,autocorr rejected video,freq=1714752136.7521367,score=0.0
2026-04-24T17:25:32.325687,PLATEAU_CONFIRMED,Wideband signal detected,freq=1807821733.8217337,bw=4.43359375,hits=8
2026-04-24T17:25:32.337222,VIDEO_REJECTED,autocorr rejected video,freq=1807821733.8217337,score=0.0
2026-04-24T17:25:32.386849,PLATEAU_CONFIRMED,Wideband signal detected,freq=1827948717.9487178,bw=4.2626953125,hits=10
2026-04-24T17:25:32.424133,VIDEO_REJECTED,autocorr rejected video,freq=1827948717.9487178,score=0.0
2026-04-24T17:25:32.582176,PLATEAU_CONFIRMED,Wideband signal detected,freq=1847821733.8217337,bw=8.4716796875,hits=8
2026-04-24T17:25:32.635330,VIDEO_REJECTED,autocorr rejected video,freq=1847821733.8217337,score=0.0
2026-04-24T17:25:32.652503,PLATEAU_CONFIRMED,Wideband signal detected,freq=1867367521.3675213,bw=6.9091796875,hits=7
2026-04-24T17:25:32.676361,VIDEO_REJECTED,autocorr rejected video,freq=1867367521.3675213,score=0.0
2026-04-24T17:25:32.698740,PLATEAU_CONFIRMED,Wideband signal detected,freq=1875623931.6239314,bw=8.095703125,hits=8
2026-04-24T17:25:32.722167,VIDEO_REJECTED,autocorr rejected video,freq=1875623931.6239314,score=0.0
2026-04-24T17:25:32.739364,PLATEAU_CONFIRMED,Wideband signal detected,freq=1894610500.6105006,bw=5.15625,hits=9
2026-04-24T17:25:32.757190,VIDEO_REJECTED,autocorr rejected video,freq=1894610500.6105006,score=0.0
2026-04-24T17:25:33.173989,PLATEAU_CONFIRMED,Wideband signal detected,freq=2114547008.5470085,bw=7.470703125,hits=7
2026-04-24T17:25:33.210312,VIDEO_REJECTED,autocorr rejected video,freq=2114547008.5470085,score=0.0
2026-04-24T17:25:33.301238,PLATEAU_CONFIRMED,Wideband signal detected,freq=2144471306.4713066,bw=8.3642578125,hits=7
2026-04-24T17:25:33.324449,VIDEO_REJECTED,autocorr rejected video,freq=2144471306.4713066,score=0.0
2026-04-24T17:25:33.336850,PLATEAU_CONFIRMED,Wideband signal detected,freq=2162747252.747253,bw=3.3349609375,hits=7
2026-04-24T17:25:33.391191,VIDEO_REJECTED,autocorr rejected video,freq=2162747252.747253,score=0.0
2026-04-24T17:25:33.461903,PLATEAU_CONFIRMED,Wideband signal detected,freq=2186910866.9108667,bw=4.130859375,hits=6
2026-04-24T17:25:33.500041,VIDEO_REJECTED,autocorr rejected video,freq=2186910866.9108667,score=0.0
2026-04-24T17:25:33.517202,PLATEAU_CONFIRMED,Wideband signal detected,freq=2206971916.971917,bw=4.12109375,hits=6
2026-04-24T17:25:33.540504,VIDEO_REJECTED,autocorr rejected video,freq=2206971916.971917,score=0.0
2026-04-24T17:25:33.879949,PLATEAU_CONFIRMED,Wideband signal detected,freq=2413032967.032967,bw=6.6552734375,hits=9
2026-04-24T17:25:33.951277,VIDEO_REJECTED,autocorr rejected video,freq=2413032967.032967,score=0.0
2026-04-24T17:25:33.957433,PLATEAU_CONFIRMED,Wideband signal detected,freq=2434056166.0561657,bw=6.40625,hits=8
2026-04-24T17:25:33.977845,VIDEO_REJECTED,autocorr rejected video,freq=2434056166.0561657,score=0.0
2026-04-24T17:25:34.000430,PLATEAU_CONFIRMED,Wideband signal detected,freq=2461765567.765568,bw=8.271484375,hits=3
2026-04-24T17:25:34.019870,VIDEO_REJECTED,autocorr rejected video,freq=2461765567.765568,score=0.0
2026-04-24T17:25:34.309986,PLATEAU_CONFIRMED,Wideband signal detected,freq=2644788766.788767,bw=8.0810546875,hits=5
2026-04-24T17:25:34.347581,VIDEO_REJECTED,autocorr rejected video,freq=2644788766.788767,score=0.0
2026-04-24T17:25:34.435181,PLATEAU_CONFIRMED,Wideband signal detected,freq=2652393162.3931627,bw=8.3642578125,hits=8
2026-04-24T17:25:34.479510,VIDEO_REJECTED,autocorr rejected video,freq=2652393162.3931627,score=0.0
2026-04-24T17:25:34.493132,PLATEAU_CONFIRMED,Wideband signal detected,freq=2672456654.4566545,bw=3.6572265625,hits=7
2026-04-24T17:25:34.513480,VIDEO_REJECTED,autocorr rejected video,freq=2672456654.4566545,score=0.0
2026-04-24T17:25:35.362545,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=3360000000
2026-04-24T17:25:35.396119,PLATEAU_CONFIRMED,Wideband signal detected,freq=3384385836.3858366,bw=6.6357421875,hits=4
2026-04-24T17:25:35.418616,VIDEO_REJECTED,autocorr rejected video,freq=3384385836.3858366,score=0.0
2026-04-24T17:25:35.432454,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=3400000000
2026-04-24T17:25:35.481542,PLATEAU_CONFIRMED,Wideband signal detected,freq=3413921855.921856,bw=5.908203125,hits=8
2026-04-24T17:25:35.503087,VIDEO_REJECTED,autocorr rejected video,freq=3413921855.921856,score=0.0
2026-04-24T17:25:35.541642,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=3460000000
2026-04-24T17:25:36.207789,PLATEAU_CONFIRMED,Wideband signal detected,freq=3934334554.3345547,bw=5.5029296875,hits=6
2026-04-24T17:25:36.227712,VIDEO_REJECTED,autocorr rejected video,freq=3934334554.3345547,score=0.0
2026-04-24T17:25:36.405746,PLATEAU_CONFIRMED,Wideband signal detected,freq=4075069597.0695972,bw=8.251953125,hits=4
2026-04-24T17:25:36.424894,VIDEO_REJECTED,autocorr rejected video,freq=4075069597.0695972,score=0.0
2026-04-24T17:25:36.446446,PLATEAU_CONFIRMED,Wideband signal detected,freq=4106063492.063492,bw=5.9765625,hits=4
2026-04-24T17:25:36.469554,VIDEO_REJECTED,autocorr rejected video,freq=4106063492.063492,score=0.0
2026-04-24T17:25:36.496126,PLATEAU_CONFIRMED,Wideband signal detected,freq=4125252747.252747,bw=9.1015625,hits=9
2026-04-24T17:25:36.519622,VIDEO_REJECTED,autocorr rejected video,freq=4125252747.252747,score=0.0
2026-04-24T17:25:36.534065,PLATEAU_CONFIRMED,Wideband signal detected,freq=4144383394.3833942,bw=6.484375,hits=5
2026-04-24T17:25:36.557543,VIDEO_REJECTED,autocorr rejected video,freq=4144383394.3833942,score=0.0
2026-04-24T17:25:36.569620,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=4160000000
2026-04-24T17:25:36.601174,PLATEAU_CONFIRMED,Wideband signal detected,freq=4177594627.5946274,bw=6.8701171875,hits=3
2026-04-24T17:25:36.621181,VIDEO_REJECTED,autocorr rejected video,freq=4177594627.5946274,score=0.0
2026-04-24T17:25:36.647597,PLATEAU_CONFIRMED,Wideband signal detected,freq=4195291819.2918196,bw=8.4765625,hits=8
2026-04-24T17:25:36.668808,VIDEO_REJECTED,autocorr rejected video,freq=4195291819.2918196,score=0.0
2026-04-24T17:25:36.694775,PLATEAU_CONFIRMED,Wideband signal detected,freq=4213633699.6336994,bw=5.693359375,hits=7
2026-04-24T17:25:36.712345,VIDEO_REJECTED,autocorr rejected video,freq=4213633699.6336994,score=0.0
2026-04-24T17:25:37.782712,PLATEAU_CONFIRMED,Wideband signal detected,freq=5065194139.1941395,bw=5.458984375,hits=9
2026-04-24T17:25:37.806844,VIDEO_REJECTED,autocorr rejected video,freq=5065194139.1941395,score=0.0
2026-04-24T17:25:37.821583,PLATEAU_CONFIRMED,Wideband signal detected,freq=5084437118.437119,bw=5.146484375,hits=5
2026-04-24T17:25:37.844358,VIDEO_REJECTED,autocorr rejected video,freq=5084437118.437119,score=0.0
2026-04-24T17:25:38.883908,PLATEAU_CONFIRMED,Wideband signal detected,freq=5839221001.221001,bw=5.8056640625,hits=8
2026-04-24T17:25:38.911963,VIDEO_CONFIRMED,autocorr confirmed video,freq=5839221001.221001,score=0.9
2026-04-24T17:25:38.930235,PLATEAU_CONFIRMED,Wideband signal detected,freq=5859211233.211233,bw=3.0615234375,hits=9
