2026-04-24T17:23:45.771486,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:23:45.804936,PLATEAU_CONFIRMED,Wideband signal detected,freq=103597069.59706959,bw=5.6640625,hits=3
2026-04-24T17:23:45.827610,VIDEO_REJECTED,cyclo rejected video,freq=103597069.59706959,score=0
2026-04-24T17:23:45.837290,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=120000000
2026-04-24T17:23:45.840110,ZERO_BUFFER,All samples are zero
2026-04-24T17:23:45.866464,ZERO_BUFFER,All samples are zero
2026-04-24T17:23:45.871561,PLATEAU_CONFIRMED,Wideband signal detected,freq=145118437.1184371,bw=7.275390625,hits=6
2026-04-24T17:23:45.902257,VIDEO_REJECTED,cyclo rejected video,freq=145118437.1184371,score=0
2026-04-24T17:23:45.906204,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=160000000
2026-04-24T17:23:45.934046,PLATEAU_CONFIRMED,Wideband signal detected,freq=177584859.58485958,bw=5.1611328125,hits=3
2026-04-24T17:23:46.152507,PLATEAU_CONFIRMED,Wideband signal detected,freq=205829059.82905984,bw=6.7431640625,hits=7
2026-04-24T17:23:46.153601,VIDEO_REJECTED,cyclo rejected video,freq=177584859.58485958,score=0
2026-04-24T17:23:46.163670,VIDEO_REJECTED,cyclo rejected video,freq=205829059.82905984,score=1
2026-04-24T17:23:46.210167,PLATEAU_CONFIRMED,Wideband signal detected,freq=225496947.4969475,bw=6.1669921875,hits=7
2026-04-24T17:23:46.241213,VIDEO_REJECTED,cyclo rejected video,freq=225496947.4969475,score=0
2026-04-24T17:23:46.317965,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=300000000
2026-04-24T17:23:46.346601,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=320000000
2026-04-24T17:23:46.375394,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=340000000
2026-04-24T17:23:46.454582,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=400000000
2026-04-24T17:23:47.141418,PLATEAU_CONFIRMED,Wideband signal detected,freq=482004884.004884,bw=7.83203125,hits=8
2026-04-24T17:23:47.547769,VIDEO_REJECTED,cyclo rejected video,freq=482004884.004884,score=0
2026-04-24T17:23:47.627432,PLATEAU_CONFIRMED,Wideband signal detected,freq=502009768.009768,bw=7.8369140625,hits=10
2026-04-24T17:23:47.634322,VIDEO_REJECTED,cyclo rejected video,freq=502009768.009768,score=0
2026-04-24T17:23:47.858105,PLATEAU_CONFIRMED,Wideband signal detected,freq=528056166.05616605,bw=3.92578125,hits=8
2026-04-24T17:23:48.116386,VIDEO_REJECTED,cyclo rejected video,freq=528056166.05616605,score=0
2026-04-24T17:23:48.204342,PLATEAU_CONFIRMED,Wideband signal detected,freq=548056166.056166,bw=3.9013671875,hits=10
2026-04-24T17:23:48.219589,VIDEO_REJECTED,cyclo rejected video,freq=548056166.056166,score=0
2026-04-24T17:23:48.452168,PLATEAU_CONFIRMED,Wideband signal detected,freq=568041514.041514,bw=3.9208984375,hits=10
2026-04-24T17:23:48.611768,PLATEAU_CONFIRMED,Wideband signal detected,freq=587985347.985348,bw=4.0625,hits=10
2026-04-24T17:23:48.617737,VIDEO_REJECTED,cyclo rejected video,freq=568041514.041514,score=0
2026-04-24T17:23:48.660384,VIDEO_REJECTED,cyclo rejected video,freq=587985347.985348,score=0
2026-04-24T17:23:48.669070,PLATEAU_CONFIRMED,Wideband signal detected,freq=602673992.6739926,bw=5.8154296875,hits=7
2026-04-24T17:23:48.940385,VIDEO_REJECTED,cyclo rejected video,freq=602673992.6739926,score=0
2026-04-24T17:23:48.959340,PLATEAU_CONFIRMED,Wideband signal detected,freq=625274725.2747253,bw=6.669921875,hits=10
2026-04-24T17:23:49.024442,PLATEAU_CONFIRMED,Wideband signal detected,freq=645777777.7777778,bw=8.9697265625,hits=10
2026-04-24T17:23:49.024894,VIDEO_REJECTED,cyclo rejected video,freq=625274725.2747253,score=0
2026-04-24T17:23:49.055448,VIDEO_REJECTED,cyclo rejected video,freq=645777777.7777778,score=0
2026-04-24T17:23:49.061330,PLATEAU_CONFIRMED,Wideband signal detected,freq=664695970.6959707,bw=7.9296875,hits=5
2026-04-24T17:23:49.097553,PLATEAU_CONFIRMED,Wideband signal detected,freq=685159951.1599512,bw=4.267578125,hits=4
2026-04-24T17:23:49.097782,VIDEO_REJECTED,cyclo rejected video,freq=664695970.6959707,score=0
2026-04-24T17:23:49.127515,VIDEO_REJECTED,cyclo rejected video,freq=685159951.1599512,score=0
2026-04-24T17:23:49.157957,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=720000000
2026-04-24T17:23:49.185907,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=740000000
