2026-04-24T17:40:39.215032,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:40:39.266346,PLATEAU_CONFIRMED,Wideband signal detected,freq=100715506.7155067,bw=8.9599609375,hits=6
2026-04-24T17:40:39.286519,VIDEO_REJECTED,autocorr rejected video,freq=100715506.7155067,score=0.0
2026-04-24T17:40:39.302352,ZERO_BUFFER,All samples are zero
2026-04-24T17:40:39.334633,ZERO_BUFFER,All samples are zero
2026-04-24T17:40:39.339447,PLATEAU_CONFIRMED,Wideband signal detected,freq=145938949.93894994,bw=7.5048828125,hits=6
2026-04-24T17:40:39.365142,VIDEO_REJECTED,autocorr rejected video,freq=145938949.93894994,score=0.0
2026-04-24T17:40:39.375285,PLATEAU_CONFIRMED,Wideband signal detected,freq=161032967.03296703,bw=4.94140625,hits=3
2026-04-24T17:40:39.401492,VIDEO_REJECTED,autocorr rejected video,freq=161032967.03296703,score=0.0
2026-04-24T17:40:39.414244,PLATEAU_CONFIRMED,Wideband signal detected,freq=174185592.18559217,bw=5.33203125,hits=3
2026-04-24T17:40:39.455405,VIDEO_REJECTED,autocorr rejected video,freq=174185592.18559217,score=0.0
2026-04-24T17:40:39.512643,PLATEAU_CONFIRMED,Wideband signal detected,freq=205218559.2185592,bw=6.1328125,hits=6
2026-04-24T17:40:39.540009,VIDEO_REJECTED,autocorr rejected video,freq=205218559.2185592,score=0.0
2026-04-24T17:40:39.551549,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=220000000
2026-04-24T17:40:39.654402,PLATEAU_CONFIRMED,Wideband signal detected,freq=245614163.6141636,bw=7.0654296875,hits=7
2026-04-24T17:40:39.685316,VIDEO_REJECTED,autocorr rejected video,freq=245614163.6141636,score=0.0
2026-04-24T17:40:39.697355,PLATEAU_CONFIRMED,Wideband signal detected,freq=265106227.1062271,bw=7.1435546875,hits=9
2026-04-24T17:40:39.721330,VIDEO_REJECTED,autocorr rejected video,freq=265106227.1062271,score=0.0
2026-04-24T17:40:39.789159,PLATEAU_CONFIRMED,Wideband signal detected,freq=314229548.2295482,bw=4.21875,hits=3
2026-04-24T17:40:39.814822,VIDEO_REJECTED,autocorr rejected video,freq=314229548.2295482,score=0.0
2026-04-24T17:40:40.501338,PLATEAU_CONFIRMED,Wideband signal detected,freq=481997557.997558,bw=7.8173828125,hits=8
2026-04-24T17:40:40.567899,VIDEO_REJECTED,autocorr rejected video,freq=481997557.997558,score=0.0
2026-04-24T17:40:40.579950,PLATEAU_CONFIRMED,Wideband signal detected,freq=501995115.995116,bw=7.83203125,hits=10
2026-04-24T17:40:40.672884,VIDEO_REJECTED,autocorr rejected video,freq=501995115.995116,score=0.0
2026-04-24T17:40:40.878448,PLATEAU_CONFIRMED,Wideband signal detected,freq=528041514.04151404,bw=3.92578125,hits=8
2026-04-24T17:40:41.049883,VIDEO_REJECTED,autocorr rejected video,freq=528041514.04151404,score=0.0
2026-04-24T17:40:41.348829,PLATEAU_CONFIRMED,Wideband signal detected,freq=531951159.95115995,bw=3.9208984375,hits=10
2026-04-24T17:40:41.526360,VIDEO_REJECTED,autocorr rejected video,freq=531951159.95115995,score=0.0
2026-04-24T17:40:41.745843,PLATEAU_CONFIRMED,Wideband signal detected,freq=568039072.039072,bw=3.9404296875,hits=10
2026-04-24T17:40:41.768781,VIDEO_REJECTED,autocorr rejected video,freq=568039072.039072,score=0.0
2026-04-24T17:40:42.060840,PLATEAU_CONFIRMED,Wideband signal detected,freq=588056166.056166,bw=3.8916015625,hits=10
2026-04-24T17:40:42.075512,VIDEO_REJECTED,autocorr rejected video,freq=588056166.056166,score=0.0
2026-04-24T17:40:42.124841,PLATEAU_CONFIRMED,Wideband signal detected,freq=602366300.3663003,bw=5.80078125,hits=7
2026-04-24T17:40:42.193367,VIDEO_REJECTED,autocorr rejected video,freq=602366300.3663003,score=0.0
2026-04-24T17:40:42.419660,PLATEAU_CONFIRMED,Wideband signal detected,freq=625980463.980464,bw=7.79296875,hits=8
2026-04-24T17:40:42.488720,VIDEO_REJECTED,autocorr rejected video,freq=625980463.980464,score=0.0
2026-04-24T17:40:42.537396,PLATEAU_CONFIRMED,Wideband signal detected,freq=645973137.973138,bw=8.4423828125,hits=10
2026-04-24T17:40:42.560084,VIDEO_REJECTED,autocorr rejected video,freq=645973137.973138,score=0.0
2026-04-24T17:40:42.575067,PLATEAU_CONFIRMED,Wideband signal detected,freq=663548229.5482296,bw=6.03515625,hits=5
2026-04-24T17:40:42.596439,VIDEO_REJECTED,autocorr rejected video,freq=663548229.5482296,score=0.0
2026-04-24T17:40:42.610875,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=680000000
2026-04-24T17:40:42.640657,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=700000000
2026-04-24T17:40:42.670228,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=720000000
2026-04-24T17:40:42.724898,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=760000000
2026-04-24T17:40:42.831853,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=840000000
2026-04-24T17:40:42.966951,PLATEAU_CONFIRMED,Wideband signal detected,freq=914185592.1855922,bw=5.7763671875,hits=7
2026-04-24T17:40:43.001945,VIDEO_REJECTED,autocorr rejected video,freq=914185592.1855922,score=0.0
2026-04-24T17:40:43.221976,PLATEAU_CONFIRMED,Wideband signal detected,freq=937619047.6190476,bw=9.6240234375,hits=9
2026-04-24T17:40:43.370757,VIDEO_REJECTED,autocorr rejected video,freq=937619047.6190476,score=0.0
2026-04-24T17:40:43.465736,PLATEAU_CONFIRMED,Wideband signal detected,freq=955318681.3186814,bw=9.0673828125,hits=9
2026-04-24T17:40:43.504928,VIDEO_REJECTED,autocorr rejected video,freq=955318681.3186814,score=0.0
2026-04-24T17:40:43.520573,PLATEAU_CONFIRMED,Wideband signal detected,freq=973936507.9365079,bw=6.0595703125,hits=10
2026-04-24T17:40:43.537971,VIDEO_REJECTED,autocorr rejected video,freq=973936507.9365079,score=0.0
2026-04-24T17:40:43.788977,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1180000000
2026-04-24T17:40:44.030425,PLATEAU_CONFIRMED,Wideband signal detected,freq=1239684981.6849816,bw=7.24609375,hits=8
2026-04-24T17:40:44.091959,VIDEO_CONFIRMED,autocorr confirmed video,freq=1239684981.6849816,score=0.9
2026-04-24T17:40:44.110906,PLATEAU_CONFIRMED,Wideband signal detected,freq=1258708180.7081807,bw=5.341796875,hits=9
2026-04-24T17:40:44.128912,VIDEO_REJECTED,autocorr rejected video,freq=1258708180.7081807,score=0.1
2026-04-24T17:40:44.207128,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=1320000000
2026-04-24T17:40:44.824789,PLATEAU_CONFIRMED,Wideband signal detected,freq=1767250305.2503052,bw=5.029296875,hits=5
2026-04-24T17:40:44.849961,VIDEO_REJECTED,autocorr rejected video,freq=1767250305.2503052,score=0.0
2026-04-24T17:40:44.882153,PLATEAU_CONFIRMED,Wideband signal detected,freq=1785457875.4578755,bw=6.7724609375,hits=5
2026-04-24T17:40:44.994832,VIDEO_REJECTED,autocorr rejected video,freq=1785457875.4578755,score=0.0
2026-04-24T17:40:45.189088,PLATEAU_CONFIRMED,Wideband signal detected,freq=1806910866.9108667,bw=8.1787109375,hits=10
2026-04-24T17:40:45.339940,VIDEO_REJECTED,autocorr rejected video,freq=1806910866.9108667,score=0.0
2026-04-24T17:40:45.539418,PLATEAU_CONFIRMED,Wideband signal detected,freq=1827750915.7509155,bw=4.74609375,hits=10
2026-04-24T17:40:45.552801,VIDEO_REJECTED,autocorr rejected video,freq=1827750915.7509155,score=0.0
2026-04-24T17:40:45.609930,PLATEAU_CONFIRMED,Wideband signal detected,freq=1847159951.1599512,bw=7.34375,hits=8
2026-04-24T17:40:45.644429,VIDEO_REJECTED,autocorr rejected video,freq=1847159951.1599512,score=0.0
2026-04-24T17:40:45.649372,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1860000000
2026-04-24T17:40:45.748645,PLATEAU_CONFIRMED,Wideband signal detected,freq=1875352869.3528693,bw=9.8046875,hits=10
2026-04-24T17:40:45.785633,VIDEO_REJECTED,autocorr rejected video,freq=1875352869.3528693,score=0.0
2026-04-24T17:40:45.808589,PLATEAU_CONFIRMED,Wideband signal detected,freq=1896080586.0805862,bw=8.5107421875,hits=10
2026-04-24T17:40:45.829958,VIDEO_REJECTED,autocorr rejected video,freq=1896080586.0805862,score=0.0
2026-04-24T17:40:45.842444,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=1920000000
2026-04-24T17:40:45.869872,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=1940000000
2026-04-24T17:40:45.908721,PLATEAU_CONFIRMED,Wideband signal detected,freq=1963382173.3821733,bw=9.9169921875,hits=8
2026-04-24T17:40:45.929406,VIDEO_REJECTED,autocorr rejected video,freq=1963382173.3821733,score=0.0
2026-04-24T17:40:45.939692,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1980000000
2026-04-24T17:40:46.004684,PLATEAU_CONFIRMED,Wideband signal detected,freq=2023372405.3724053,bw=3.8427734375,hits=5
2026-04-24T17:40:46.027409,VIDEO_REJECTED,autocorr rejected video,freq=2023372405.3724053,score=0.0
2026-04-24T17:40:46.051775,PLATEAU_CONFIRMED,Wideband signal detected,freq=2038312576.3125763,bw=8.8525390625,hits=3
2026-04-24T17:40:46.093651,VIDEO_REJECTED,autocorr rejected video,freq=2038312576.3125763,score=0.0
2026-04-24T17:40:46.181010,PLATEAU_CONFIRMED,Wideband signal detected,freq=2055626373.6263735,bw=9.0966796875,hits=9
2026-04-24T17:40:46.297667,VIDEO_REJECTED,autocorr rejected video,freq=2055626373.6263735,score=0.0
2026-04-24T17:40:46.530225,PLATEAU_CONFIRMED,Wideband signal detected,freq=2074246642.246642,bw=8.6474609375,hits=10
2026-04-24T17:40:46.545458,VIDEO_REJECTED,autocorr rejected video,freq=2074246642.246642,score=0.0
2026-04-24T17:40:46.721983,PLATEAU_CONFIRMED,Wideband signal detected,freq=2093550671.5506716,bw=6.7138671875,hits=10
2026-04-24T17:40:46.764164,VIDEO_REJECTED,autocorr rejected video,freq=2093550671.5506716,score=0.0
2026-04-24T17:40:46.778217,PLATEAU_CONFIRMED,Wideband signal detected,freq=2112481074.4810746,bw=7.1337890625,hits=8
2026-04-24T17:40:46.838279,VIDEO_REJECTED,autocorr rejected video,freq=2112481074.4810746,score=0.0
2026-04-24T17:40:47.050286,PLATEAU_CONFIRMED,Wideband signal detected,freq=2144822954.822955,bw=8.9990234375,hits=8
2026-04-24T17:40:47.076894,VIDEO_REJECTED,autocorr rejected video,freq=2144822954.822955,score=0.0
2026-04-24T17:40:47.201388,PLATEAU_CONFIRMED,Wideband signal detected,freq=2164610500.6105003,bw=9.0185546875,hits=10
2026-04-24T17:40:47.261818,VIDEO_REJECTED,autocorr rejected video,freq=2164610500.6105003,score=0.0
2026-04-24T17:40:47.570617,PLATEAU_CONFIRMED,Wideband signal detected,freq=2185890109.89011,bw=8.9208984375,hits=8
2026-04-24T17:40:47.717316,VIDEO_REJECTED,autocorr rejected video,freq=2185890109.89011,score=0.0
2026-04-24T17:40:47.803292,PLATEAU_CONFIRMED,Wideband signal detected,freq=2206786324.786325,bw=5.8349609375,hits=10
2026-04-24T17:40:47.820283,VIDEO_REJECTED,autocorr rejected video,freq=2206786324.786325,score=0.0
