2026-04-24T17:20:14.431895,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:20:18.357292,VIDEO_REJECTED,cyclo rejected video,freq=684859584.8595848,score=0
2026-04-24T17:20:18.361097,PLATEAU_CONFIRMED,Wideband signal detected,freq=700124542.1245421,bw=5.244140625,hits=3
2026-04-24T17:20:18.393469,VIDEO_REJECTED,cyclo rejected video,freq=700124542.1245421,score=0
2026-04-24T17:20:18.393652,PLATEAU_CONFIRMED,Wideband signal detected,freq=724139194.1391941,bw=7.63671875,hits=5
2026-04-24T17:20:18.419281,VIDEO_REJECTED,cyclo rejected video,freq=724139194.1391941,score=0
2026-04-24T17:20:18.480632,PLATEAU_CONFIRMED,Wideband signal detected,freq=776566544.5665445,bw=8.359375,hits=4
2026-04-24T17:20:18.506570,VIDEO_REJECTED,cyclo rejected video,freq=776566544.5665445,score=0
2026-04-24T17:20:18.512220,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=800000000
2026-04-24T17:20:18.646136,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=900000000
2026-04-24T17:20:18.946983,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=940000000
2026-04-24T17:20:19.117290,PLATEAU_CONFIRMED,Wideband signal detected,freq=954942612.9426129,bw=9.365234375,hits=6
2026-04-24T17:20:19.159853,VIDEO_REJECTED,cyclo rejected video,freq=954942612.9426129,score=0
2026-04-24T17:20:19.171608,PLATEAU_CONFIRMED,Wideband signal detected,freq=973750915.7509158,bw=6.5576171875,hits=10
2026-04-24T17:20:19.193903,VIDEO_REJECTED,cyclo rejected video,freq=973750915.7509158,score=0
2026-04-24T17:20:19.469255,PLATEAU_CONFIRMED,Wideband signal detected,freq=1196295482.2954824,bw=4.9462890625,hits=3
2026-04-24T17:20:19.494040,VIDEO_REJECTED,cyclo rejected video,freq=1196295482.2954824,score=0
2026-04-24T17:20:19.500450,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=1220000000
2026-04-24T17:20:19.597752,PLATEAU_CONFIRMED,Wideband signal detected,freq=1239208791.2087913,bw=7.7294921875,hits=6
2026-04-24T17:20:19.629300,VIDEO_CONFIRMED,cyclo confirmed video,freq=1239208791.2087913,score=7
2026-04-24T17:20:19.633009,PLATEAU_CONFIRMED,Wideband signal detected,freq=1258468864.4688644,bw=5.2490234375,hits=4
2026-04-24T17:20:19.659090,VIDEO_REJECTED,cyclo rejected video,freq=1258468864.4688644,score=1
2026-04-24T17:20:19.862622,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1400000000
2026-04-24T17:20:19.903621,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1420000000
2026-04-24T17:20:20.508847,PLATEAU_CONFIRMED,Wideband signal detected,freq=1766695970.6959705,bw=3.9404296875,hits=4
2026-04-24T17:20:20.544351,VIDEO_REJECTED,cyclo rejected video,freq=1766695970.6959705,score=0
2026-04-24T17:20:20.549028,PLATEAU_CONFIRMED,Wideband signal detected,freq=1786688644.6886446,bw=5.7177734375,hits=10
2026-04-24T17:20:20.796479,VIDEO_REJECTED,cyclo rejected video,freq=1786688644.6886446,score=0
2026-04-24T17:20:20.801189,PLATEAU_CONFIRMED,Wideband signal detected,freq=1807738705.7387056,bw=7.197265625,hits=9
2026-04-24T17:20:21.031103,VIDEO_REJECTED,cyclo rejected video,freq=1807738705.7387056,score=0
2026-04-24T17:20:21.077156,PLATEAU_CONFIRMED,Wideband signal detected,freq=1827675213.6752136,bw=6.279296875,hits=10
2026-04-24T17:20:21.087092,VIDEO_REJECTED,cyclo rejected video,freq=1827675213.6752136,score=0
2026-04-24T17:20:21.140368,PLATEAU_CONFIRMED,Wideband signal detected,freq=1834986568.986569,bw=4.814453125,hits=10
2026-04-24T17:20:21.176547,VIDEO_REJECTED,cyclo rejected video,freq=1834986568.986569,score=0
2026-04-24T17:20:21.181045,PLATEAU_CONFIRMED,Wideband signal detected,freq=1855909645.909646,bw=8.7255859375,hits=6
2026-04-24T17:20:21.236441,VIDEO_REJECTED,cyclo rejected video,freq=1855909645.909646,score=0
2026-04-24T17:20:21.253710,PLATEAU_CONFIRMED,Wideband signal detected,freq=1875514041.5140414,bw=9.74609375,hits=10
2026-04-24T17:20:21.301616,VIDEO_REJECTED,cyclo rejected video,freq=1875514041.5140414,score=0
2026-04-24T17:20:21.306990,PLATEAU_CONFIRMED,Wideband signal detected,freq=1895741147.7411475,bw=9.658203125,hits=10
2026-04-24T17:20:21.337924,VIDEO_REJECTED,cyclo rejected video,freq=1895741147.7411475,score=0
2026-04-24T17:20:21.342812,PLATEAU_CONFIRMED,Wideband signal detected,freq=1926796092.7960927,bw=4.4677734375,hits=3
2026-04-24T17:20:21.371074,VIDEO_REJECTED,cyclo rejected video,freq=1926796092.7960927,score=0
2026-04-24T17:20:21.375134,PLATEAU_CONFIRMED,Wideband signal detected,freq=1934156288.1562881,bw=4.5556640625,hits=3
2026-04-24T17:20:21.402936,VIDEO_REJECTED,cyclo rejected video,freq=1934156288.1562881,score=0
2026-04-24T17:20:21.410547,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1960000000
2026-04-24T17:20:21.440822,PLATEAU_CONFIRMED,Wideband signal detected,freq=1985926739.92674,bw=4.111328125,hits=5
2026-04-24T17:20:21.466106,VIDEO_REJECTED,cyclo rejected video,freq=1985926739.92674,score=0
2026-04-24T17:20:21.476354,PLATEAU_CONFIRMED,Wideband signal detected,freq=1998578754.5787544,bw=3.65234375,hits=6
2026-04-24T17:20:21.502244,VIDEO_REJECTED,cyclo rejected video,freq=1998578754.5787544,score=0
2026-04-24T17:20:21.509357,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=2020000000
2026-04-24T17:20:21.544411,PLATEAU_CONFIRMED,Wideband signal detected,freq=2034634920.6349206,bw=9.2236328125,hits=5
2026-04-24T17:20:21.581474,PLATEAU_CONFIRMED,Wideband signal detected,freq=2055831501.8315017,bw=7.822265625,hits=3
2026-04-24T17:20:21.582007,VIDEO_REJECTED,cyclo rejected video,freq=2034634920.6349206,score=0
2026-04-24T17:20:21.612453,VIDEO_REJECTED,cyclo rejected video,freq=2055831501.8315017,score=0
