2026-04-24T17:21:49.319651,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:21:49.370786,PLATEAU_CONFIRMED,Wideband signal detected,freq=102561660.56166056,bw=5.400390625,hits=8
2026-04-24T17:21:49.404907,VIDEO_REJECTED,cyclo rejected video,freq=102561660.56166056,score=0
2026-04-24T17:21:49.418854,PLATEAU_CONFIRMED,Wideband signal detected,freq=123172161.17216118,bw=3.18359375,hits=5
2026-04-24T17:21:49.456018,VIDEO_REJECTED,cyclo rejected video,freq=123172161.17216118,score=0
2026-04-24T17:21:49.466341,PLATEAU_CONFIRMED,Wideband signal detected,freq=145728937.72893775,bw=6.5625,hits=6
2026-04-24T17:21:49.500581,VIDEO_REJECTED,cyclo rejected video,freq=145728937.72893775,score=0
2026-04-24T17:21:49.509605,PLATEAU_CONFIRMED,Wideband signal detected,freq=160866910.86691087,bw=7.36328125,hits=5
2026-04-24T17:21:49.545192,VIDEO_REJECTED,cyclo rejected video,freq=160866910.86691087,score=0
2026-04-24T17:21:49.551683,PLATEAU_CONFIRMED,Wideband signal detected,freq=173189255.18925518,bw=4.5166015625,hits=3
2026-04-24T17:21:49.670685,VIDEO_REJECTED,cyclo rejected video,freq=173189255.18925518,score=0
2026-04-24T17:21:49.695924,PLATEAU_CONFIRMED,Wideband signal detected,freq=205384615.3846154,bw=6.50390625,hits=8
2026-04-24T17:21:49.733774,VIDEO_REJECTED,cyclo rejected video,freq=205384615.3846154,score=0
2026-04-24T17:21:49.737358,PLATEAU_CONFIRMED,Wideband signal detected,freq=225545787.54578754,bw=5.48828125,hits=5
2026-04-24T17:21:49.813908,PLATEAU_CONFIRMED,Wideband signal detected,freq=244666666.66666666,bw=8.408203125,hits=9
2026-04-24T17:21:49.814346,VIDEO_REJECTED,cyclo rejected video,freq=225545787.54578754,score=0
2026-04-24T17:21:49.850839,VIDEO_REJECTED,cyclo rejected video,freq=244666666.66666666,score=1
2026-04-24T17:21:49.863706,PLATEAU_CONFIRMED,Wideband signal detected,freq=265785103.7851038,bw=7.529296875,hits=9
2026-04-24T17:21:49.893826,VIDEO_REJECTED,cyclo rejected video,freq=265785103.7851038,score=0
2026-04-24T17:21:49.955831,PLATEAU_CONFIRMED,Wideband signal detected,freq=314210012.2100122,bw=5.029296875,hits=5
2026-04-24T17:21:49.987948,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=340000000
2026-04-24T17:21:49.988334,VIDEO_REJECTED,cyclo rejected video,freq=314210012.2100122,score=0
2026-04-24T17:21:50.629299,PLATEAU_CONFIRMED,Wideband signal detected,freq=481995115.995116,bw=7.8173828125,hits=8
2026-04-24T17:21:50.715117,VIDEO_REJECTED,cyclo rejected video,freq=481995115.995116,score=0
2026-04-24T17:21:50.745933,PLATEAU_CONFIRMED,Wideband signal detected,freq=502058608.05860806,bw=7.822265625,hits=10
2026-04-24T17:21:50.967987,VIDEO_REJECTED,cyclo rejected video,freq=502058608.05860806,score=0
2026-04-24T17:21:51.025893,PLATEAU_CONFIRMED,Wideband signal detected,freq=528046398.04639804,bw=3.92578125,hits=8
2026-04-24T17:21:51.311823,VIDEO_REJECTED,cyclo rejected video,freq=528046398.04639804,score=0
2026-04-24T17:21:51.451082,PLATEAU_CONFIRMED,Wideband signal detected,freq=531948717.94871795,bw=3.90625,hits=10
2026-04-24T17:21:51.765152,VIDEO_REJECTED,cyclo rejected video,freq=531948717.94871795,score=0
2026-04-24T17:21:51.882538,PLATEAU_CONFIRMED,Wideband signal detected,freq=551953601.953602,bw=3.916015625,hits=10
2026-04-24T17:21:52.081022,VIDEO_REJECTED,cyclo rejected video,freq=551953601.953602,score=0
2026-04-24T17:21:52.182357,PLATEAU_CONFIRMED,Wideband signal detected,freq=588046398.046398,bw=3.90625,hits=10
2026-04-24T17:21:52.194052,VIDEO_REJECTED,cyclo rejected video,freq=588046398.046398,score=0
2026-04-24T17:21:52.248706,PLATEAU_CONFIRMED,Wideband signal detected,freq=602722832.7228327,bw=7.5830078125,hits=6
2026-04-24T17:21:52.383718,VIDEO_REJECTED,cyclo rejected video,freq=602722832.7228327,score=0
2026-04-24T17:21:52.572185,PLATEAU_CONFIRMED,Wideband signal detected,freq=625985347.985348,bw=7.75390625,hits=9
2026-04-24T17:21:52.692963,VIDEO_REJECTED,cyclo rejected video,freq=625985347.985348,score=0
2026-04-24T17:21:52.700881,PLATEAU_CONFIRMED,Wideband signal detected,freq=646532356.5323565,bw=7.1923828125,hits=10
2026-04-24T17:21:52.730085,VIDEO_REJECTED,cyclo rejected video,freq=646532356.5323565,score=0
2026-04-24T17:21:52.740883,PLATEAU_CONFIRMED,Wideband signal detected,freq=665128205.1282051,bw=8.388671875,hits=6
2026-04-24T17:21:52.784906,PLATEAU_CONFIRMED,Wideband signal detected,freq=683719169.7191697,bw=9.9560546875,hits=5
2026-04-24T17:21:52.784810,VIDEO_REJECTED,cyclo rejected video,freq=665128205.1282051,score=0
2026-04-24T17:21:52.808832,VIDEO_REJECTED,cyclo rejected video,freq=683719169.7191697,score=0
2026-04-24T17:21:52.818423,PLATEAU_CONFIRMED,Wideband signal detected,freq=702693528.6935287,bw=4.6826171875,hits=3
2026-04-24T17:21:52.841777,VIDEO_REJECTED,cyclo rejected video,freq=702693528.6935287,score=0
2026-04-24T17:21:52.853277,PLATEAU_CONFIRMED,Wideband signal detected,freq=714224664.2246642,bw=5.3759765625,hits=3
2026-04-24T17:21:52.878161,VIDEO_REJECTED,cyclo rejected video,freq=714224664.2246642,score=0
2026-04-24T17:21:52.939147,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=780000000
2026-04-24T17:21:53.154081,PLATEAU_CONFIRMED,Wideband signal detected,freq=915523809.5238096,bw=6.2548828125,hits=7
2026-04-24T17:21:53.380356,VIDEO_REJECTED,cyclo rejected video,freq=915523809.5238096,score=3
2026-04-24T17:21:53.420450,PLATEAU_CONFIRMED,Wideband signal detected,freq=936405372.4053724,bw=9.0869140625,hits=6
2026-04-24T17:21:53.569195,PLATEAU_CONFIRMED,Wideband signal detected,freq=955194139.1941392,bw=9.70703125,hits=8
2026-04-24T17:21:53.569164,VIDEO_REJECTED,cyclo rejected video,freq=936405372.4053724,score=1
2026-04-24T17:21:53.607311,VIDEO_REJECTED,cyclo rejected video,freq=955194139.1941392,score=0
2026-04-24T17:21:53.611427,PLATEAU_CONFIRMED,Wideband signal detected,freq=973731379.7313797,bw=6.611328125,hits=10
