2026-04-24T17:26:00.400676,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:26:00.437595,PLATEAU_CONFIRMED,Wideband signal detected,freq=94459096.45909646,bw=5.2880859375,hits=3
2026-04-24T17:26:00.457198,VIDEO_REJECTED,autocorr rejected video,freq=94459096.45909646,score=0.0
2026-04-24T17:26:00.480053,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=120000000
2026-04-24T17:26:00.517369,PLATEAU_CONFIRMED,Wideband signal detected,freq=144769230.76923078,bw=5.0830078125,hits=7
2026-04-24T17:26:00.541258,VIDEO_REJECTED,autocorr rejected video,freq=144769230.76923078,score=0.0
2026-04-24T17:26:00.554153,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=160000000
2026-04-24T17:26:00.609717,PLATEAU_CONFIRMED,Wideband signal detected,freq=196605616.6056166,bw=2.802734375,hits=4
2026-04-24T17:26:00.632058,VIDEO_REJECTED,autocorr rejected video,freq=196605616.6056166,score=0.0
2026-04-24T17:26:00.655232,PLATEAU_CONFIRMED,Wideband signal detected,freq=226854700.85470086,bw=5.703125,hits=4
2026-04-24T17:26:00.692839,VIDEO_REJECTED,autocorr rejected video,freq=226854700.85470086,score=0.0
2026-04-24T17:26:00.731225,PLATEAU_CONFIRMED,Wideband signal detected,freq=246703296.7032967,bw=6.8212890625,hits=7
2026-04-24T17:26:00.754897,VIDEO_REJECTED,autocorr rejected video,freq=246703296.7032967,score=0.0
2026-04-24T17:26:00.765393,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=260000000
2026-04-24T17:26:00.826261,PLATEAU_CONFIRMED,Wideband signal detected,freq=294036630.03663003,bw=5.1025390625,hits=4
2026-04-24T17:26:00.849445,VIDEO_REJECTED,autocorr rejected video,freq=294036630.03663003,score=0.0
2026-04-24T17:26:00.872019,PLATEAU_CONFIRMED,Wideband signal detected,freq=313746031.74603176,bw=6.5478515625,hits=7
2026-04-24T17:26:00.892953,VIDEO_REJECTED,autocorr rejected video,freq=313746031.74603176,score=0.0
2026-04-24T17:26:00.994219,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=400000000
2026-04-24T17:26:01.261875,PLATEAU_CONFIRMED,Wideband signal detected,freq=585272283.2722833,bw=3.2763671875,hits=3
2026-04-24T17:26:01.284847,VIDEO_REJECTED,autocorr rejected video,freq=585272283.2722833,score=0.0
2026-04-24T17:26:01.297676,PLATEAU_CONFIRMED,Wideband signal detected,freq=603474969.4749695,bw=7.83203125,hits=3
2026-04-24T17:26:01.319998,VIDEO_REJECTED,autocorr rejected video,freq=603474969.4749695,score=0.0
2026-04-24T17:26:01.334900,PLATEAU_CONFIRMED,Wideband signal detected,freq=620043956.043956,bw=5.4638671875,hits=6
2026-04-24T17:26:01.353583,VIDEO_REJECTED,autocorr rejected video,freq=620043956.043956,score=0.0
2026-04-24T17:26:01.398199,PLATEAU_CONFIRMED,Wideband signal detected,freq=665619047.6190476,bw=6.8994140625,hits=3
2026-04-24T17:26:01.419410,VIDEO_REJECTED,autocorr rejected video,freq=665619047.6190476,score=0.0
2026-04-24T17:26:01.571005,PLATEAU_CONFIRMED,Wideband signal detected,freq=763289377.2893773,bw=3.759765625,hits=8
2026-04-24T17:26:01.599724,VIDEO_CONFIRMED,autocorr confirmed video,freq=763289377.2893773,score=0.9
2026-04-24T17:26:01.609955,PLATEAU_CONFIRMED,Wideband signal detected,freq=783333333.3333334,bw=2.958984375,hits=7
2026-04-24T17:26:01.630005,VIDEO_REJECTED,autocorr rejected video,freq=783333333.3333334,score=0.1
2026-04-24T17:26:01.807190,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=920000000
2026-04-24T17:26:01.984371,PLATEAU_CONFIRMED,Wideband signal detected,freq=939655677.6556777,bw=8.9208984375,hits=5
2026-04-24T17:26:02.023931,VIDEO_REJECTED,autocorr rejected video,freq=939655677.6556777,score=0.0
2026-04-24T17:26:02.040010,PLATEAU_CONFIRMED,Wideband signal detected,freq=958185592.1855922,bw=5.8935546875,hits=9
2026-04-24T17:26:02.061667,VIDEO_REJECTED,autocorr rejected video,freq=958185592.1855922,score=0.0
2026-04-24T17:26:02.073093,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=980000000
2026-04-24T17:26:02.128090,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1020000000
2026-04-24T17:26:02.346621,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1180000000
2026-04-24T17:26:02.483020,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=1280000000
2026-04-24T17:26:02.566564,PLATEAU_CONFIRMED,Wideband signal detected,freq=1337567765.5677657,bw=5.6396484375,hits=4
2026-04-24T17:26:02.584795,VIDEO_REJECTED,autocorr rejected video,freq=1337567765.5677657,score=0.0
2026-04-24T17:26:02.701377,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1440000000
2026-04-24T17:26:02.898228,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1580000000
2026-04-24T17:26:02.926616,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=1600000000
2026-04-24T17:26:03.328300,PLATEAU_CONFIRMED,Wideband signal detected,freq=1807743589.7435896,bw=4.3994140625,hits=7
2026-04-24T17:26:03.443847,VIDEO_REJECTED,autocorr rejected video,freq=1807743589.7435896,score=0.0
