2026-04-24T17:21:16.515962,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:21:16.549295,PLATEAU_CONFIRMED,Wideband signal detected,freq=103196581.1965812,bw=3.7060546875,hits=7
2026-04-24T17:21:16.570025,VIDEO_REJECTED,cyclo rejected video,freq=103196581.1965812,score=0
2026-04-24T17:21:16.579703,ZERO_BUFFER,All samples are zero
2026-04-24T17:21:16.609004,ZERO_BUFFER,All samples are zero
2026-04-24T17:21:16.613126,PLATEAU_CONFIRMED,Wideband signal detected,freq=147079365.07936507,bw=7.2900390625,hits=3
2026-04-24T17:21:16.638541,VIDEO_REJECTED,cyclo rejected video,freq=147079365.07936507,score=0
2026-04-24T17:21:16.646248,PLATEAU_CONFIRMED,Wideband signal detected,freq=160959706.95970696,bw=7.2998046875,hits=3
2026-04-24T17:21:16.670932,VIDEO_REJECTED,cyclo rejected video,freq=160959706.95970696,score=0
2026-04-24T17:21:16.683654,PLATEAU_CONFIRMED,Wideband signal detected,freq=173755799.75579977,bw=6.81640625,hits=3
2026-04-24T17:21:16.743044,VIDEO_REJECTED,cyclo rejected video,freq=173755799.75579977,score=0
2026-04-24T17:21:16.790008,PLATEAU_CONFIRMED,Wideband signal detected,freq=205409035.4090354,bw=6.513671875,hits=7
2026-04-24T17:21:16.827349,VIDEO_REJECTED,cyclo rejected video,freq=205409035.4090354,score=0
2026-04-24T17:21:16.830720,PLATEAU_CONFIRMED,Wideband signal detected,freq=224901098.9010989,bw=4.3994140625,hits=5
2026-04-24T17:21:16.960591,PLATEAU_CONFIRMED,Wideband signal detected,freq=245684981.68498167,bw=7.490234375,hits=6
2026-04-24T17:21:16.960829,VIDEO_REJECTED,cyclo rejected video,freq=224901098.9010989,score=0
2026-04-24T17:21:17.010358,VIDEO_REJECTED,cyclo rejected video,freq=245684981.68498167,score=1
2026-04-24T17:21:17.014972,PLATEAU_CONFIRMED,Wideband signal detected,freq=266290598.29059827,bw=7.12890625,hits=10
2026-04-24T17:21:17.049136,VIDEO_REJECTED,cyclo rejected video,freq=266290598.29059827,score=1
2026-04-24T17:21:17.058683,PLATEAU_CONFIRMED,Wideband signal detected,freq=284954822.95482296,bw=4.560546875,hits=3
2026-04-24T17:21:17.085685,VIDEO_REJECTED,cyclo rejected video,freq=284954822.95482296,score=0
2026-04-24T17:21:17.121333,PLATEAU_CONFIRMED,Wideband signal detected,freq=315084249.0842491,bw=6.357421875,hits=4
2026-04-24T17:21:17.145392,VIDEO_REJECTED,cyclo rejected video,freq=315084249.0842491,score=0
2026-04-24T17:21:17.155043,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=340000000
2026-04-24T17:21:17.181592,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=360000000
2026-04-24T17:21:17.284889,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=420000000
2026-04-24T17:21:17.831930,PLATEAU_CONFIRMED,Wideband signal detected,freq=481995115.995116,bw=7.8173828125,hits=8
2026-04-24T17:21:18.002879,PLATEAU_CONFIRMED,Wideband signal detected,freq=502649572.6495727,bw=7.7294921875,hits=10
2026-04-24T17:21:18.003417,VIDEO_REJECTED,cyclo rejected video,freq=481995115.995116,score=0
2026-04-24T17:21:18.232168,VIDEO_REJECTED,cyclo rejected video,freq=502649572.6495727,score=0
2026-04-24T17:21:18.276224,PLATEAU_CONFIRMED,Wideband signal detected,freq=528046398.04639804,bw=3.955078125,hits=8
2026-04-24T17:21:18.501393,VIDEO_REJECTED,cyclo rejected video,freq=528046398.04639804,score=0
2026-04-24T17:21:18.705792,PLATEAU_CONFIRMED,Wideband signal detected,freq=531953601.95360196,bw=3.916015625,hits=10
2026-04-24T17:21:18.919965,PLATEAU_CONFIRMED,Wideband signal detected,freq=566012210.01221,bw=8.564453125,hits=10
