2026-04-24T17:14:43.843341,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:14:43.882797,PLATEAU_CONFIRMED,Wideband signal detected,freq=95714285.71428572,bw=7.32421875,hits=5
2026-04-24T17:14:43.904567,VIDEO_REJECTED,cyclo rejected video,freq=95714285.71428572,score=0
2026-04-24T17:14:43.917672,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=120000000
2026-04-24T17:14:43.984223,PLATEAU_CONFIRMED,Wideband signal detected,freq=165086691.08669108,bw=8.0078125,hits=4
2026-04-24T17:14:44.009887,VIDEO_REJECTED,cyclo rejected video,freq=165086691.08669108,score=0
2026-04-24T17:14:44.045392,PLATEAU_CONFIRMED,Wideband signal detected,freq=196678876.67887667,bw=2.8369140625,hits=6
2026-04-24T17:14:44.068118,VIDEO_REJECTED,cyclo rejected video,freq=196678876.67887667,score=0
2026-04-24T17:14:44.090181,PLATEAU_CONFIRMED,Wideband signal detected,freq=227030525.03052503,bw=5.4248046875,hits=5
2026-04-24T17:14:44.132050,VIDEO_REJECTED,cyclo rejected video,freq=227030525.03052503,score=0
2026-04-24T17:14:44.157509,PLATEAU_CONFIRMED,Wideband signal detected,freq=246239316.23931623,bw=6.279296875,hits=9
2026-04-24T17:14:44.187261,VIDEO_REJECTED,cyclo rejected video,freq=246239316.23931623,score=2
2026-04-24T17:14:44.190632,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=260000000
2026-04-24T17:14:44.251638,PLATEAU_CONFIRMED,Wideband signal detected,freq=294757020.7570208,bw=5.95703125,hits=5
2026-04-24T17:14:44.275319,VIDEO_REJECTED,cyclo rejected video,freq=294757020.7570208,score=0
2026-04-24T17:14:44.290906,PLATEAU_CONFIRMED,Wideband signal detected,freq=313487179.4871795,bw=5.2294921875,hits=6
2026-04-24T17:14:44.315207,VIDEO_REJECTED,cyclo rejected video,freq=313487179.4871795,score=0
2026-04-24T17:14:44.403130,PLATEAU_CONFIRMED,Wideband signal detected,freq=394256410.25641024,bw=4.3212890625,hits=6
2026-04-24T17:14:44.436743,VIDEO_REJECTED,cyclo rejected video,freq=394256410.25641024,score=0
2026-04-24T17:14:44.449083,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=420000000
2026-04-24T17:14:44.655301,PLATEAU_CONFIRMED,Wideband signal detected,freq=563892551.8925519,bw=8.4716796875,hits=4
2026-04-24T17:14:44.685818,VIDEO_REJECTED,cyclo rejected video,freq=563892551.8925519,score=0
2026-04-24T17:14:44.689991,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=580000000
2026-04-24T17:14:44.750047,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=620000000
2026-04-24T17:14:44.780129,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=640000000
2026-04-24T17:14:44.814002,PLATEAU_CONFIRMED,Wideband signal detected,freq=665853479.8534799,bw=5.2978515625,hits=7
2026-04-24T17:14:44.843156,VIDEO_REJECTED,cyclo rejected video,freq=665853479.8534799,score=0
2026-04-24T17:14:44.899889,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=720000000
2026-04-24T17:14:45.007281,PLATEAU_CONFIRMED,Wideband signal detected,freq=763101343.1013432,bw=5.8544921875,hits=8
2026-04-24T17:14:45.054197,VIDEO_CONFIRMED,cyclo confirmed video,freq=763101343.1013432,score=9
2026-04-24T17:14:45.058446,PLATEAU_CONFIRMED,Wideband signal detected,freq=783054945.0549451,bw=5.517578125,hits=8
2026-04-24T17:14:45.086376,VIDEO_REJECTED,cyclo rejected video,freq=783054945.0549451,score=1
2026-04-24T17:14:45.399539,PLATEAU_CONFIRMED,Wideband signal detected,freq=939675213.6752137,bw=8.88671875,hits=7
2026-04-24T17:14:45.438671,VIDEO_REJECTED,cyclo rejected video,freq=939675213.6752137,score=0
