2026-04-24T17:43:14.380972,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:43:14.414723,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=100000000
2026-04-24T17:43:14.444972,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=120000000
2026-04-24T17:43:14.476585,PLATEAU_CONFIRMED,Wideband signal detected,freq=145902319.9023199,bw=5.498046875,hits=5
2026-04-24T17:43:14.497825,VIDEO_REJECTED,autocorr rejected video,freq=145902319.9023199,score=0.0
2026-04-24T17:43:14.510249,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=160000000
2026-04-24T17:43:14.543993,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=180000000
2026-04-24T17:43:14.662598,PLATEAU_CONFIRMED,Wideband signal detected,freq=205697191.6971917,bw=6.767578125,hits=7
2026-04-24T17:43:14.692427,VIDEO_REJECTED,autocorr rejected video,freq=205697191.6971917,score=0.0
2026-04-24T17:43:14.709686,PLATEAU_CONFIRMED,Wideband signal detected,freq=226046398.04639804,bw=7.63671875,hits=10
2026-04-24T17:43:14.730219,VIDEO_REJECTED,autocorr rejected video,freq=226046398.04639804,score=0.0
2026-04-24T17:43:14.850771,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=320000000
2026-04-24T17:43:14.880722,PLATEAU_CONFIRMED,Wideband signal detected,freq=334376068.37606835,bw=3.8427734375,hits=3
2026-04-24T17:43:14.903280,VIDEO_REJECTED,autocorr rejected video,freq=334376068.37606835,score=0.0
2026-04-24T17:43:14.971017,PLATEAU_CONFIRMED,Wideband signal detected,freq=393936507.93650794,bw=6.54296875,hits=5
2026-04-24T17:43:14.997077,VIDEO_REJECTED,autocorr rejected video,freq=393936507.93650794,score=0.0
2026-04-24T17:43:15.674605,PLATEAU_CONFIRMED,Wideband signal detected,freq=482004884.004884,bw=7.8125,hits=9
2026-04-24T17:43:15.904364,VIDEO_REJECTED,autocorr rejected video,freq=482004884.004884,score=0.0
2026-04-24T17:43:16.064761,PLATEAU_CONFIRMED,Wideband signal detected,freq=502134310.1343101,bw=7.548828125,hits=10
2026-04-24T17:43:16.144303,VIDEO_REJECTED,autocorr rejected video,freq=502134310.1343101,score=0.0
2026-04-24T17:43:16.265219,PLATEAU_CONFIRMED,Wideband signal detected,freq=528041514.04151404,bw=3.9208984375,hits=9
2026-04-24T17:43:16.397237,VIDEO_REJECTED,autocorr rejected video,freq=528041514.04151404,score=0.0
2026-04-24T17:43:16.627249,PLATEAU_CONFIRMED,Wideband signal detected,freq=531948717.94871795,bw=3.90625,hits=10
2026-04-24T17:43:16.727960,VIDEO_REJECTED,autocorr rejected video,freq=531948717.94871795,score=0.0
2026-04-24T17:43:16.827850,PLATEAU_CONFIRMED,Wideband signal detected,freq=568053724.053724,bw=3.90625,hits=10
2026-04-24T17:43:16.871213,VIDEO_REJECTED,autocorr rejected video,freq=568053724.053724,score=0.0
2026-04-24T17:43:16.944417,PLATEAU_CONFIRMED,Wideband signal detected,freq=587074481.0744811,bw=5.8544921875,hits=9
2026-04-24T17:43:16.972365,VIDEO_REJECTED,autocorr rejected video,freq=587074481.0744811,score=0.0
2026-04-24T17:43:16.995357,PLATEAU_CONFIRMED,Wideband signal detected,freq=602532356.5323565,bw=8.1640625,hits=7
2026-04-24T17:43:17.071154,VIDEO_REJECTED,autocorr rejected video,freq=602532356.5323565,score=0.0
2026-04-24T17:43:17.429880,PLATEAU_CONFIRMED,Wideband signal detected,freq=625968253.968254,bw=7.83203125,hits=8
2026-04-24T17:43:17.503610,VIDEO_REJECTED,autocorr rejected video,freq=625968253.968254,score=0.0
