2026-04-24T17:38:28.560791,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:38:28.595958,PLATEAU_CONFIRMED,Wideband signal detected,freq=103089133.08913308,bw=9.1015625,hits=8
2026-04-24T17:38:28.617409,VIDEO_REJECTED,autocorr rejected video,freq=103089133.08913308,score=0.0
2026-04-24T17:38:28.635916,PLATEAU_CONFIRMED,Wideband signal detected,freq=120312576.31257631,bw=7.1240234375,hits=10
2026-04-24T17:38:28.654052,VIDEO_REJECTED,autocorr rejected video,freq=120312576.31257631,score=0.0
2026-04-24T17:38:28.691867,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=160000000
2026-04-24T17:38:28.769951,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=220000000
2026-04-24T17:38:28.856048,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=280000000
2026-04-24T17:38:28.885935,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=300000000
2026-04-24T17:38:28.930764,PLATEAU_CONFIRMED,Wideband signal detected,freq=313687423.6874237,bw=9.5458984375,hits=3
2026-04-24T17:38:28.957258,VIDEO_REJECTED,autocorr rejected video,freq=313687423.6874237,score=0.0
2026-04-24T17:38:28.982759,PLATEAU_CONFIRMED,Wideband signal detected,freq=333177045.17704517,bw=4.12109375,hits=6
2026-04-24T17:38:29.009818,VIDEO_REJECTED,autocorr rejected video,freq=333177045.17704517,score=0.0
2026-04-24T17:38:29.038350,PLATEAU_CONFIRMED,Wideband signal detected,freq=361257631.25763124,bw=4.5166015625,hits=4
2026-04-24T17:38:29.069771,VIDEO_REJECTED,autocorr rejected video,freq=361257631.25763124,score=0.0
2026-04-24T17:38:29.086218,PLATEAU_CONFIRMED,Wideband signal detected,freq=381838827.83882785,bw=5.4052734375,hits=4
2026-04-24T17:38:29.115890,VIDEO_REJECTED,autocorr rejected video,freq=381838827.83882785,score=0.0
2026-04-24T17:38:29.308315,PLATEAU_CONFIRMED,Wideband signal detected,freq=422180708.18070817,bw=8.4375,hits=7
2026-04-24T17:38:29.441795,VIDEO_REJECTED,autocorr rejected video,freq=422180708.18070817,score=0.0
2026-04-24T17:38:29.618264,PLATEAU_CONFIRMED,Wideband signal detected,freq=441545787.5457876,bw=6.4306640625,hits=10
2026-04-24T17:38:29.664460,VIDEO_REJECTED,autocorr rejected video,freq=441545787.5457876,score=0.0
2026-04-24T17:38:29.677321,PLATEAU_CONFIRMED,Wideband signal detected,freq=460871794.8717949,bw=4.482421875,hits=7
2026-04-24T17:38:29.731396,VIDEO_REJECTED,autocorr rejected video,freq=460871794.8717949,score=0.0
2026-04-24T17:38:29.907864,PLATEAU_CONFIRMED,Wideband signal detected,freq=482002442.002442,bw=7.802734375,hits=8
2026-04-24T17:38:29.992575,VIDEO_REJECTED,autocorr rejected video,freq=482002442.002442,score=0.0
2026-04-24T17:38:30.032910,PLATEAU_CONFIRMED,Wideband signal detected,freq=502004884.004884,bw=7.802734375,hits=9
2026-04-24T17:38:30.053993,VIDEO_REJECTED,autocorr rejected video,freq=502004884.004884,score=0.0
2026-04-24T17:38:30.091357,PLATEAU_CONFIRMED,Wideband signal detected,freq=528056166.05616605,bw=3.8916015625,hits=7
2026-04-24T17:38:30.149476,VIDEO_REJECTED,autocorr rejected video,freq=528056166.05616605,score=0.0
2026-04-24T17:38:30.178958,PLATEAU_CONFIRMED,Wideband signal detected,freq=531943833.94383395,bw=3.9013671875,hits=9
2026-04-24T17:38:30.293667,VIDEO_REJECTED,autocorr rejected video,freq=531943833.94383395,score=0.0
2026-04-24T17:38:30.447513,PLATEAU_CONFIRMED,Wideband signal detected,freq=568041514.041514,bw=3.916015625,hits=10
2026-04-24T17:38:30.468977,VIDEO_REJECTED,autocorr rejected video,freq=568041514.041514,score=0.0
2026-04-24T17:38:30.839076,PLATEAU_CONFIRMED,Wideband signal detected,freq=571948717.948718,bw=3.90625,hits=10
2026-04-24T17:38:30.918643,VIDEO_REJECTED,autocorr rejected video,freq=571948717.948718,score=0.0
2026-04-24T17:38:30.968588,PLATEAU_CONFIRMED,Wideband signal detected,freq=597230769.2307692,bw=7.646484375,hits=10
2026-04-24T17:38:31.073609,VIDEO_REJECTED,autocorr rejected video,freq=597230769.2307692,score=0.0
2026-04-24T17:38:31.154651,PLATEAU_CONFIRMED,Wideband signal detected,freq=624888888.8888888,bw=7.890625,hits=10
2026-04-24T17:38:31.210384,VIDEO_REJECTED,autocorr rejected video,freq=624888888.8888888,score=0.0
2026-04-24T17:38:31.235266,PLATEAU_CONFIRMED,Wideband signal detected,freq=646078144.0781441,bw=7.7880859375,hits=10
2026-04-24T17:38:31.254379,VIDEO_REJECTED,autocorr rejected video,freq=646078144.0781441,score=0.0
2026-04-24T17:38:31.275109,PLATEAU_CONFIRMED,Wideband signal detected,freq=665516483.5164835,bw=5.1806640625,hits=4
2026-04-24T17:38:31.293003,VIDEO_REJECTED,autocorr rejected video,freq=665516483.5164835,score=0.0
2026-04-24T17:38:31.307392,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=680000000
2026-04-24T17:38:31.368598,PLATEAU_CONFIRMED,Wideband signal detected,freq=726366300.3663003,bw=5.859375,hits=5
2026-04-24T17:38:31.387780,VIDEO_REJECTED,autocorr rejected video,freq=726366300.3663003,score=0.0
2026-04-24T17:38:31.402998,PLATEAU_CONFIRMED,Wideband signal detected,freq=744405372.4053724,bw=5.3564453125,hits=4
