2026-04-24T17:43:57.678740,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:43:57.717490,PLATEAU_CONFIRMED,Wideband signal detected,freq=105328449.32844932,bw=2.94921875,hits=4
2026-04-24T17:43:57.741862,VIDEO_REJECTED,autocorr rejected video,freq=105328449.32844932,score=0.0
2026-04-24T17:43:57.755531,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=120000000
2026-04-24T17:43:57.758378,ZERO_BUFFER,All samples are zero
2026-04-24T17:43:57.787579,ZERO_BUFFER,All samples are zero
2026-04-24T17:43:57.792738,PLATEAU_CONFIRMED,Wideband signal detected,freq=144959706.95970696,bw=6.162109375,hits=4
2026-04-24T17:43:57.816667,VIDEO_REJECTED,autocorr rejected video,freq=144959706.95970696,score=0.0
2026-04-24T17:43:57.830401,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=160000000
2026-04-24T17:43:57.865277,PLATEAU_CONFIRMED,Wideband signal detected,freq=175067155.06715506,bw=6.0595703125,hits=4
2026-04-24T17:43:57.900054,VIDEO_REJECTED,autocorr rejected video,freq=175067155.06715506,score=0.0
2026-04-24T17:43:57.994088,PLATEAU_CONFIRMED,Wideband signal detected,freq=205643467.64346763,bw=6.6015625,hits=6
2026-04-24T17:43:58.027686,VIDEO_REJECTED,autocorr rejected video,freq=205643467.64346763,score=0.0
2026-04-24T17:43:58.044007,PLATEAU_CONFIRMED,Wideband signal detected,freq=226175824.17582417,bw=6.0888671875,hits=10
2026-04-24T17:43:58.070770,VIDEO_REJECTED,autocorr rejected video,freq=226175824.17582417,score=0.0
2026-04-24T17:43:58.341855,PLATEAU_CONFIRMED,Wideband signal detected,freq=394547008.5470086,bw=3.9306640625,hits=3
2026-04-24T17:43:58.369850,VIDEO_REJECTED,autocorr rejected video,freq=394547008.5470086,score=0.0
2026-04-24T17:43:59.226831,PLATEAU_CONFIRMED,Wideband signal detected,freq=482000000.0,bw=7.8125,hits=8
2026-04-24T17:43:59.521415,VIDEO_REJECTED,autocorr rejected video,freq=482000000.0,score=0.0
2026-04-24T17:43:59.724260,PLATEAU_CONFIRMED,Wideband signal detected,freq=502048840.04884005,bw=7.7099609375,hits=10
2026-04-24T17:43:59.734915,VIDEO_REJECTED,autocorr rejected video,freq=502048840.04884005,score=0.0
2026-04-24T17:43:59.976370,PLATEAU_CONFIRMED,Wideband signal detected,freq=528043956.04395604,bw=3.9794921875,hits=8
2026-04-24T17:44:00.145689,VIDEO_REJECTED,autocorr rejected video,freq=528043956.04395604,score=0.0
2026-04-24T17:44:00.388575,PLATEAU_CONFIRMED,Wideband signal detected,freq=548041514.041514,bw=3.916015625,hits=10
2026-04-24T17:44:00.556769,VIDEO_REJECTED,autocorr rejected video,freq=548041514.041514,score=0.0
2026-04-24T17:44:00.648116,PLATEAU_CONFIRMED,Wideband signal detected,freq=551948717.948718,bw=3.90625,hits=10
2026-04-24T17:44:00.778969,VIDEO_REJECTED,autocorr rejected video,freq=551948717.948718,score=0.0
2026-04-24T17:44:00.850834,PLATEAU_CONFIRMED,Wideband signal detected,freq=588046398.046398,bw=3.9111328125,hits=10
2026-04-24T17:44:00.893738,VIDEO_REJECTED,autocorr rejected video,freq=588046398.046398,score=0.0
2026-04-24T17:44:00.915857,PLATEAU_CONFIRMED,Wideband signal detected,freq=597096459.0964592,bw=7.2021484375,hits=8
2026-04-24T17:44:00.998778,VIDEO_REJECTED,autocorr rejected video,freq=597096459.0964592,score=0.0
2026-04-24T17:44:01.241977,PLATEAU_CONFIRMED,Wideband signal detected,freq=625496947.4969475,bw=8.759765625,hits=10
2026-04-24T17:44:01.257831,VIDEO_REJECTED,autocorr rejected video,freq=625496947.4969475,score=0.0
2026-04-24T17:44:01.336619,PLATEAU_CONFIRMED,Wideband signal detected,freq=646669108.6691086,bw=7.080078125,hits=10
2026-04-24T17:44:01.358399,VIDEO_REJECTED,autocorr rejected video,freq=646669108.6691086,score=0.0
2026-04-24T17:44:01.376501,PLATEAU_CONFIRMED,Wideband signal detected,freq=665164835.1648352,bw=7.87109375,hits=5
